ID_PROVA_BRASIL,ID_REGIAO,ID_UF,ID_MUNICIPIO,ID_AREA,ID_ESCOLA,ID_DEPENDENCIA_ADM,ID_LOCALIZACAO,ID_TURMA,ID_TURNO,ID_SERIE,ID_ALUNO,IN_SITUACAO_CENSO,IN_PREENCHIMENTO_PROVA,ID_CADERNO,ID_BLOCO_1,ID_BLOCO_2,TX_RESP_BLOCO_1_LP,TX_RESP_BLOCO_2_LP,TX_RESP_BLOCO_1_MT,TX_RESP_BLOCO_2_MT,IN_PROFICIENCIA,IN_PROVA_BRASIL,ESTRATO_ANEB,PESO_ALUNO_LP,PESO_ALUNO_MT,PROFICIENCIA_LP,DESVIO_PADRAO_LP,PROFICIENCIA_LP_SAEB,DESVIO_PADRAO_LP_SAEB,PROFICIENCIA_MT,DESVIO_PADRAO_MT,PROFICIENCIA_MT_SAEB,DESVIO_PADRAO_MT_SAEB,IN_PREENCHIMENTO_QUESTIONARIO,TX_RESP_Q001,TX_RESP_Q002,TX_RESP_Q003,TX_RESP_Q004,TX_RESP_Q005,TX_RESP_Q006,TX_RESP_Q007,TX_RESP_Q008,TX_RESP_Q009,TX_RESP_Q010,TX_RESP_Q011,TX_RESP_Q012,TX_RESP_Q013,TX_RESP_Q014,TX_RESP_Q015,TX_RESP_Q016,TX_RESP_Q017,TX_RESP_Q018,TX_RESP_Q019,TX_RESP_Q020,TX_RESP_Q021,TX_RESP_Q022,TX_RESP_Q023,TX_RESP_Q024,TX_RESP_Q025,TX_RESP_Q026,TX_RESP_Q027,TX_RESP_Q028,TX_RESP_Q029,TX_RESP_Q030,TX_RESP_Q031,TX_RESP_Q032,TX_RESP_Q033,TX_RESP_Q034,TX_RESP_Q035,TX_RESP_Q036,TX_RESP_Q037,TX_RESP_Q038,TX_RESP_Q039,TX_RESP_Q040,TX_RESP_Q041,TX_RESP_Q042,TX_RESP_Q043,TX_RESP_Q044,TX_RESP_Q045,TX_RESP_Q046,TX_RESP_Q047,TX_RESP_Q048,TX_RESP_Q049,TX_RESP_Q050,TX_RESP_Q051
2015,2,27,2704302,1,27230082,3,1,605234,2,5,17874835,1,0,7,7,1,...........,...........,...........,...........,0,1,270430231,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,2,27,2704302,1,27230082,3,1,605234,2,5,17874836,1,0,8,1,3,...........,...........,...........,...........,0,1,270430231,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,2,27,2704302,1,27036049,3,1,603815,1,5,17829329,1,1,12,5,7,BCCDADDDCAC,AABDBDAADAA,BDCCCADCACB,BDCCABDBBAC,1,1,270430231,1.127950863,1.127950863,-1.318334,0.405636,177.353537,22.347851,-1.092389,0.38214,188.908217,21.358694,1,A,C,D,E,C,B,D,B,A,A,B,A,A,C,C,D,A,A,B,A,A,A,F,A,A,B,A,A,A,A,A,C,B,C,C,C,B,B,C,A,A,B,A,A,C,A,A,A,A,A,B
2015,2,27,2704302,1,27036049,3,1,603815,1,5,17829330,1,1,18,4,7,BDBADAADAAD,CACBBDAACAA,AAABCACCACC,DCABABDBCDB,1,1,270430231,1.127950863,1.127950863,-0.879342,0.379259,201.539082,20.894654,-0.786473,0.416001,206.006574,23.251264,1,A,B,C,D,C,A,A,B,B,A,A,A,A,B,C,D,A,A,G,A,B,B,G,A,B,A,A,B,A,A,A,,A,,,,,,,B,,B,B,,C,A,A,A,A,A,B
2015,2,27,2704302,1,27036049,3,1,603815,1,5,17829331,1,1,11,4,6,AAADABACBAB,DAABDCDAABA,AABDDBCAABC,ABACDAAABBA,1,1,270430231,1.127950863,1.127950863,-1.869832,0.449114,146.969657,24.743201,-2.217638,0.555339,126.015431,31.039189,1,B,F,L,C,B,A,A,B,B,B,A,A,A,B,B,D,A,A,A,A,A,A,D,A,A,A,A,A,A,A,A,B,B,A,A,A,B,A,B,A,E,B,A,A,A,A,A,A,A,A,A
2015,2,27,2704302,1,27036049,3,1,603815,1,5,17829332,1,1,4,4,5,BADCDBACBBB,BCCADACCCDA,AADABDCDACB,CBACCCDDAAA,1,1,270430231,1.127950863,1.127950863,-0.47481,0.371596,223.82611,20.472473,-0.544648,0.349161,219.522736,19.515421,1,B,A,C,C,C,B,B,B,B,A,B,B,B,B,C,C,A,A,G,A,A,A,G,A,A,B,A,A,A,A,B,C,B,C,B,A,C,B,B,A,E,B,A,A,A,A,A,A,A,A,C
2015,2,27,2704302,1,27036049,3,1,603815,1,5,17829333,1,1,15,1,4,DBBACDDCDCB,BDDADAACADC,ABBBACCCBDD,AADAACDDCAC,1,1,270430231,1.127950863,1.127950863,-0.025609,0.351633,248.574104,19.372644,-0.855497,0.440863,202.148662,24.640859,1,A,B,D,D,D,B,D,B,B,A,B,E,D,D,D,D,A,B,F,A,A,B,G,A,A,B,A,A,A,A,A,,,,,,,,,A,E,B,B,C,B,A,C,C,B,B,C
2015,2,27,2704302,1,27036049,3,1,603815,1,5,17829334,1,1,10,3,5,ADCBABABBCC,ADAABADADAA,BABDBBBCCBD,BBACAADDBCB,1,1,270430231,1.127950863,1.127950863,-1.566361,0.454816,163.688895,25.057343,-1.007684,0.381747,193.642576,21.336728,1,B,B,C,D,C,B,C,B,A,A,B,A,B,B,C,F,A,A,B,B,B,A,C,A,A,B,A,A,A,A,A,,B,,,,,,B,A,B,B,B,C,A,A,A,A,A,A,A
2015,2,27,2704302,1,27036049,3,1,603815,1,5,17829335,1,1,9,2,4,ACADADCDDBA,BCDADBAABDB,CAADDACBBCB,DADCCDDABCC,1,1,270430231,1.127950863,1.127950863,-0.97791,0.355391,196.10864,19.579685,-1.10715,0.473932,188.08319,26.489163,1,B,B,B,C,,C,A,B,B,B,B,A,A,B,B,C,A,B,G,A,A,C,A,,B,A,A,A,A,A,A,B,A,B,A,A,B,B,A,A,B,B,B,A,A,A,A,A,A,A,B
2015,2,27,2704302,1,27036049,3,1,603815,1,5,17829336,1,1,19,5,1,ACCCDDBBDBA,DBBACBCDDAD,DBACCDDDABB,CBCACDCCBCD,1,1,270430231,1.127950863,1.127950863,-0.832532,0.367158,204.118002,20.227969,-0.700999,0.358607,210.783915,20.04338,1,A,C,I,E,C,B,B,B,A,A,B,A,A,B,C,D,A,C,B,A,A,B,E,,,A,A,A,A,A,A,C,B,B,A,A,B,C,C,B,E,B,A,A,B,A,A,A,A,A,B
