ID_ESCOLA,ID_LOCALIZACAO,ID_TURMA,ID_TURNO,ID_ALUNO,TX_RESP_BLOCO_2_MT,ESTRATO_ANEB,PESO_ALUNO_LP,'RESULTADO IDEB',CONDICAO
27044289,1,604386,1,17847724,AADDADADCCAAB,270915231,1.088.235.294.100.000,4.8,'ABAIXO DA MEDIA'
27044289,1,604386,1,17847725,CACACABADBABC,270915231,1.088.235.294.100.000,4.8,'ABAIXO DA MEDIA'
27044289,1,604386,1,17847726,BCCBABCDDDDCC,270915231,1.088.235.294.100.000,4.8,'ABAIXO DA MEDIA'
27044289,1,604386,1,17847727,CBBDAADADBCBC,270915231,1.088.235.294.100.000,4.8,'ABAIXO DA MEDIA'
27044289,1,604386,1,17847728,DBBDDBAADACAB,270915231,1.088.235.294.100.000,4.8,'ABAIXO DA MEDIA'
27044289,1,604386,1,17847729,.............,270915231,?,4.8,'ABAIXO DA MEDIA'
27044289,1,604386,1,17847730,CCCDDCCCCBCCC,270915231,1.088.235.294.100.000,4.8,'ABAIXO DA MEDIA'
27044289,1,604386,1,17847731,CACBAAAADCBDC,270915231,1.088.235.294.100.000,4.8,'ABAIXO DA MEDIA'
27044289,1,604386,1,17847732,BCBADBCCBCBAC,270915231,1.088.235.294.100.000,4.8,'ABAIXO DA MEDIA'
27044289,1,604386,1,17847733,AACBACAAAADAA,270915231,1.088.235.294.100.000,4.8,'ABAIXO DA MEDIA'
27044289,1,604386,1,17847734,AABCBABCBAADC,270915231,1.088.235.294.100.000,4.8,'ABAIXO DA MEDIA'
27044289,1,604386,1,17847735,BABBABDDBADCC,270915231,1.088.235.294.100.000,4.8,'ABAIXO DA MEDIA'
27044289,1,604386,1,17847736,ACDCBCAACCBCD,270915231,1.088.235.294.100.000,4.8,'ABAIXO DA MEDIA'
27044289,1,604386,1,17847737,ACDCABDDBADBB,270915231,1.088.235.294.100.000,4.8,'ABAIXO DA MEDIA'
27044289,1,604386,1,17847738,ADCBACAAACDDA,270915231,?,4.8,'ABAIXO DA MEDIA'
27044289,1,604386,1,17847739,BBDABAACCBBAB,270915231,1.088.235.294.100.000,4.8,'ABAIXO DA MEDIA'
