ID_AREA,ID_ESCOLA,ID_DEPENDENCIA_ADM,ID_LOCALIZACAO,ID_TURMA,ID_TURNO,ID_ALUNO,TX_RESP_BLOCO_1_LP,TX_RESP_BLOCO_2_LP,TX_RESP_BLOCO_1_MT,TX_RESP_BLOCO_2_MT,ESTRATO_ANEB,PESO_ALUNO_MT,PROFICIENCIA_MT,PROFICIENCIA_MT_SAEB,DESVIO_PADRAO_MT_SAEB,TX_RESP_Q003,TX_RESP_Q004,TX_RESP_Q013,TX_RESP_Q014,TX_RESP_Q017,TX_RESP_Q018,TX_RESP_Q022,TX_RESP_Q028,TX_RESP_Q029,TX_RESP_Q030,TX_RESP_Q042,TX_RESP_Q047,TX_RESP_Q052,TX_RESP_Q053,TX_RESP_Q054,TX_RESP_Q055,TX_RESP_Q057,'RESULTADO IDEB',CONDICAO
2,27044270,3,2,604385,2,17847690,CABACDCACCCCA,BDCBBCBBBAACA,ADADACBDCBBAA,BAACBAAADABBA,270915232,1.031.250.000.000.000,1.121.264.000.000.000,312.634.436.000.000.000,18.806.930.000.000.000,A,B,A,C,A,A,B,A,A,A,A,A,A,A,A,A,A,5.8,'ACIMA DA MEDIA'
2,27044270,3,2,604385,2,17847691,BCCBBCBBBCADA,ABDDAADDABADA,AADCBCAACBCBB,CCBADBCDBDDCC,270915232,1.031.250.000.000.000,1.865.052.000.000.000,354.206.479.000.000.000,16.605.219.000.000.000,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,5.8,'ACIMA DA MEDIA'
2,27044270,3,2,604385,2,17847692,CAAACDCACCDAA,ABDDAADDABADA,CAADACBDCCADA,CCBADBCDBDDCC,270915232,1.031.250.000.000.000,2.187.867.000.000.000,372.249.361.000.000.000,17.960.273.000.000.000,B,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,5.8,'ACIMA DA MEDIA'
2,27044270,3,2,604385,2,17847693,BADDAACDBBDDB,CBAACDCACCADD,ABCCDDACCAADA,CDADACBDCBBDA,270915232,1.031.250.000.000.000,1.983.729.000.000.000,360.839.613.000.000.000,19.231.879.000.000.000,K,D,A,C,B,A,A,A,A,A,A,A,A,A,A,A,A,5.8,'ACIMA DA MEDIA'
2,27044270,3,2,604385,2,17847694,CBDCABDDABABA,BBAADDCADDDDA,CCBADBCDBADBC,BCDBBDADACDBD,270915232,1.031.250.000.000.000,2.117.071.000.000.000,368.292.408.000.000.000,18.897.867.000.000.000,K,C,B,B,A,A,A,A,B,A,A,A,A,A,A,A,A,5.8,'ACIMA DA MEDIA'
2,27044270,3,2,604385,2,17847695,BADDAADDBBDDB,ABDBAADDDBABA,ABCCDDACCCADC,CCBADBCDBDDCC,270915232,1.031.250.000.000.000,2.272.320.000.000.000,376.969.636.000.000.000,21.050.672.000.000.000,H,C,B,B,A,A,A,A,A,A,B,A,A,A,A,A,C,5.8,'ACIMA DA MEDIA'
2,27044270,3,2,604385,2,17847696,BDAADBAADACDA,BDACAAC.D.BBB,CCCAADAABB.CC,ABBCDDACCDDAB,270915232,1.031.250.000.000.000,0.600730000000000,283.540.579.000.000.000,24.648.796.000.000.000,F,D,A,B,A,A,A,A,A,A,B,A,A,A,A,A,C,5.8,'ACIMA DA MEDIA'
2,27044270,3,2,604385,2,17847697,DADDBCDDBBABA,CADACDCACCDCA,CDADBCCCDACAA,ADBDAAACCDAAA,270915232,1.031.250.000.000.000,0.431906000000000,274.104.613.000.000.000,22.580.221.000.000.000,H,C,A,B,A,A,A,A,A,A,C,A,A,A,A,A,C,5.8,'ACIMA DA MEDIA'
2,27044270,3,2,604385,2,17847698,BDDDAADDBBDDB,CAAABDCACBCDD,AAACADACCACCD,CBBDBACCCDBDA,270915232,1.031.250.000.000.000,0.435421000000000,274.301.074.000.000.000,20.780.823.000.000.000,E,E,A,B,A,A,B,B,B,B,C,A,A,B,C,A,C,5.8,'ACIMA DA MEDIA'
2,27044270,3,2,604385,2,17847699,BDCADDCADCDDA,BADDAADDBADDC,CCDDBCAAACCDA,ABCCDDACCCADA,270915232,1.031.250.000.000.000,1.443.282.000.000.000,330.632.772.000.000.000,20.913.735.000.000.000,F,B,A,B,A,A,A,?,?,?,B,A,A,A,A,A,A,5.8,'ACIMA DA MEDIA'
2,27044270,3,2,604385,2,17847700,DCDDACDDBBACA,CACBDCBBBCDDA,ABBADAADCCDDA,AADDBBCCADCDC,270915232,1.031.250.000.000.000,-1.301.805.000.000.000,177.203.469.000.000.000,34.989.547.000.000.000,H,D,A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,5.8,'ACIMA DA MEDIA'
2,27044270,3,2,604385,2,17847701,DADDBCDDDBACD,CDBDBADDCDBAB,CDADACACCCAAA,AADABDBACADAC,270915232,1.031.250.000.000.000,-0.552465000000000,219.085.826.000.000.000,28.627.268.000.000.000,F,C,A,B,A,A,A,A,A,A,C,?,?,?,?,?,?,5.8,'ACIMA DA MEDIA'
2,27044270,3,2,604385,2,17847702,DBDDAADDACDDD,BCDAABDDBACDB,BBDDDCDDBDDCD,DDCDBDAADBCCA,270915232,1.031.250.000.000.000,-0.202822000000000,238.628.187.000.000.000,33.575.863.000.000.000,H,C,?,?,A,A,A,A,A,A,A,A,A,A,A,A,C,5.8,'ACIMA DA MEDIA'
2,27044270,3,2,604385,2,17847703,BCBACDDCCCCDC,BACDBCDDBDCAB,DCCBADCDBCDAC,ABCCDBACCBADC,270915232,1.031.250.000.000.000,1.734.740.000.000.000,346.923.038.000.000.000,22.092.169.000.000.000,K,C,A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,5.8,'ACIMA DA MEDIA'
2,27044270,3,2,604385,2,17847704,DCCDACBBBBCDA,CBDDBDDBDBCBA,BCBCAABACCBDA,CCBDBCCDADCDD,270915232,1.031.250.000.000.000,0.226896000000000,262.646.127.000.000.000,26.994.373.000.000.000,C,B,A,B,B,A,C,A,A,A,B,A,A,A,A,A,C,5.8,'ACIMA DA MEDIA'
2,27044270,3,2,604385,2,17847705,BACABDCADADDA,CCDDBDDDBBABD,ADCCBDAAACCBB,CBABCCACDCCDC,270915232,1.031.250.000.000.000,0.673832000000000,287.626.420.000.000.000,21.426.436.000.000.000,G,B,A,B,A,A,B,A,A,A,B,A,A,A,A,A,D,5.8,'ACIMA DA MEDIA'
2,27044270,3,2,604385,2,17847706,BACDCCACDCDDC,ACBABCBCCACCD,DCABCDCDBCCCC,CABDCCBCDDDDC,270915232,1.031.250.000.000.000,1.767.676.000.000.000,348.763.908.000.000.000,21.060.006.000.000.000,F,B,A,B,A,A,A,A,A,A,B,A,B,A,A,A,A,5.8,'ACIMA DA MEDIA'
2,27044270,3,2,604385,2,17847707,.............,.............,.............,.............,270915232,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,5.8,'ACIMA DA MEDIA'
2,27044270,3,2,604385,2,17847708,BDABBCBBBAACA,BDCBDCCADDABA,AADCBAAACBCAC,ABBDBCAACDDAD,270915232,1.031.250.000.000.000,0.494712000000000,277.614.986.000.000.000,27.689.395.000.000.000,C,C,A,B,A,A,B,A,A,A,B,A,A,A,B,A,C,5.8,'ACIMA DA MEDIA'
2,27044289,3,1,604386,1,17847709,BAAADCCADDADC,DBBDBBDDDBCCA,CDCBBDAABCDBD,CBADCAAADCCCA,270915231,1.088.235.294.100.000,0.049384000000000,252.724.568.000.000.000,26.049.681.000.000.000,B,B,B,B,A,A,A,A,A,A,B,B,A,B,B,B,A,4.8,'ABAIXO DA MEDIA'
2,27044289,3,1,604386,1,17847710,BCADCDDDACCAC,CCBCDDDDDBCCC,CCCBBBDDBCCBC,CCBDBCBCDCACB,270915231,1.088.235.294.100.000,1.030.594.000.000.000,307.566.679.000.000.000,21.342.709.000.000.000,C,B,B,B,A,A,C,A,A,A,A,A,?,?,D,A,A,4.8,'ABAIXO DA MEDIA'
2,27044289,3,1,604386,1,17847711,ABBBBBDDABABA,BDDADDCADADCB,ABCDBCBADDCAB,CDCDACAABBDDA,270915231,1.088.235.294.100.000,-0.884045000000000,200.553.048.000.000.000,31.256.387.000.000.000,F,D,B,B,A,A,A,A,A,A,A,C,A,B,C,A,A,4.8,'ABAIXO DA MEDIA'
2,27044289,3,1,604386,1,17847712,.............,.............,.............,.............,270915231,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,4.8,'ABAIXO DA MEDIA'
2,27044289,3,1,604386,1,17847713,BDDACBDDADCAB,CADBDCCAABADA,ABBDDBBBDCADA,BBABCAADACCCC,270915231,1.088.235.294.100.000,-1.119.656.000.000.000,187.384.201.000.000.000,33.330.943.000.000.000,A,B,A,B,A,A,B,A,B,A,A,A,B,A,B,A,A,4.8,'ABAIXO DA MEDIA'
2,27044289,3,1,604386,1,17847714,CADABACACCDCA,BACDDCDDBBAAA,ACBDDADCCDAAD,CDCCBBBDDDCCA,270915231,1.088.235.294.100.000,-0.139412000000000,242.172.320.000.000.000,26.528.679.000.000.000,C,B,A,B,A,A,A,A,A,A,B,A,A,B,C,A,A,4.8,'ABAIXO DA MEDIA'
2,27044289,3,1,604386,1,17847715,.............,.............,.............,.............,270915231,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,4.8,'ABAIXO DA MEDIA'
2,27044289,3,1,604386,1,17847716,DAABBADDDBDCD,AABABAABABABB,ABBBACACDCDAC,CCCBAABDCABAD,270915231,1.088.235.294.100.000,0.325183000000000,268.139.616.000.000.000,31.023.875.000.000.000,K,C,B,C,A,A,B,A,A,A,A,A,A,A,B,A,C,4.8,'ABAIXO DA MEDIA'
2,27044289,3,1,604386,1,17847717,CADACDCACCBDB,BCCABDCC.AACB,CAADACACCBCDD,ACCCABDDBADCC,270915231,1.088.235.294.100.000,0.933212000000000,302.123.772.000.000.000,25.113.094.000.000.000,D,B,B,C,A,A,B,A,A,A,B,A,B,A,A,A,A,4.8,'ABAIXO DA MEDIA'
2,27044289,3,1,604386,1,17847718,BAAACACBABDDA,AADBCDCBABADD,DACDDBCCCABAD,BBCDACACDADBB,270915231,1.088.235.294.100.000,-0.569695000000000,218.122.801.000.000.000,31.087.369.000.000.000,J,C,A,B,A,A,A,A,A,A,B,A,A,B,A,A,C,4.8,'ABAIXO DA MEDIA'
2,27044289,3,1,604386,1,17847719,BCBACDDCCACDC,BDBADDAADADDA,BABBCCDDBCDAC,BCBCBDAAACCBA,270915231,1.088.235.294.100.000,1.102.371.000.000.000,311.578.462.000.000.000,24.474.412.000.000.000,C,C,C,B,A,A,C,A,A,A,C,C,A,A,B,A,A,4.8,'ABAIXO DA MEDIA'
2,27044289,3,1,604386,1,17847720,BACDAACDBBDDB,BCABBCBBDDDDA,DBBCCDACBCCAC,CAACADAADCADA,270915231,1.088.235.294.100.000,0.536613000000000,279.956.931.000.000.000,21.256.132.000.000.000,C,B,A,C,A,A,B,A,A,A,B,A,A,A,B,A,A,4.8,'ABAIXO DA MEDIA'
2,27044289,3,1,604386,1,17847721,DABBDBBBBBCDA,BBAADDCADBDDA,DAAAACAACABBA,ADBADCAABAACA,270915231,1.088.235.294.100.000,-0.363267000000000,229.660.543.000.000.000,31.453.966.000.000.000,A,B,A,D,A,A,A,A,A,A,C,A,A,A,A,A,A,4.8,'ABAIXO DA MEDIA'
2,27044289,3,1,604386,1,17847722,BACDAADDCBCAB,CABACBBAACDBB,AABCCABBBAABB,CCABCBDCBDABC,270915231,1.088.235.294.100.000,-1.146.308.000.000.000,185.894.558.000.000.000,33.861.528.000.000.000,K,C,B,B,A,A,A,A,A,A,B,A,B,B,B,A,C,4.8,'ABAIXO DA MEDIA'
2,27044289,3,1,604386,1,17847723,BCDABDCADBDCA,BACDDCDCBCAAD,ADDBBCAAAACDA,DABABBBCCABAA,270915231,1.088.235.294.100.000,0.085097000000000,254.720.650.000.000.000,25.101.468.000.000.000,H,C,B,B,A,A,A,A,A,A,A,A,B,A,A,A,A,4.8,'ABAIXO DA MEDIA'
2,27044289,3,1,604386,1,17847724,DCADBDDDCBCCC,BBCDADDDBCDAA,CCAADABBAACBC,AADDADADCCAAB,270915231,1.088.235.294.100.000,-0.332497000000000,231.380.350.000.000.000,24.291.197.000.000.000,I,C,A,C,A,A,B,A,A,A,C,A,B,A,A,A,D,4.8,'ABAIXO DA MEDIA'
2,27044289,3,1,604386,1,17847725,BDAACDCADCBDD,BAAABCDDBBABA,ADCABDABBCDDA,CACACABADBABC,270915231,1.088.235.294.100.000,0.102754000000000,255.707.541.000.000.000,26.074.945.000.000.000,A,B,A,B,A,A,A,A,A,A,A,A,A,B,B,A,A,4.8,'ABAIXO DA MEDIA'
2,27044289,3,1,604386,1,17847726,BDABDCBBBCADA,BCBBCDDCACBAB,ACACACAACBBBA,BCCBABCDDDDCC,270915231,1.088.235.294.100.000,0.386145000000000,271.546.924.000.000.000,26.485.306.000.000.000,H,C,B,C,A,A,A,A,A,A,B,A,B,A,B,A,A,4.8,'ABAIXO DA MEDIA'
2,27044289,3,1,604386,1,17847727,ACCDCDABBBDAB,ABCCBCDDACCDD,CCCDBCADDBDBB,CBBDAADADBCBC,270915231,1.088.235.294.100.000,0.010125000000000,250.530.291.000.000.000,24.821.280.000.000.000,K,C,B,B,A,A,A,A,A,A,B,A,A,A,B,A,B,4.8,'ABAIXO DA MEDIA'
2,27044289,3,1,604386,1,17847728,BDAACDCDBCBBD,DAABBBAADDADD,ACDDABBAAAABC,DBBDDBAADACAB,270915231,1.088.235.294.100.000,-1.056.908.000.000.000,190.891.333.000.000.000,32.720.039.000.000.000,?,?,?,?,?,?,B,A,A,A,B,A,A,A,A,A,A,4.8,'ABAIXO DA MEDIA'
2,27044289,3,1,604386,1,17847729,.............,.............,.............,.............,270915231,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,4.8,'ABAIXO DA MEDIA'
2,27044289,3,1,604386,1,17847730,DBBDBCDDDBACA,CABACDCACCADB,ACADBABCADBBC,CCCDDCCCCBCCC,270915231,1.088.235.294.100.000,0.420807000000000,273.484.264.000.000.000,26.895.779.000.000.000,G,C,C,B,A,A,A,A,A,A,C,A,A,A,B,A,C,4.8,'ABAIXO DA MEDIA'
2,27044289,3,1,604386,1,17847731,CBBDBDCACCABD,BADDDCBBBDCDA,CDBDBBADDCCCD,CACBAAAADCBDC,270915231,1.088.235.294.100.000,-0.065859000000000,246.283.368.000.000.000,28.301.807.000.000.000,I,C,B,B,A,A,B,A,A,A,B,A,A,A,B,A,C,4.8,'ABAIXO DA MEDIA'
2,27044289,3,1,604386,1,17847732,DBAABCBBDCCDA,BCBACDCCADCDB,ACDCACAACBBBA,BCBADBCCBCBAC,270915231,1.088.235.294.100.000,0.662742000000000,287.006.574.000.000.000,25.853.667.000.000.000,C,B,B,C,A,?,A,A,A,A,?,A,A,A,A,A,C,4.8,'ABAIXO DA MEDIA'
2,27044289,3,1,604386,1,17847733,CCABACBBBCCDB,BABADCCADADDA,DAABDBAACBCCA,AACBACAAAADAA,270915231,1.088.235.294.100.000,-0.029938000000000,248.291.076.000.000.000,29.235.991.000.000.000,C,D,C,C,A,B,B,A,A,A,B,C,B,A,B,A,D,4.8,'ABAIXO DA MEDIA'
2,27044289,3,1,604386,1,17847734,BDAADCCADDDDC,BACDAACDBAADB,BDBCBCABBBDCA,AABCBABCBAADC,270915231,1.088.235.294.100.000,-0.272780000000000,234.718.072.000.000.000,27.077.485.000.000.000,E,B,B,C,A,B,B,A,A,A,B,A,B,B,B,B,C,4.8,'ABAIXO DA MEDIA'
2,27044289,3,1,604386,1,17847735,CBABACDDABCBA,BCABCDACCDCDC,DDABBCBDACBCC,BABBABDDBADCC,270915231,1.088.235.294.100.000,-0.359710000000000,229.859.352.000.000.000,26.216.799.000.000.000,L,C,B,B,A,A,B,A,A,A,C,C,B,B,B,B,C,4.8,'ABAIXO DA MEDIA'
2,27044289,3,1,604386,1,17847736,CADACDCACBBDD,BCADBCBBBCBDA,CCADACCDCBADC,ACDCBCAACCBCD,270915231,1.088.235.294.100.000,1.601.810.000.000.000,339.493.271.000.000.000,16.087.656.000.000.000,J,B,C,B,A,A,A,A,A,A,A,A,A,A,A,A,A,4.8,'ABAIXO DA MEDIA'
2,27044289,3,1,604386,1,17847737,CADCCACACCBCC,BCCAADCDDACAC,C*DDAAACCBCDD,ACDCABDDBADBB,270915231,1.088.235.294.100.000,0.196994000000000,260.974.834.000.000.000,26.877.782.000.000.000,E,C,A,B,A,A,B,A,A,A,B,A,A,A,B,B,D,4.8,'ABAIXO DA MEDIA'
2,27044289,3,1,604386,1,17847738,ACBACDCCCACBD,CDAABDCADADDA,BDBBABDDBCDCC,ADCBACAAACDDA,270915231,?,0.252715000000000,264.089.211.000.000.000,25.608.244.000.000.000,I,C,A,C,A,A,A,A,A,A,B,A,A,A,A,A,C,4.8,'ABAIXO DA MEDIA'
2,27044289,3,1,604386,1,17847739,BCBDCDCCDADDD,BACDACCDBDDDB,BBCBBDCDCDABC,BBDABAACCBBAB,270915231,1.088.235.294.100.000,0.197281000000000,260.990.875.000.000.000,22.213.735.000.000.000,I,C,A,C,A,A,A,A,A,A,C,A,A,A,A,A,C,4.8,'ABAIXO DA MEDIA'
2,27044289,3,1,604386,1,17847740,CBDBABDAABABD,BABADCCADADDA,BDBCBCBDDDCCB,AACBACAAAADAA,270915231,1.088.235.294.100.000,-0.562574000000000,218.520.811.000.000.000,31.810.560.000.000.000,C,B,A,C,A,A,A,A,A,A,B,A,B,A,A,A,D,4.8,'ABAIXO DA MEDIA'
2,27044289,3,1,604386,1,17847741,AADDCDDDDACDD,CDDDACDADBADA,AACDDCACADDBD,CDDAAACADDCDA,270915231,1.088.235.294.100.000,-0.777746000000000,206.494.347.000.000.000,34.660.509.000.000.000,G,B,A,B,C,A,A,A,A,A,B,A,A,A,A,A,C,4.8,'ABAIXO DA MEDIA'
2,27044289,3,1,604386,1,17847742,CCDCBDDBABDBD,BCBACDDCCBCDD,BDDCBBBDDABBD,DDDBC*DDCAD*C,270915231,1.088.235.294.100.000,-0.401396000000000,227.529.424.000.000.000,28.104.283.000.000.000,H,C,A,B,A,A,B,A,A,A,A,C,B,B,A,A,A,4.8,'ABAIXO DA MEDIA'
2,27044289,3,1,604386,1,17847743,BDBDACCDBADDB,AADCADDABBBAA,DBDCDAACACABC,ABDBBBBDDBADA,270915231,1.088.235.294.100.000,0.001143000000000,250.028.266.000.000.000,22.108.881.000.000.000,C,B,B,B,A,A,B,A,A,A,A,A,D,B,B,B,A,4.8,'ABAIXO DA MEDIA'
