ID_ESCOLA,ID_DEPENDENCIA_ADM,ID_LOCALIZACAO,ID_TURMA,ID_ALUNO,TX_RESP_BLOCO_1_LP,TX_RESP_BLOCO_2_LP,TX_RESP_BLOCO_1_MT,TX_RESP_BLOCO_2_MT,IN_PROVA_BRASIL,ESTRATO_ANEB,PESO_ALUNO_LP,PESO_ALUNO_MT,PROFICIENCIA_LP,DESVIO_PADRAO_LP,PROFICIENCIA_LP_SAEB,DESVIO_PADRAO_LP_SAEB,TX_RESP_Q004,TX_RESP_Q006,TX_RESP_Q007,TX_RESP_Q008,TX_RESP_Q009,TX_RESP_Q011,TX_RESP_Q027,TX_RESP_Q028,TX_RESP_Q037,TX_RESP_Q043,TX_RESP_Q048,TX_RESP_Q049,TX_RESP_Q050,TX_RESP_Q051,'CLASSIFICADOR IDEB'
27036049,3,1,603815,17829348,CDCDCCCADAA,DCABABADBAB,DCDB.CCADAD,CBAABAAADCD,1,270430231,1.127.950.863,1.127.950.863,-1.790.985,0.401618,151.313.604,22.126.486,E,E,C,C,A,C,B,B,A,C,B,A,A,D,'ACIMA DA M?DIA '
27036049,3,1,603815,17829349,BBBABCABBBB,DCBCBDBAABB,DCCCBACADBB,ABCAAD*CCCB,1,270430231,1.127.950.863,1.127.950.863,-1.642.617,0.389175,159.487.696,21.440.959,C,A,B,B,B,B,A,A,?,D,A,A,A,D,'ACIMA DA M?DIA '
27036049,3,1,603816,17829352,ADACCCBABDA,CCDAADDACDC,AADCCDDDBCB,BCABDBDBBBC,1,270430231,1.127.950.863,1.127.950.863,-1.256.446,0.416408,180.763.155,22.941.317,F,B,A,B,B,B,A,A,C,C,A,A,A,D,'ACIMA DA M?DIA '
27036049,3,1,603816,17829353,BCABDDADDBC,DBCCBCDBBDC,DAACACDCCCA,DDBBBCDBBDD,1,270430231,1.127.950.863,1.127.950.863,-0.715943,0.32002,210.541.283,17.630.978,D,B,B,B,A,A,A,A,A,A,A,A,A,A,'ACIMA DA M?DIA '
27036049,3,1,603816,17829354,CCCBABADBDC,DCCCBBDBBAB,DCCBBBDACAB,DCCBDCDCADB,1,270430231,1.127.950.863,1.127.950.863,-0.048904,0.316005,247.290.704,17.409.778,D,B,B,B,B,A,A,A,A,A,A,A,A,A,'ACIMA DA M?DIA '
27036049,3,1,603816,17829355,BDDADCACBDB,DCCABBBBBAB,ACABCDBDDAB,DACBCACBCDC,1,270430231,1.127.950.863,1.127.950.863,-0.273721,0.338975,23.490.478,18.675.273,C,B,B,B,A,A,A,A,B,A,A,A,A,B,'ACIMA DA M?DIA '
27036049,3,1,603816,17829356,BBADDDDAADB,DADDDADACAB,ADACBBDCACA,BADBDBDABBD,1,270430231,1.127.950.863,1.127.950.863,-1.362.689,0.381616,174.909.871,21.024.509,D,B,B,C,B,B,A,A,A,B,A,A,A,A,'ACIMA DA M?DIA '
27036049,3,1,603816,17829357,BABDADADDBA,DBAACDCADDB,BAACBDCDACA,DDADDABADDD,1,270430231,1.127.950.863,1.127.950.863,-0.644163,0.340809,214.495.884,18.776.314,D,C,B,B,B,B,A,A,C,A,A,A,A,C,'ACIMA DA M?DIA '
27036049,3,1,603816,17829358,DBDACDCBDDB,BBCBCDCADCB,CCCABBACADD,BAABAABDCDC,1,270430231,1.127.950.863,1.127.950.863,-0.979764,0.368793,196.006.496,20.318.047,C,B,A,A,A,A,A,A,?,A,A,A,A,B,'ACIMA DA M?DIA '
27036049,3,1,603816,17829359,DBACCDCABDC,BCDDBBBDBAB,CBBDBCCCACB,ACDCCACACCC,1,270430231,1.127.950.863,1.127.950.863,-1.597.678,0.390035,161.963.536,2.148.834,D,A,B,B,A,B,A,A,?,B,A,A,A,C,'ACIMA DA M?DIA '
27036049,3,1,603816,17829360,DCACBCDCDDB,DBDACDAADDB,DDDCBBDBBBD,BDBCBDBCBDD,1,270430231,1.127.950.863,1.127.950.863,-0.790151,0.303434,206.452.914,16.717.199,D,B,D,C,A,B,A,A,B,A,A,A,A,D,'ACIMA DA M?DIA '
27036049,3,1,603816,17829362,DBBACDDCDAB,DBBBCBDDACA,ABBBCBCCCCC,CAABBCDBCCD,1,270430231,1.127.950.863,1.127.950.863,-0.472271,0.329978,223.965.992,18.179.598,C,C,?,C,B,B,A,A,B,A,A,A,A,D,'ACIMA DA M?DIA '
27036049,3,1,603816,17829363,BDACACCDACA,CCABBCBADBA,DCAACCDBDCC,AACADCBCAAB,1,270430231,1.127.950.863,1.127.950.863,-2.004.762,0.468104,13.953.591,25.789.424,F,B,B,B,B,B,A,A,B,D,A,A,A,A,'ACIMA DA M?DIA '
27036049,3,1,603816,17829364,ABDCABADBBB,CAADDADACBB,ADDDCCABCAD,ADCABCCBDAD,1,270430231,1.127.950.863,1.127.950.863,-1.670.563,0.424194,157.948.057,23.370.274,E,B,B,B,A,A,A,A,?,C,A,B,A,A,'ACIMA DA M?DIA '
27036049,3,1,603816,17829365,BCADADBBADC,CBACDDBBCDB,BBCABBCBCCC,CCBDCCDCADB,1,270430231,1.127.950.863,1.127.950.863,-1.375.198,0.376087,174.220.708,20.719.898,E,B,B,B,B,A,A,A,C,B,A,A,A,B,'ACIMA DA M?DIA '
27036049,3,1,603816,17829366,BCCDCBBDCCA,DBABDBBCBDC,AACBAADBBBD,CCABABDCCDD,1,270430231,1.127.950.863,1.127.950.863,-0.347812,0.354669,230.822.857,19.539.908,C,B,B,B,B,B,A,A,B,A,A,A,A,B,'ACIMA DA M?DIA '
27036049,3,1,603816,17829367,CBDADDAADAB,CCCDABADBDA,BCABCBDBBDC,CCCDABDCCCB,1,270430231,1.127.950.863,1.127.950.863,-0.216423,0.33633,238.061.519,18.529.551,D,B,D,C,C,B,A,A,C,A,A,A,A,A,'ACIMA DA M?DIA '
27036049,3,1,603816,17829368,BAABDAABACD,ABDCBDDDDAA,AADBAADDCBD,CBDDDDBADCA,1,270430231,1.127.950.863,1.127.950.863,-1.942.989,0.416904,142.939.192,22.968.643,D,C,C,B,A,B,A,A,A,B,A,A,A,A,'ACIMA DA M?DIA '
27036049,3,1,603816,17829369,DBACABACBDC,BDDDDDACAAB,CDBCBDBDCCA,BAACCCCCCCB,1,270430231,1.127.950.863,1.127.950.863,-0.133461,0.400503,242.632.175,22.065.057,C,A,A,C,C,B,A,A,A,D,A,A,A,A,'ACIMA DA M?DIA '
27036049,3,1,603816,17829371,CBBDCDDACDB,CDBACBAACBA,BCACCBBBBBB,ADABAACBBBD,1,270430231,1.127.950.863,1.127.950.863,-0.733513,0.319121,209.573.292,17.581.449,C,B,C,B,B,A,A,A,?,A,A,A,A,C,'ACIMA DA M?DIA '
27036049,3,1,603816,17829372,BCDDCBCDDCA,ADDCDAACBBB,BDABAADCBBA,BAAACDDDCCB,1,270430231,1.127.950.863,1.127.950.863,0.184147,0.375793,260.130.267,207.037,D,B,B,B,B,A,A,A,?,B,A,A,A,D,'ACIMA DA M?DIA '
27036049,3,1,603816,17829373,CCDCBBDBBAB,BACDCBCDCCA,DACBCBCACDC,BDABAACBBBD,1,270430231,1.127.950.863,1.127.950.863,0.621634,0.424053,284.232.897,23.362.506,D,D,C,B,B,B,A,A,B,B,A,A,A,B,'ACIMA DA M?DIA '
27036049,3,1,603816,17829374,BCBCCADDACA,CAABABADBDB,CAABCACBCCD,CDCCCBBCCBC,1,270430231,1.127.950.863,1.127.950.863,-0.741148,0.317714,209.152.654,17.503.933,D,A,B,B,B,B,A,A,A,C,A,A,A,A,'ACIMA DA M?DIA '
27036065,3,1,603817,17829377,BACDCBDADCA,BDCCDCACADD,ADABAACCBCD,BADDBCCCACB,1,270430231,1.109.088.809,1.109.088.809,0.111189,0.365878,256.110.766,20.157.449,D,B,E,B,C,C,A,A,A,A,B,A,A,A,'ACIMA DA M?DIA '
27036065,3,1,603817,17829378,DBCCABADBDC,BCCBDCCCAAB,DCCBADDDCCD,BADBCDCCCCB,1,270430231,1.109.088.809,1.109.088.809,-0.398526,0.383839,228.028.852,21.146.981,C,A,B,B,B,A,A,A,B,C,B,A,A,B,'ACIMA DA M?DIA '
27036065,3,1,603817,17829379,BCDDDDAAABA,DBAACDDBDDB,CBACBDDCBDA,ABDDCCCACCD,1,270430231,1.109.088.809,1.109.088.809,-0.349451,0.364367,230.732.559,20.074.203,D,A,B,B,?,B,A,B,C,C,A,A,A,B,'ACIMA DA M?DIA '
27036065,3,1,603817,17829380,BCBCDBBADBA,DCBCCAAAADA,DCBDCDCBDDA,CDCBDACCCCC,1,270430231,1.109.088.809,1.109.088.809,-118.476,0.390411,184.712.577,21.509.055,D,B,B,B,A,B,A,A,A,A,A,A,A,A,'ACIMA DA M?DIA '
27036065,3,1,603817,17829381,BCDDAADAABC,CADBDDAACBB,DAACBDCCBDA,DCABABBBBBC,1,270430231,1.109.088.809,1.109.088.809,-0.982143,0.331406,195.875.429,18.258.271,D,B,D,B,B,B,A,A,B,B,A,A,A,B,'ACIMA DA M?DIA '
27036065,3,1,603817,17829382,DBBACDDBDCB,ACCDABACBDC,ABCABACCADD,ACCDABDDCBA,1,270430231,1.109.088.809,1.109.088.809,1.458.391,0.621305,330.332.654,34.229.782,C,A,B,B,B,B,A,A,B,B,A,A,A,B,'ACIMA DA M?DIA '
27036065,3,1,603817,17829384,DCACCBDBDBB,DBBCCCDADDB,DDBBCBACBDB,ABBCBCBCCDD,1,270430231,1.109.088.809,1.109.088.809,-0.842777,0.34753,203.553.571,19.146.596,C,B,B,D,D,B,A,A,B,C,A,A,A,B,'ACIMA DA M?DIA '
27036065,3,1,603817,17829385,BABADBBABBD,CCABDCBAABA,DDDBABDDADB,ACAABCCCCBD,1,270430231,1.109.088.809,1.109.088.809,-2.536.015,0.484221,110.267.396,26.677.363,D,B,B,C,A,B,A,A,B,B,A,A,A,B,'ACIMA DA M?DIA '
27036065,3,1,603817,17829386,BCDADBACAAB,DCACBBAABBB,AADCCDDDAAB,DCBBCABBADB,1,270430231,1.109.088.809,1.109.088.809,-0.670702,0.313184,213.033.761,1.725.436,D,A,B,B,A,A,A,A,B,C,A,A,A,B,'ACIMA DA M?DIA '
27036065,3,1,603817,17829387,DBBACDCADCB,ABBDCBCACAA,CBBABDACBBD,CAABCACBBAD,1,270430231,1.109.088.809,1.109.088.809,-0.488998,0.337877,223.044.446,1.861.478,D,B,B,B,B,B,A,A,?,?,A,B,A,B,'ACIMA DA M?DIA '
27036065,3,1,603817,17829388,BDCDBAACADA,CCCAACDDBBA,BACBCDBDACC,ACAAADDACCA,1,270430231,1.109.088.809,1.109.088.809,-1.628.594,0.411609,16.026.027,22.676.924,D,B,B,B,B,B,A,A,?,A,B,C,A,D,'ACIMA DA M?DIA '
27036065,3,1,603817,17829389,DCCDCBCACCA,ACCDABACBDC,AAABADDBBCA,ACBCABDACCC,1,270430231,1.109.088.809,1.109.088.809,0.819276,0.471817,29.512.166,25.993.985,D,B,C,B,A,B,A,A,B,C,A,B,A,A,'ACIMA DA M?DIA '
27036065,3,1,603817,17829390,CBDDCDAACDB,DBBBADCBDDA,BDAAABDBCBC,ABBABABCACD,1,270430231,1.109.088.809,1.109.088.809,-0.338211,0.406836,231.351.809,22.413.963,D,A,B,B,A,B,A,A,B,C,A,A,A,B,'ACIMA DA M?DIA '
27036065,3,1,603817,17829391,DBBACBBBBCC,ABDBBBACBBC,CBBADABCBAD,CADDBCBDAAC,1,270430231,1.109.088.809,1.109.088.809,-1.374.188,0.389739,174.276.352,21.472.032,D,B,E,B,A,B,A,A,?,A,A,A,A,A,'ACIMA DA M?DIA '
27036065,3,1,603817,17829392,BDDCDCACDBB,BDCCDDCADBD,ACABBDDDDCB,BAACBDDCBDB,1,270430231,1.109.088.809,1.109.088.809,0.203582,0.363401,261.201.007,20.020.983,C,D,D,B,B,B,A,B,C,A,B,A,A,B,'ACIMA DA M?DIA '
27036065,3,1,603817,17829393,CBDACBBADCB,ACDDABBDBDC,DBCBBCBCBDD,ACCCCCDCCBC,1,270430231,1.109.088.809,1.109.088.809,-0.690881,0.349924,211.922.032,1.927.849,E,A,A,B,B,A,A,A,A,B,A,A,A,C,'ACIMA DA M?DIA '
