ID_PROVA_BRASIL,ID_REGIAO,ID_UF,ID_MUNICIPIO,ID_AREA,ID_ESCOLA,ID_DEPENDENCIA_ADM,ID_LOCALIZACAO,ID_TURMA,ID_TURNO,ID_SERIE,ID_ALUNO,IN_SITUACAO_CENSO,IN_PREENCHIMENTO_PROVA,ID_CADERNO,ID_BLOCO_1,ID_BLOCO_2,TX_RESP_BLOCO_1_LP,TX_RESP_BLOCO_2_LP,TX_RESP_BLOCO_1_MT,TX_RESP_BLOCO_2_MT,IN_PROFICIENCIA,IN_PROVA_BRASIL,ESTRATO_ANEB,PESO_ALUNO_LP,PESO_ALUNO_MT,PROFICIENCIA_LP,DESVIO_PADRAO_LP,PROFICIENCIA_LP_SAEB,DESVIO_PADRAO_LP_SAEB,PROFICIENCIA_MT,DESVIO_PADRAO_MT,PROFICIENCIA_MT_SAEB,DESVIO_PADRAO_MT_SAEB,IN_PREENCHIMENTO_QUESTIONARIO,TX_RESP_Q001,TX_RESP_Q002,TX_RESP_Q003,TX_RESP_Q004,TX_RESP_Q005,TX_RESP_Q006,TX_RESP_Q007,TX_RESP_Q008,TX_RESP_Q009,TX_RESP_Q010,TX_RESP_Q011,TX_RESP_Q012,TX_RESP_Q013,TX_RESP_Q014,TX_RESP_Q015,TX_RESP_Q016,TX_RESP_Q017,TX_RESP_Q018,TX_RESP_Q019,TX_RESP_Q020,TX_RESP_Q021,TX_RESP_Q022,TX_RESP_Q023,TX_RESP_Q024,TX_RESP_Q025,TX_RESP_Q026,TX_RESP_Q027,TX_RESP_Q028,TX_RESP_Q029,TX_RESP_Q030,TX_RESP_Q031,TX_RESP_Q032,TX_RESP_Q033,TX_RESP_Q034,TX_RESP_Q035,TX_RESP_Q036,TX_RESP_Q037,TX_RESP_Q038,TX_RESP_Q039,TX_RESP_Q040,TX_RESP_Q041,TX_RESP_Q042,TX_RESP_Q043,TX_RESP_Q044,TX_RESP_Q045,TX_RESP_Q046,TX_RESP_Q047,TX_RESP_Q048,TX_RESP_Q049,TX_RESP_Q050,TX_RESP_Q051,IDEB,CLASSIFICADOR IDEB
2015,2,27,2704302,1,27034755,3,1,603737,1,5,17826685,1,1,15,1,4,DBAACDABDCB,BDDADBACDDA,CBBBBCCCDBD,BADBCDDCBCB,1,1,270430231,1.140.211.199,1.140.211.199,0.111387,0.391905,256.121.674,21.591.364,0.166134,0.334772,259.249.997,18.711.186,1,A,B,F,C,B,A,B,B,A,A,A,A,A,C,D,E,A,A,B,A,B,B,G,A,B,A,A,A,A,A,A,C,C,C,B,C,C,C,C,B,E,B,A,A,A,A,A,A,A,A,C,4.9,ABAIXO DA MÉDIA
2015,2,27,2704302,1,27034755,3,1,603737,1,5,17826686,1,1,2,2,3,ABCBAADBAAA,ACACDCADADC,BDABDACBBCA,CACCACCDDCD,1,1,270430231,1.140.211.199,1.140.211.199,-1.671.931,0.361852,157.872.689,19.935.644,-1.031.265,0.490196,192.324.579,27.398.196,1,B,B,K,E,D,B,D,B,B,A,C,B,C,B,D,E,A,A,C,A,A,C,C,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,D,D,A,A,C,C,A,A,A,A,A,A,4.9,ABAIXO DA MÉDIA
2015,2,27,2704302,1,27034755,3,1,603737,1,5,17826687,1,1,4,4,5,BDADCCABCCB,BA.ADDCA*CC,AADACBBAACA,CDCDCDBCABD,1,1,270430231,1.140.211.199,1.140.211.199,-1.228.504,0.420514,182.302.573,2.316.753,-1.579.677,0.458401,161.672.556,25.621.099,1,A,B,E,E,B,A,B,B,B,A,A,B,A,C,D,E,A,A,G,A,A,B,G,A,A,C,A,A,A,A,B,C,B,C,A,B,C,B,B,C,D,A,D,C,C,A,B,A,A,A,B,4.9,ABAIXO DA MÉDIA
2015,2,27,2704302,1,27034755,3,1,603737,1,5,17826688,1,1,11,4,6,ADDDDCACDBB,DADDCBBDDBD,AADDCCDDAAB,DDBDBAACBBA,1,1,270430231,1.140.211.199,1.140.211.199,-153.101,0.449257,165.636.501,24.751.079,-1.280.906,0.456514,178.371.563,2.551.563,1,A,C,I,D,D,B,,B,B,A,A,A,A,B,D,E,A,A,A,B,B,A,F,A,A,C,A,A,A,A,A,C,B,C,B,C,C,C,B,C,A,B,A,A,A,A,A,A,A,A,B,4.9,ABAIXO DA MÉDIA
2015,2,27,2704302,1,27034755,3,1,603737,1,5,17826689,1,1,16,2,5,BCADAACDCAB,ABCACB.CBDC,ADCDCDACABC,DCDCDCBACAD,1,1,270430231,1.140.211.199,1.140.211.199,-2.021.614,0.494304,138.607.476,2.723.287,-1.676.516,0.529631,156.259.999,2.960.231,1,B,B,A,E,B,B,B,B,B,A,A,A,A,B,C,F,A,A,B,A,A,B,A,B,B,B,A,A,A,A,A,,B,,,C,C,,B,A,B,B,D,A,B,A,A,A,A,B,B,4.9,ABAIXO DA MÉDIA
2015,2,27,2704302,1,27034755,3,1,603737,1,5,17826691,1,1,5,5,6,BBDCCCBDBBA,DABADACBBDB,AAADCADDACD,DDDABADBDAB,1,1,270430231,1.140.211.199,1.140.211.199,-1.593.592,0.462171,162.188.648,25.462.555,-1.223.408,0.401894,18.158.526,22.462.791,1,B,A,I,E,C,B,C,B,B,A,A,B,B,C,C,C,B,B,B,A,A,A,F,A,A,B,A,A,A,A,A,C,A,B,,B,B,A,A,A,B,B,A,C,C,A,A,A,A,A,A,4.9,ABAIXO DA MÉDIA
2015,2,27,2704302,1,27034755,3,1,603737,1,5,17826692,1,1,20,6,2,DCAABBDBBAD,BBBDABCABAA,DAACCADCBDC,BAABAACBBAA,1,1,270430231,1.140.211.199,1.140.211.199,-0.67369,0.32324,212.869.142,17.808.379,-0.353272,0.334882,230.219.187,18.717.335,1,A,B,E,D,D,B,B,B,B,A,B,B,B,C,D,F,A,A,E,A,A,B,G,A,A,B,A,A,A,A,B,B,B,B,C,A,B,B,B,D,E,B,C,A,A,A,A,A,A,A,B,4.9,ABAIXO DA MÉDIA
2015,2,27,2704302,1,27034755,3,1,603737,1,5,17826693,1,1,11,4,6,BCDCDBACCCA,DCDACBDBBBC,DADCCDDBBAB,DCDBACCABBD,1,1,270430231,1.140.211.199,1.140.211.199,-0.499416,0.350506,222.470.483,19.310.554,-1.207.023,0.502188,182.501.056,28.068.456,1,B,A,L,C,B,B,C,B,B,A,A,A,B,B,C,D,A,A,G,A,A,A,G,A,A,A,A,A,A,A,A,B,A,B,A,A,B,B,A,B,A,B,B,A,A,A,A,A,A,A,B,4.9,ABAIXO DA MÉDIA
2015,2,27,2704302,1,27034755,3,1,603737,1,5,17826694,1,1,8,1,3,DBACCADADDB,DCDDABADBDC,ACAABABAADD,ACCBBCAACDB,1,1,270430231,1.140.211.199,1.140.211.199,-0.563389,0.33621,218.945.995,1.852.294,-1.006.471,0.445721,193.710.374,24.912.384,1,A,B,G,D,B,A,B,C,A,A,A,A,A,B,B,B,A,A,G,A,A,B,G,A,B,C,A,A,A,A,A,,B,,,,,C,,D,E,B,B,C,A,A,A,A,A,A,B,4.9,ABAIXO DA MÉDIA
2015,2,27,2704302,1,27034755,3,1,603737,1,5,17826695,1,1,3,3,4,ACCCACABBCD,DADCCCADCBC,DBBCBBCBDCB,AACACBACCCC,1,1,270430231,1.140.211.199,1.140.211.199,-1.365.432,0.423516,174.758.749,23.332.921,-1.493.387,0.500492,166.495.505,27.973.663,1,B,B,C,C,C,B,B,B,B,A,B,A,B,B,C,E,A,C,E,A,A,A,D,A,A,A,A,A,A,A,A,C,B,A,C,C,C,C,C,E,A,B,B,C,A,A,B,A,A,A,B,4.9,ABAIXO DA MÉDIA
