TX_RESP_Q001,TX_RESP_Q002,TX_RESP_Q003,TX_RESP_Q004,TX_RESP_Q005,TX_RESP_Q006,TX_RESP_Q007,TX_RESP_Q008,TX_RESP_Q009,TX_RESP_Q010,TX_RESP_Q011,TX_RESP_Q012,TX_RESP_Q013,TX_RESP_Q014,TX_RESP_Q015,TX_RESP_Q016,TX_RESP_Q017,TX_RESP_Q018,TX_RESP_Q019,TX_RESP_Q020,TX_RESP_Q021,TX_RESP_Q022,TX_RESP_Q023,TX_RESP_Q024,TX_RESP_Q025,TX_RESP_Q026,TX_RESP_Q027,TX_RESP_Q028,TX_RESP_Q029,TX_RESP_Q030,TX_RESP_Q031,TX_RESP_Q032,TX_RESP_Q033,TX_RESP_Q034,TX_RESP_Q035,TX_RESP_Q036,TX_RESP_Q037,TX_RESP_Q038,TX_RESP_Q039,TX_RESP_Q040,TX_RESP_Q041,TX_RESP_Q042,TX_RESP_Q043,TX_RESP_Q044,TX_RESP_Q045,TX_RESP_Q046,TX_RESP_Q047,TX_RESP_Q048,TX_RESP_Q049,TX_RESP_Q050,TX_RESP_Q051,TX_RESP_Q052,TX_RESP_Q053,TX_RESP_Q054,TX_RESP_Q055,TX_RESP_Q056,TX_RESP_Q057,TX_RESP_Q058,TX_RESP_Q059,TX_RESP_Q060,TX_RESP_Q061,TX_RESP_Q062,TX_RESP_Q063,TX_RESP_Q064,TX_RESP_Q065,TX_RESP_Q066,TX_RESP_Q067,TX_RESP_Q068,TX_RESP_Q069,TX_RESP_Q070,TX_RESP_Q071,TX_RESP_Q072,TX_RESP_Q073,TX_RESP_Q074,TX_RESP_Q075,TX_RESP_Q076,TX_RESP_Q077,TX_RESP_Q078,TX_RESP_Q079,TX_RESP_Q080,TX_RESP_Q081,TX_RESP_Q082,TX_RESP_Q083,TX_RESP_Q084,TX_RESP_Q085,TX_RESP_Q086,TX_RESP_Q087,TX_RESP_Q088,TX_RESP_Q089,TX_RESP_Q090,TX_RESP_Q091,TX_RESP_Q092,TX_RESP_Q093,TX_RESP_Q094,TX_RESP_Q095,TX_RESP_Q096,TX_RESP_Q097,TX_RESP_Q098,TX_RESP_Q099,TX_RESP_Q100,TX_RESP_Q101,TX_RESP_Q102,TX_RESP_Q103,TX_RESP_Q104,TX_RESP_Q105,TX_RESP_Q106,TX_RESP_Q107,TX_RESP_Q108,TX_RESP_Q109,TX_RESP_Q110,TX_RESP_Q111,IDEB,CLASSIFICADOR IDEB
B,C,B,D,C,C,B,A,A,E,C,E,B,B,D,C,C,D,B,D,B,C,B,B,B,B,E,E,E,B,C,G,A,A,A,A,E,A,B,I,A,A,A,B,D,C,C,D,A,B,B,B,A,C,B,B,B,B,A,A,A,C,D,D,B,B,B,B,A,D,C,A,B,D,A,C,A,A,A,A,A,B,A,B,B,B,B,A,A,A,A,B,B,B,B,A,A,A,B,A,B,B,B,A,A,B,B,A,B,C,C,5,ACIMA DA MEDIA
B,E,A,D,B,C,C,A,A,I,C,I,A,B,E,D,D,F,B,D,B,A,C,C,B,B,E,E,E,B,E,H,A,A,A,A,D,A,A,D,C,C,B,B,C,C,C,C,A,B,B,B,A,B,A,E,C,C,A,B,A,C,C,E,B,B,A,C,D,B,B,A,A,B,A,B,B,A,A,A,A,B,A,B,A,B,A,B,A,B,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,A,B,C,C,5,ACIMA DA MEDIA
B,E,B,D,E,C,B,C,E,F,C,F,A,B,E,D,D,G,A,A,A,B,C,C,B,B,E,C,E,C,D,F,A,A,A,A,E,C,F,A,C,D,B,C,D,C,C,C,D,D,C,B,B,B,A,B,B,C,A,A,A,C,C,D,C,D,A,A,A,D,A,A,A,A,C,A,A,A,A,B,A,B,A,B,A,B,A,B,A,A,A,B,B,B,B,B,B,A,B,A,A,A,B,A,A,A,A,A,B,C,C,4.9,ABAIXO DA MEDIA
B,F,A,D,D,C,D,A,A,I,C,J,A,B,E,C,C,F,B,D,B,C,C,C,B,A,A,E,E,C,D,F,A,A,A,B,C,A,D,F,B,D,B,C,D,C,C,D,B,B,B,A,A,A,A,C,A,C,A,A,A,D,D,D,D,C,B,A,A,A,A,C,A,A,A,A,A,A,A,A,A,B,A,A,A,B,A,A,B,A,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,C,C,C,4.9,ABAIXO DA MEDIA
B,D,B,D,C,B,B,C,E,I,A,J,A,B,E,D,D,F,A,A,B,C,C,C,C,A,A,E,E,C,D,F,A,A,A,A,E,A,E,E,D,C,B,C,D,C,C,C,B,A,A,B,A,C,B,B,A,A,A,B,A,C,D,E,D,D,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,B,A,B,A,B,A,B,B,B,A,B,B,B,B,B,B,B,B,A,A,A,B,A,A,B,B,A,B,C,C,4.9,ABAIXO DA MEDIA
B,D,F,D,C,C,B,C,C,I,C,I,A,B,F,C,C,G,B,C,B,B,C,C,B,B,E,E,E,B,D,H,A,A,A,A,C,A,F,E,C,A,B,C,D,D,D,D,A,A,B,C,B,B,A,D,B,B,A,A,A,C,C,D,C,C,C,A,C,B,C,D,A,B,A,D,B,A,A,B,B,B,A,B,A,B,A,A,A,A,A,B,B,B,B,B,B,B,B,B,A,B,B,B,B,B,B,A,B,C,C,4.9,ABAIXO DA MEDIA
A,D,B,H,D,B,B,C,E,F,C,F,B,B,F,C,C,F,B,C,B,A,B,B,C,A,A,E,E,C,D,F,A,A,A,B,E,D,C,I,C,C,B,C,C,D,D,D,B,B,C,C,C,B,B,B,A,A,C,A,A,C,E,E,D,C,D,A,B,A,C,B,B,B,A,A,B,B,A,A,A,B,A,B,A,B,A,B,A,A,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,C,C,B,4.8,ABAIXO DA MEDIA
B,C,B,D,C,C,B,C,C,G,A,I,A,B,G,A,A,F,A,A,B,C,C,C,A,B,D,D,E,B,D,G,A,A,A,B,E,C,A,I,E,E,B,B,D,D,D,D,C,A,A,B,B,B,A,E,B,B,A,B,A,C,C,D,D,D,C,B,D,A,A,A,A,B,A,B,A,A,B,A,A,B,A,B,A,B,A,A,A,A,A,B,B,B,B,B,B,B,B,A,A,B,B,A,A,B,B,A,C,C,C,4.8,ABAIXO DA MEDIA
A,D,A,D,C,B,B,C,B,I,C,I,B,B,E,D,D,F,A,A,B,B,B,C,B,B,E,A,E,B,D,B,A,A,B,B,D,C,A,B,D,D,B,C,D,D,D,D,A,A,A,B,B,A,A,C,A,A,A,A,A,D,D,D,D,B,C,A,D,A,A,C,A,A,A,B,B,B,A,A,A,B,A,B,A,B,A,B,A,B,A,B,B,B,B,B,B,B,B,B,A,A,B,B,B,B,A,A,C,C,B,4.8,ABAIXO DA MEDIA
B,E,B,D,B,C,D,C,E,J,C,J,B,E,H,E,E,G,B,B,B,C,C,C,C,B,E,B,E,C,D,F,A,A,A,A,C,D,F,H,C,C,B,C,C,D,D,C,B,A,B,C,B,A,A,B,A,A,A,A,B,C,D,E,B,C,B,A,A,B,A,C,A,C,A,A,B,B,A,A,A,B,A,B,A,B,A,B,A,A,A,B,B,B,B,B,B,B,B,A,A,A,B,A,A,A,A,A,B,C,C,4.8,ABAIXO DA MEDIA
