TX_RESP_Q001,TX_RESP_Q002,TX_RESP_Q003,TX_RESP_Q004,TX_RESP_Q005,TX_RESP_Q006,TX_RESP_Q007,TX_RESP_Q008,TX_RESP_Q009,TX_RESP_Q010,TX_RESP_Q011,TX_RESP_Q012,TX_RESP_Q013,TX_RESP_Q014,TX_RESP_Q015,TX_RESP_Q016,TX_RESP_Q017,TX_RESP_Q018,TX_RESP_Q019,TX_RESP_Q020,TX_RESP_Q021,TX_RESP_Q022,TX_RESP_Q023,TX_RESP_Q024,TX_RESP_Q025,TX_RESP_Q026,TX_RESP_Q027,TX_RESP_Q028,TX_RESP_Q029,TX_RESP_Q030,TX_RESP_Q031,TX_RESP_Q032,TX_RESP_Q033,TX_RESP_Q034,TX_RESP_Q035,TX_RESP_Q036,TX_RESP_Q037,TX_RESP_Q038,TX_RESP_Q039,TX_RESP_Q040,TX_RESP_Q041,TX_RESP_Q042,TX_RESP_Q043,TX_RESP_Q044,TX_RESP_Q045,TX_RESP_Q046,TX_RESP_Q047,TX_RESP_Q048,TX_RESP_Q049,TX_RESP_Q050,TX_RESP_Q051,TX_RESP_Q052,TX_RESP_Q053,TX_RESP_Q054,TX_RESP_Q055,TX_RESP_Q056,TX_RESP_Q057,TX_RESP_Q058,TX_RESP_Q059,TX_RESP_Q060,TX_RESP_Q061,TX_RESP_Q062,TX_RESP_Q063,TX_RESP_Q064,TX_RESP_Q065,TX_RESP_Q066,TX_RESP_Q067,TX_RESP_Q068,TX_RESP_Q069,TX_RESP_Q070,TX_RESP_Q071,TX_RESP_Q072,TX_RESP_Q073,TX_RESP_Q074,TX_RESP_Q075,TX_RESP_Q076,TX_RESP_Q077,TX_RESP_Q078,TX_RESP_Q079,TX_RESP_Q080,TX_RESP_Q081,TX_RESP_Q082,TX_RESP_Q083,TX_RESP_Q084,TX_RESP_Q085,TX_RESP_Q086,TX_RESP_Q087,TX_RESP_Q088,TX_RESP_Q089,TX_RESP_Q090,TX_RESP_Q091,TX_RESP_Q092,TX_RESP_Q093,TX_RESP_Q094,TX_RESP_Q095,TX_RESP_Q096,TX_RESP_Q097,TX_RESP_Q098,TX_RESP_Q099,TX_RESP_Q100,TX_RESP_Q101,TX_RESP_Q102,TX_RESP_Q103,TX_RESP_Q104,TX_RESP_Q105,TX_RESP_Q106,TX_RESP_Q107,TX_RESP_Q108,TX_RESP_Q109,TX_RESP_Q110,TX_RESP_Q111,IDEB,CLASSIFICADOR IDEB
B,F,B,D,E,B,B,C,E,J,C,K,A,B,G,G,G,G,A,B,B,A,C,A,C,A,A,E,E,B,E,D,A,A,A,A,E,A,A,J,D,E,B,C,C,C,C,C,B,C,B,C,C,D,A,E,A,B,A,C,A,C,E,E,B,D,C,A,A,A,B,A,A,D,A,B,B,A,B,A,B,B,B,B,A,B,A,B,A,B,A,B,B,B,B,B,B,B,B,A,A,A,A,A,A,B,A,,B,B,B,4.7,ABAIXO DA MEDIA
B,E,B,H,E,C,B,C,E,I,A,J,B,B,E,D,D,G,A,A,A,C,C,C,C,A,A,E,E,C,E,F,A,A,A,A,D,C,A,D,C,C,B,C,C,D,D,D,B,B,B,B,B,A,A,E,A,C,,A,A,D,E,E,D,D,A,A,C,A,A,B,B,A,A,B,B,A,A,A,A,B,A,B,A,B,A,B,B,B,B,B,B,B,B,B,B,B,B,B,A,B,B,A,A,B,B,A,B,C,C,4.6,ABAIXO DA MEDIA
B,E,C,H,C,C,B,C,E,I,C,I,A,B,F,C,C,G,B,C,B,B,C,C,C,A,A,E,E,B,D,F,A,A,A,A,E,D,D,A,D,C,A,C,C,D,D,D,C,C,C,C,C,C,C,D,B,A,A,B,B,C,C,D,D,B,A,B,A,,,B,A,A,A,A,B,A,A,A,A,B,A,B,A,B,A,B,A,B,B,B,B,B,B,B,B,B,B,A,A,A,A,A,A,A,A,A,A,B,A,4.6,ABAIXO DA MEDIA
B,D,A,D,B,C,B,C,E,J,C,K,B,B,G,C,C,G,A,A,B,C,B,B,B,B,D,D,E,C,D,D,A,A,B,B,C,A,A,A,C,C,B,B,C,C,C,C,B,A,A,B,B,B,A,C,A,A,A,A,A,D,D,D,C,D,B,B,A,A,A,B,B,B,A,A,B,A,A,A,A,B,A,B,A,B,A,B,A,B,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,A,A,A,B,C,C,4.6,ABAIXO DA MEDIA
B,C,B,D,D,B,B,C,E,I,A,J,A,B,E,E,D,F,B,E,B,B,C,C,B,B,E,C,E,C,B,H,A,A,A,A,E,A,A,D,C,C,B,C,C,C,D,D,A,B,B,C,B,B,B,D,B,C,C,B,A,C,C,E,B,B,D,D,C,A,A,D,B,C,C,B,A,A,A,A,A,B,A,B,A,B,A,A,B,B,A,B,B,B,B,B,B,A,B,A,B,A,B,B,B,B,B,A,B,C,C,4.6,ABAIXO DA MEDIA
B,D,A,D,B,C,C,C,E,F,C,G,A,B,F,B,B,E,B,D,A,C,C,C,B,B,E,E,E,B,E,F,A,A,A,A,E,A,A,E,C,C,A,C,,,D,D,B,B,B,B,A,B,A,C,A,A,A,A,A,E,E,E,B,B,A,A,C,A,A,B,A,D,A,C,B,A,A,A,A,B,A,B,A,B,A,B,A,B,A,B,B,B,B,B,B,B,B,A,A,B,B,A,A,B,B,A,B,C,C,4.5,ABAIXO DA MEDIA
B,D,A,H,D,B,B,C,E,J,B,J,A,B,F,D,D,F,B,D,B,B,B,B,B,B,E,E,E,C,D,F,A,A,C,A,E,D,E,I,D,D,B,C,C,C,C,C,B,C,C,C,C,A,A,E,B,B,A,B,B,B,B,C,B,B,A,A,B,A,B,B,B,B,A,B,B,A,A,A,A,B,A,B,A,B,A,B,B,A,A,B,B,B,B,B,B,B,B,A,A,B,B,A,A,B,B,A,C,C,C,4.5,ABAIXO DA MEDIA
B,E,A,,D,B,B,C,E,I,A,J,B,B,D,C,C,D,B,E,B,B,C,C,C,B,E,E,E,B,D,F,A,A,A,A,C,A,A,A,D,C,B,C,C,D,C,D,B,C,B,B,B,C,B,E,B,C,A,B,A,C,C,D,C,D,A,A,A,A,A,A,A,A,A,A,B,A,B,A,A,B,A,B,A,B,A,A,B,B,A,B,B,B,B,B,B,B,B,A,A,B,B,A,A,B,B,B,B,C,C,4.5,ABAIXO DA MEDIA
B,D,B,D,D,C,B,C,C,H,A,I,A,B,F,D,D,G,B,C,B,B,C,C,B,B,E,D,E,C,E,F,A,A,A,A,D,A,A,D,B,D,B,C,C,C,B,D,A,B,B,B,D,C,B,C,A,A,B,A,B,B,D,D,B,D,B,B,A,A,A,A,A,A,B,A,A,A,A,A,A,B,A,B,A,B,B,A,B,B,B,B,B,B,B,B,B,B,B,A,B,B,B,A,B,B,B,A,B,C,C,4.5,ABAIXO DA MEDIA
B,C,C,D,B,C,B,A,B,G,C,G,B,B,E,C,C,D,B,D,B,C,C,C,B,B,E,C,E,B,C,F,A,A,A,A,E,C,A,A,C,C,B,C,D,D,D,D,D,B,B,C,B,D,B,E,B,B,A,A,A,B,D,D,C,D,B,D,A,A,B,A,B,B,A,B,B,A,A,A,A,B,A,A,A,A,A,B,B,B,B,B,B,A,B,B,B,B,B,A,A,A,A,A,A,A,A,A,C,C,B,4.5,ABAIXO DA MEDIA
B,D,B,D,D,B,B,C,E,G,C,G,B,B,D,D,D,F,B,D,B,C,C,C,C,B,E,D,E,B,A,A,A,A,A,A,E,D,E,I,E,E,A,D,D,D,C,D,A,A,A,C,B,A,A,C,A,A,A,A,B,C,C,D,B,C,C,A,D,A,B,B,A,A,A,A,A,A,A,A,A,B,A,B,A,B,A,B,A,B,A,B,B,B,B,B,B,B,B,A,A,A,A,A,A,A,A,A,B,C,B,4.5,ABAIXO DA MEDIA
B,E,B,G,D,C,B,C,E,J,C,J,A,B,F,G,G,G,B,C,B,B,B,C,B,B,E,D,E,B,D,D,A,A,A,A,E,A,C,F,D,D,B,C,C,C,D,C,B,B,A,B,B,C,B,E,C,B,A,A,A,C,C,E,B,B,B,D,C,A,A,B,A,C,A,D,B,A,A,A,A,B,A,B,A,B,A,A,A,A,A,B,A,B,B,A,A,B,B,A,A,A,B,A,A,A,B,A,B,C,C,4.5,ABAIXO DA MEDIA
B,D,A,G,E,B,B,C,E,E,A,G,B,B,H,D,D,G,A,A,B,C,B,C,C,B,D,D,E,B,E,F,A,A,B,B,B,D,D,A,C,C,B,D,C,C,C,C,A,B,B,C,B,B,B,E,C,C,A,B,A,C,C,C,B,B,A,B,C,A,A,A,C,D,A,D,B,A,A,A,A,B,A,B,A,B,A,A,A,A,A,B,A,A,B,A,A,B,B,A,A,A,A,A,A,A,A,A,A,C,C,4.5,ABAIXO DA MEDIA
B,C,C,D,C,C,B,A,A,I,C,I,B,B,E,E,C,E,B,D,B,B,C,C,C,B,E,E,E,C,D,F,A,A,A,B,E,C,A,I,C,E,A,C,C,D,D,D,C,B,B,C,A,B,B,B,A,A,A,B,A,C,C,D,C,D,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,B,A,B,A,A,A,B,B,B,B,B,B,B,B,B,B,B,B,A,B,A,A,B,B,B,B,C,C,4.4,ABAIXO DA MEDIA
A,D,A,H,B,B,B,C,E,I,A,J,B,B,G,C,C,E,B,B,A,A,C,C,C,B,E,C,E,B,E,D,A,A,A,A,D,B,A,I,C,D,B,C,D,C,C,C,A,B,C,C,D,B,A,E,B,A,A,B,A,E,E,E,C,C,A,D,B,A,A,A,A,A,C,B,,A,A,A,A,B,A,B,A,B,A,B,A,A,A,B,B,B,B,B,B,B,B,A,A,A,A,A,A,A,A,A,B,C,C,4.4,ABAIXO DA MEDIA
B,D,B,D,C,C,B,A,A,I,C,,B,B,E,C,A,F,B,D,B,B,B,B,B,B,E,E,E,C,A,F,A,A,B,B,E,A,F,E,B,E,B,C,C,C,D,D,C,A,B,B,B,B,B,A,A,A,A,A,A,D,D,D,B,C,A,A,A,A,A,A,A,A,A,B,B,A,A,A,A,B,A,B,A,B,A,A,A,A,A,B,B,B,B,B,B,B,B,B,A,A,A,A,A,A,A,A,B,C,C,4.4,ABAIXO DA MEDIA
B,F,A,D,E,C,B,C,E,J,C,J,B,B,E,D,D,G,A,A,A,A,C,C,B,A,A,E,E,B,E,F,A,A,B,B,E,B,A,A,C,C,B,C,D,C,C,C,A,A,A,A,B,A,A,C,B,A,A,A,A,D,E,E,C,C,A,A,A,A,A,A,A,A,A,D,B,A,B,A,A,B,A,A,,B,B,B,B,A,A,B,B,A,B,B,B,B,B,A,A,A,B,B,B,B,B,A,B,C,C,4.4,ABAIXO DA MEDIA
B,F,B,H,C,B,B,C,E,I,C,J,A,B,F,E,E,G,B,C,B,B,C,B,B,B,E,B,E,B,D,H,A,A,A,A,E,B,A,I,C,E,B,C,C,C,C,B,B,B,B,B,B,C,C,E,B,B,A,A,A,C,C,E,E,D,B,B,C,A,A,C,A,A,C,B,A,A,A,A,A,B,A,A,A,B,A,A,B,A,A,B,B,B,B,A,B,A,B,A,A,B,B,A,A,A,B,A,C,C,B,4.4,ABAIXO DA MEDIA
B,F,B,D,E,C,D,A,A,J,C,J,B,B,H,C,C,G,B,D,B,B,B,B,B,A,E,D,E,B,E,F,A,A,A,A,E,A,E,F,C,C,B,C,C,C,D,B,B,B,B,C,D,C,B,D,B,B,B,C,B,D,D,D,E,C,A,B,A,B,A,A,A,C,A,C,B,A,A,A,A,B,A,B,A,D,A,B,A,B,B,B,B,B,B,B,B,B,B,A,,,,,A,A,A,A,B,B,C,4.3,ABAIXO DA MEDIA
B,F,B,D,B,C,C,A,A,I,A,I,A,B,G,E,E,E,B,D,B,A,C,C,C,A,A,E,E,B,E,F,A,A,A,A,E,A,F,I,E,E,B,B,D,D,C,C,C,B,A,A,A,C,B,C,B,C,A,A,A,E,E,E,D,C,A,A,B,A,A,A,B,B,A,B,A,A,A,A,A,B,A,B,A,B,A,A,A,B,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,C,C,4.3,ABAIXO DA MEDIA
B,D,B,D,E,C,B,C,E,J,C,J,A,E,G,C,C,G,B,D,B,C,C,C,B,B,E,D,E,C,D,F,A,A,A,A,D,C,A,A,C,C,B,C,C,C,C,C,B,C,C,C,B,B,B,E,C,B,A,B,A,A,D,D,D,D,C,A,D,A,A,D,A,B,A,B,B,B,A,A,A,B,A,B,A,B,B,A,A,A,A,B,B,B,B,B,B,B,B,B,A,B,A,A,A,B,B,A,C,C,C,4.3,ABAIXO DA MEDIA
A,F,B,D,A,C,B,C,E,G,C,G,A,B,D,C,C,E,B,D,B,A,C,,B,A,E,D,E,B,B,F,A,A,B,B,D,A,A,E,D,D,B,C,C,C,C,C,D,D,D,D,C,A,A,D,C,C,A,C,A,D,D,D,D,C,A,A,A,A,A,A,A,A,A,B,B,A,A,A,A,A,A,B,A,C,A,B,B,B,A,B,B,B,B,A,B,B,B,A,A,A,B,A,A,A,A,A,C,C,B,4.3,ABAIXO DA MEDIA
B,D,B,D,B,B,C,C,B,E,A,I,B,E,G,B,B,F,B,E,B,B,C,C,C,B,E,C,C,C,E,E,A,A,B,B,E,A,A,C,C,D,B,C,C,D,C,C,C,C,B,D,D,C,A,D,B,B,B,A,A,C,D,D,C,D,C,C,A,A,A,A,C,C,A,C,B,A,A,A,A,B,A,B,A,B,A,B,A,A,A,B,B,B,B,B,B,A,B,A,B,A,B,A,B,A,A,A,B,C,C,4.3,ABAIXO DA MEDIA
A,F,B,H,E,C,B,B,B,J,C,J,A,B,G,C,C,G,B,D,B,A,B,B,C,B,E,D,E,B,D,F,A,A,A,A,C,D,A,D,E,E,A,D,D,D,D,D,D,D,D,D,D,D,D,D,B,C,A,B,A,B,B,D,C,C,B,B,B,A,A,B,B,B,A,A,B,B,A,A,A,B,B,B,A,B,B,B,B,A,A,B,B,A,B,B,A,A,B,A,A,A,A,A,A,B,B,B,B,,,4.3,ABAIXO DA MEDIA
B,F,B,,D,B,B,C,B,G,C,H,A,B,H,F,F,G,B,C,B,C,C,C,C,B,E,D,E,C,E,F,A,A,A,B,C,A,F,I,C,C,B,C,C,C,C,C,B,C,B,C,B,B,A,D,B,B,A,A,A,C,C,D,B,D,B,A,A,A,B,C,C,C,B,D,A,B,A,A,A,B,A,A,A,B,A,A,B,B,A,B,B,B,B,B,B,B,B,A,A,A,B,A,B,A,A,A,A,C,C,4.3,ABAIXO DA MEDIA
B,D,A,D,C,C,B,C,E,H,C,H,B,B,E,C,C,E,B,E,B,C,C,C,B,B,E,E,E,B,E,F,A,A,A,A,C,A,A,F,D,D,B,D,D,D,D,D,D,B,B,B,B,D,C,D,B,B,A,B,B,C,D,E,D,E,D,B,A,A,C,A,B,B,A,C,A,A,A,A,B,B,A,A,A,B,A,A,A,A,A,B,B,B,B,B,B,B,B,A,A,A,B,A,A,B,B,A,C,C,C,4.2,ABAIXO DA MEDIA
B,F,B,G,C,C,B,C,E,I,A,J,B,E,E,D,D,F,B,C,B,B,C,C,B,A,A,B,E,C,C,H,A,A,A,A,E,C,A,I,D,C,B,B,C,C,D,D,A,B,B,B,B,C,A,E,B,B,A,B,A,C,C,D,D,C,D,D,C,D,C,C,B,D,C,D,B,B,A,A,A,B,A,B,A,B,A,A,B,B,A,B,B,B,B,B,B,B,B,A,A,A,B,A,A,B,B,A,B,C,B,4.2,ABAIXO DA MEDIA
B,F,B,F,C,C,B,D,E,G,A,H,A,B,D,C,C,F,B,C,B,C,B,B,B,A,A,E,E,B,D,F,A,A,A,A,C,C,F,F,C,A,B,C,C,C,C,C,B,C,B,C,B,C,B,E,C,B,A,B,A,D,D,D,C,C,B,B,D,D,C,A,A,A,A,A,B,A,A,A,A,B,A,B,A,B,B,A,B,A,A,B,B,A,B,B,A,B,B,A,A,A,A,A,A,A,A,A,C,C,C,4.2,ABAIXO DA MEDIA
B,D,C,D,D,B,B,C,B,I,A,I,B,B,C,C,C,G,B,E,B,B,B,C,C,B,E,D,E,D,E,H,A,A,A,A,C,D,A,F,D,D,B,D,D,D,D,D,B,D,D,B,D,D,D,E,B,B,C,A,A,E,E,E,E,D,A,A,C,A,A,A,A,A,A,B,A,A,A,A,A,B,A,A,A,B,B,B,A,B,A,B,B,B,A,B,A,B,B,A,A,B,B,A,A,A,A,A,A,C,C,4.2,ABAIXO DA MEDIA
B,D,C,D,D,C,B,C,E,I,C,I,B,B,F,C,C,F,B,D,A,A,A,A,A,B,E,C,E,C,D,F,A,A,A,B,E,D,A,H,C,C,B,C,C,C,C,D,B,B,B,C,B,A,B,E,A,C,A,B,A,B,C,D,B,C,B,B,B,B,B,A,A,A,A,A,B,A,A,A,A,B,A,B,A,B,A,A,A,B,A,B,B,B,B,B,B,B,B,A,A,A,A,A,A,B,A,A,B,C,B,4.2,ABAIXO DA MEDIA
B,F,C,I,C,B,B,C,E,J,C,J,A,E,D,G,G,G,A,D,B,A,B,B,A,A,A,B,E,B,E,H,A,A,A,B,E,C,C,J,D,,,D,D,C,D,C,D,,C,D,D,B,B,E,A,B,A,B,B,C,C,D,D,A,B,B,B,A,B,A,B,C,C,D,B,A,A,A,A,B,A,B,A,B,A,A,A,B,A,B,A,A,B,A,A,B,B,A,A,B,B,B,B,B,B,A,B,C,C,4.2,ABAIXO DA MEDIA
B,D,B,H,B,D,B,D,E,I,C,I,A,B,D,C,C,F,B,D,B,B,C,C,B,B,E,C,E,C,C,F,,A,A,A,E,A,A,F,C,C,A,C,C,C,C,C,A,B,B,B,B,A,B,D,B,B,A,A,A,C,C,D,B,D,D,B,B,C,C,B,A,B,A,B,B,A,A,A,A,B,A,B,B,E,B,A,B,A,A,B,A,A,B,B,B,B,B,A,B,A,B,A,A,B,B,A,B,C,C,4.2,ABAIXO DA MEDIA
B,D,B,D,D,C,B,C,E,H,C,,A,E,F,C,C,F,B,D,B,C,B,C,B,B,E,E,E,E,E,H,A,A,A,A,C,A,A,I,C,D,B,C,C,C,C,C,C,D,C,D,C,C,B,,B,A,A,B,B,C,,E,C,D,B,C,C,A,A,A,A,A,A,B,A,A,A,A,A,B,B,B,A,B,A,A,A,B,B,B,,B,B,B,B,B,B,A,A,A,A,A,A,A,A,A,B,C,C,4.1,ABAIXO DA MEDIA
B,D,B,H,E,B,B,C,E,H,C,H,A,B,G,C,C,G,B,B,B,B,C,C,B,A,A,E,E,C,,F,A,B,A,A,E,B,F,J,D,E,B,B,B,D,D,D,D,A,A,C,B,A,B,D,A,C,A,A,A,D,D,D,B,C,A,A,A,A,A,A,A,A,A,A,B,B,A,A,A,B,A,B,A,B,A,B,B,A,A,A,A,A,A,A,A,A,A,A,B,A,B,A,B,B,B,A,B,C,C,4.1,ABAIXO DA MEDIA
B,D,B,D,C,C,B,A,A,I,C,I,A,B,E,E,E,F,B,D,B,A,C,C,C,B,E,A,E,C,C,H,A,A,A,A,C,D,A,F,D,D,A,C,D,D,B,D,B,B,B,B,B,C,C,D,B,C,A,B,A,D,D,E,D,C,A,D,D,A,A,C,A,A,D,A,A,B,B,A,A,B,A,B,A,B,A,B,A,A,A,B,B,B,B,B,B,B,B,A,B,A,A,A,A,B,B,B,A,C,,4,ABAIXO DA MEDIA
B,E,B,H,D,B,B,C,E,J,C,J,B,B,E,E,E,F,A,A,B,C,C,C,B,B,D,C,E,C,C,C,A,A,A,A,C,A,A,E,D,C,A,C,D,D,D,,C,C,C,B,D,B,B,C,B,A,A,A,A,D,D,D,C,C,C,C,C,C,C,C,B,C,C,C,B,B,A,A,A,B,A,B,A,B,A,B,A,B,A,B,B,B,B,B,B,B,B,A,A,A,B,A,A,A,A,A,C,B,C,4,ABAIXO DA MEDIA
B,D,B,D,C,B,C,A,A,H,C,H,A,B,G,B,B,G,B,D,B,C,C,C,B,B,E,E,E,B,D,H,A,A,A,A,E,A,A,I,C,C,B,D,D,D,D,D,B,B,A,B,B,A,A,E,B,C,A,B,A,D,D,D,D,C,B,B,D,A,A,D,C,C,A,D,A,A,A,A,A,B,A,B,A,B,B,A,A,A,A,B,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,B,C,B,4,ABAIXO DA MEDIA
B,F,B,H,E,C,B,A,A,J,C,J,B,B,G,E,F,G,A,A,A,C,B,B,A,B,E,E,E,B,D,F,A,A,A,A,C,A,C,F,C,C,B,C,D,B,C,D,A,B,B,B,A,C,A,C,A,A,A,A,A,C,D,D,E,C,A,B,B,A,B,C,A,C,A,B,B,B,A,A,A,B,A,A,A,B,A,A,B,A,A,B,B,A,B,A,A,B,B,A,A,A,B,A,A,B,B,A,B,C,C,4,ABAIXO DA MEDIA
B,F,A,D,C,C,C,C,E,I,C,J,A,E,E,E,E,G,B,D,B,B,C,C,B,B,E,D,E,B,A,F,A,A,B,B,E,A,F,I,C,C,B,D,D,D,C,C,B,C,B,B,B,A,A,B,A,A,A,A,A,B,B,E,D,D,C,A,B,A,B,C,B,C,A,B,B,A,A,A,A,B,A,B,A,B,A,A,B,B,A,B,B,B,B,B,B,B,B,A,B,A,B,A,A,A,B,A,C,C,C,3.9,ABAIXO DA MEDIA
B,E,B,I,D,B,B,C,E,I,C,I,A,B,G,C,C,G,B,D,B,B,C,C,B,B,D,D,E,B,E,E,A,B,B,B,E,D,A,F,C,D,B,C,D,D,D,C,B,C,B,B,B,C,B,C,A,B,B,B,B,D,E,E,C,C,D,B,B,A,A,C,B,C,A,B,B,A,B,A,A,B,A,B,A,B,B,B,A,B,A,B,A,B,B,A,A,B,B,A,A,A,A,A,A,A,A,A,B,C,B,3.8,ABAIXO DA MEDIA
B,D,A,H,D,B,B,C,E,G,C,G,B,B,E,C,C,D,A,A,B,C,C,C,B,A,A,E,E,B,D,F,A,A,B,B,C,A,E,E,D,C,A,C,D,D,D,D,C,B,B,D,D,D,B,E,A,B,A,B,A,C,D,E,B,B,B,A,A,A,A,A,C,B,A,A,B,B,A,A,A,B,A,A,A,B,B,A,C,B,B,B,B,B,B,B,B,B,B,A,A,A,A,A,A,A,A,A,B,C,C,3.8,ABAIXO DA MEDIA
B,E,A,H,E,B,B,C,E,I,C,I,A,E,G,D,D,F,B,C,B,C,C,C,B,B,E,E,E,C,E,F,A,A,A,A,E,B,A,D,C,C,A,C,C,C,C,C,B,D,D,D,B,A,A,D,A,A,A,A,A,C,D,E,E,E,B,A,A,A,A,A,A,B,A,C,A,A,A,A,A,B,A,A,A,B,A,A,B,B,A,B,B,B,B,B,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A,3.8,ABAIXO DA MEDIA
B,E,A,H,E,B,B,C,E,E,C,E,B,B,H,E,E,G,B,E,B,C,C,C,B,B,E,E,E,B,D,F,A,A,A,B,E,A,A,F,C,C,B,C,D,D,D,D,B,B,B,C,B,A,A,D,A,A,A,B,B,D,D,D,C,C,C,C,D,A,A,C,C,C,C,D,A,A,B,B,A,B,A,B,A,B,B,A,A,A,A,B,B,B,B,B,B,B,B,A,A,A,A,A,A,A,A,A,B,C,B,3.6,ABAIXO DA MEDIA
B,C,A,G,B,B,B,C,E,F,C,I,A,B,E,B,B,F,B,D,A,C,B,B,B,B,E,E,E,D,D,H,A,A,A,A,D,A,E,E,C,C,A,C,C,C,C,C,A,B,B,B,A,A,A,E,C,C,A,B,A,D,D,E,C,D,A,B,A,A,A,D,A,C,A,A,B,B,A,A,A,B,A,B,A,B,A,A,A,A,A,B,B,B,B,B,A,A,B,B,B,B,A,A,B,B,B,A,B,C,C,3.5,ABAIXO DA MEDIA
B,D,A,D,E,C,B,C,E,I,C,I,A,B,G,C,C,G,B,E,B,C,C,C,B,A,E,E,E,B,A,H,B,C,A,A,D,A,D,E,E,C,B,C,C,C,C,C,B,B,B,C,C,C,B,E,A,C,A,B,A,C,C,E,C,C,C,A,D,A,A,D,B,B,A,C,A,A,A,A,A,B,A,B,A,B,B,A,B,A,A,B,B,A,B,B,B,A,B,A,A,B,B,A,A,B,B,A,B,C,B,3.5,ABAIXO DA MEDIA
B,D,B,D,E,C,B,C,E,H,C,H,B,B,F,C,C,F,B,D,B,B,B,B,B,B,E,B,E,C,C,H,A,A,A,B,E,B,F,E,C,C,A,B,B,C,C,D,A,B,A,B,B,C,B,D,B,B,A,B,A,D,E,E,,D,A,A,B,A,A,D,A,A,A,A,B,A,A,A,A,A,A,B,A,B,A,B,A,A,A,B,B,B,B,B,B,B,B,A,A,A,A,A,A,A,B,A,B,C,C,3.1,ABAIXO DA MEDIA
B,D,B,H,D,C,B,C,C,H,C,I,A,B,G,A,A,G,B,D,B,B,C,C,B,A,A,C,E,B,D,B,A,A,A,A,D,C,E,A,D,A,A,C,C,D,D,D,B,A,B,C,C,D,B,D,A,B,A,A,A,D,D,E,B,C,D,C,B,D,C,D,A,A,B,C,B,A,A,A,A,B,A,B,A,B,A,B,B,A,A,B,B,B,B,B,B,B,B,A,A,A,B,A,B,B,B,A,C,C,B,3.1,ABAIXO DA MEDIA
B,E,B,H,A,C,B,C,E,I,C,I,A,B,G,C,C,C,B,E,B,C,C,C,C,B,E,D,E,B,D,H,A,A,A,A,E,A,A,F,C,C,B,C,C,C,C,C,C,C,C,C,C,C,C,E,A,C,C,C,B,D,D,D,D,D,C,C,C,C,C,C,C,C,C,C,B,A,A,A,A,B,A,B,A,B,A,A,A,A,A,B,B,B,B,B,B,B,B,A,A,A,A,A,A,A,A,A,B,B,A,2.9,ABAIXO DA MEDIA
B,E,B,,E,C,B,C,E,F,A,B,C,B,F,C,C,G,B,B,B,B,B,C,B,B,E,D,E,C,D,H,A,A,A,A,C,A,D,E,D,D,A,D,C,C,C,D,B,C,D,D,D,D,D,D,A,B,A,B,B,D,D,D,C,D,D,D,A,A,C,B,C,B,A,B,A,A,A,A,A,B,A,B,A,B,B,A,A,B,B,B,B,B,B,B,B,B,B,A,A,A,A,A,A,A,A,A,B,C,C,2.8,ABAIXO DA MEDIA
B,E,A,D,C,C,C,A,A,H,C,H,B,E,G,F,D,F,B,B,B,C,B,B,C,B,E,A,D,C,D,F,A,A,A,A,A,A,A,F,C,C,A,C,C,D,D,C,A,D,D,D,B,A,A,E,A,A,B,A,B,D,E,E,C,E,C,A,C,C,B,A,A,B,B,B,B,B,A,A,A,B,A,B,A,B,A,B,A,B,B,B,B,B,B,B,B,B,B,A,A,A,A,A,B,A,A,A,B,C,A,2.7,ABAIXO DA MEDIA
B,F,B,,D,B,B,C,B,G,C,G,B,B,E,D,D,G,B,B,B,B,B,B,C,B,E,C,E,B,E,H,A,A,A,A,E,B,A,F,C,C,B,D,C,C,D,C,D,B,C,B,B,B,B,C,B,A,A,A,A,D,D,D,D,D,B,D,A,A,D,C,C,C,A,D,B,B,A,A,B,B,A,A,A,B,A,A,B,A,A,B,A,A,B,A,A,A,B,A,A,A,A,A,A,B,B,A,B,B,B,2.5,ABAIXO DA MEDIA
A,F,B,H,E,B,B,C,E,I,A,I,B,B,G,F,F,G,B,C,B,C,C,C,C,B,E,D,E,B,E,H,A,A,A,A,,A,E,I,E,E,B,C,C,C,C,C,B,C,C,C,B,C,B,C,A,A,A,A,A,C,C,D,C,C,D,C,C,C,B,C,C,B,A,B,A,B,A,A,A,B,A,B,A,B,A,B,A,A,A,B,B,B,B,B,B,B,B,B,A,A,B,B,A,B,A,A,B,C,C,2.3,ABAIXO DA MEDIA
