ID_ESCOLA,ID_LOCALIZACAO,ID_ALUNO,TX_RESP_BLOCO_1_LP,TX_RESP_BLOCO_2_LP,TX_RESP_BLOCO_1_MT,TX_RESP_BLOCO_2_MT,ESTRATO_ANEB,PESO_ALUNO_MT,PROFICIENCIA_MT,DESVIO_PADRAO_MT,PROFICIENCIA_MT_SAEB,DESVIO_PADRAO_MT_SAEB,IN_PREENCHIMENTO_QUESTIONARIO,TX_RESP_Q005,TX_RESP_Q007,TX_RESP_Q008,TX_RESP_Q009,TX_RESP_Q010,TX_RESP_Q012,TX_RESP_Q028,TX_RESP_Q029,TX_RESP_Q038,TX_RESP_Q044,TX_RESP_Q049,TX_RESP_Q050,TX_RESP_Q051,'CLASSIFICADOR IDEB'
27036049,1,17829352,ADACCCBABDA,CCDAADDACDC,AADCCDDDBCB,BCABDBDBBBC,270430231,1.127.950.863,0.114138,0.301569,25.634.382,16.855.393,1,B,A,B,B,A,A,A,A,?,C,A,A,D,'ACIMA DA M?DIA '
27036049,1,17829353,BCABDDADDBC,DBCCBCDBBDC,DAACACDCCCA,DDBBBCDBBDD,270430231,1.127.950.863,-0.616288,0.322184,21.551.861,18.007.614,1,D,B,B,A,A,A,A,A,?,C,A,A,A,'ACIMA DA M?DIA '
27036049,1,17829354,CCCBABADBDC,DCCCBBDBBAB,DCCBBBDACAB,DCCBDCDCADB,270430231,1.127.950.863,-0.184471,0.350803,239.653.867,19.607.196,1,C,B,B,B,A,A,A,A,A,C,A,A,A,'ACIMA DA M?DIA '
27036049,1,17829355,BDDADCACBDB,DCCABBBBBAB,ACABCDBDDAB,DACBCACBCDC,270430231,1.127.950.863,0.375932,0.321446,270.976.096,17.966.365,1,D,B,B,A,A,A,A,A,B,A,A,A,B,'ACIMA DA M?DIA '
27036049,1,17829356,BBADDDDAADB,DADDDADACAB,ADACBBDCACA,BADBDBDABBD,270430231,1.127.950.863,-0.454064,0.349563,224.585.687,1.953.789,1,C,B,C,B,B,C,A,A,B,C,A,A,A,'ACIMA DA M?DIA '
27036049,1,17829357,BABDADADDBA,DBAACDCADDB,BAACBDCDACA,DDADDABADDD,270430231,1.127.950.863,-0.523326,0.354111,220.714.473,19.792.088,1,D,B,B,B,B,A,A,A,B,A,A,A,C,'ACIMA DA M?DIA '
27036049,1,17829358,DBDACDCBDDB,BBCBCDCADCB,CCCABBACADD,BAABAABDCDC,270430231,1.127.950.863,-0.873325,0.377241,201.152.214,21.084.878,1,B,A,A,A,A,A,A,A,?,A,A,A,B,'ACIMA DA M?DIA '
27036049,1,17829359,DBACCDCABDC,BCDDBBBDBAB,CBBDBCCCACB,ACDCCACACCC,270430231,1.127.950.863,-0.570017,0.443488,218.104.804,24.787.577,1,C,B,B,A,A,B,A,A,?,A,A,A,C,'ACIMA DA M?DIA '
27036049,1,17829360,DCACBCDCDDB,DBDACDAADDB,DDDCBBDBBBD,BDBCBDBCBDD,270430231,1.127.950.863,-1.421.168,0.453481,170.531.993,25.346.109,1,E,D,C,A,A,B,A,A,B,A,A,A,D,'ACIMA DA M?DIA '
27036049,1,17829362,DBBACDDCDAB,DBBBCBDDACA,ABBBCBCCCCC,CAABBCDBCCD,270430231,1.127.950.863,-0.457181,0.429074,224.411.471,23.981.945,1,C,?,C,B,A,A,A,A,B,C,A,A,D,'ACIMA DA M?DIA '
