TX_RESP_Q001,TX_RESP_Q002,TX_RESP_Q003,TX_RESP_Q004,TX_RESP_Q005,TX_RESP_Q006,TX_RESP_Q007,TX_RESP_Q008,TX_RESP_Q009,TX_RESP_Q010,TX_RESP_Q011,TX_RESP_Q012,TX_RESP_Q013,TX_RESP_Q014,TX_RESP_Q015,TX_RESP_Q016,TX_RESP_Q017,TX_RESP_Q018,TX_RESP_Q019,TX_RESP_Q020,TX_RESP_Q021,TX_RESP_Q022,TX_RESP_Q023,TX_RESP_Q024,TX_RESP_Q025,TX_RESP_Q026,TX_RESP_Q027,TX_RESP_Q028,TX_RESP_Q029,TX_RESP_Q030,TX_RESP_Q031,TX_RESP_Q032,TX_RESP_Q033,TX_RESP_Q034,TX_RESP_Q035,TX_RESP_Q036,TX_RESP_Q037,TX_RESP_Q038,TX_RESP_Q039,TX_RESP_Q040,TX_RESP_Q041,TX_RESP_Q042,TX_RESP_Q043,TX_RESP_Q044,TX_RESP_Q045,TX_RESP_Q046,TX_RESP_Q047,TX_RESP_Q048,TX_RESP_Q049,TX_RESP_Q050,TX_RESP_Q051,'CLASSIFICADOR IDEB'
A,B,I,E,A,B,B,B,B,B,B,B,E,B,C,D,A,A,G,A,A,B,G,A,A,B,A,A,A,A,A,C,B,C,C,A,C,A,B,A,E,B,B,A,B,A,B,A,C,B,D,'ABAIXO DA MÉDIA'
A,?,B,C,B,B,A,A,B,A,B,B,A,B,C,F,A,A,E,A,A,A,B,A,B,C,A,A,A,A,B,C,A,A,A,B,C,C,C,A,C,B,C,A,A,A,D,D,B,A,D,'ABAIXO DA MÉDIA'
B,B,J,D,C,A,C,B,B,A,B,A,A,B,B,C,A,A,E,A,B,A,E,?,A,A,A,A,A,A,A,C,A,B,B,A,B,B,B,D,E,B,B,C,A,A,D,D,D,D,D,'ABAIXO DA MÉDIA'
A,B,I,D,B,B,B,B,B,A,A,A,A,B,B,D,A,A,C,A,A,A,C,A,A,A,A,A,A,A,A,A,B,A,B,C,C,B,A,A,E,B,D,C,A,A,A,B,A,B,C,'ABAIXO DA MÉDIA'
A,B,A,C,E,B,B,B,A,A,B,A,B,B,C,D,A,A,G,A,A,B,A,A,B,A,A,A,A,A,A,C,C,C,B,C,C,C,C,D,B,B,D,C,B,A,B,B,A,B,B,'ABAIXO DA MÉDIA'
B,A,C,C,B,C,B,B,B,A,B,A,B,B,C,F,A,A,G,A,A,A,G,A,A,B,B,A,B,A,A,C,B,B,B,B,C,B,B,A,B,B,D,C,A,A,B,B,B,B,B,'ABAIXO DA MÉDIA'
B,F,E,C,B,A,B,B,B,A,A,A,A,B,B,C,A,A,G,B,B,B,G,A,A,A,A,A,A,A,A,C,A,C,A,A,C,B,C,A,E,B,B,C,A,A,A,B,A,B,D,'ABAIXO DA MÉDIA'
B,B,G,D,B,B,A,B,A,A,B,B,B,B,B,B,A,A,E,A,A,B,B,A,B,B,?,A,A,A,B,C,B,C,B,B,C,B,C,A,A,B,B,C,A,A,B,B,B,B,B,'ABAIXO DA MÉDIA'
B,B,L,D,C,B,B,B,B,B,A,A,B,C,C,D,A,C,C,A,A,C,G,A,B,B,A,A,A,A,A,C,B,C,B,B,C,C,C,A,E,B,D,C,A,B,A,C,B,C,C,'ABAIXO DA MÉDIA'
A,B,B,E,D,B,B,B,B,?,A,B,C,B,C,C,A,A,G,A,A,A,G,A,A,A,A,A,A,A,A,C,B,B,B,C,C,B,C,D,E,B,A,C,B,A,A,C,A,C,D,'ABAIXO DA MÉDIA'
A,B,I,D,B,B,B,B,A,A,B,A,B,C,D,E,A,A,D,A,A,B,G,A,A,B,A,A,A,A,A,C,A,B,A,B,A,A,B,B,E,B,A,A,B,A,A,A,A,A,C,'ABAIXO DA MÉDIA'
B,B,C,G,D,B,C,B,B,A,B,A,A,C,C,E,A,A,C,A,A,B,G,B,B,B,A,A,A,A,A,?,A,?,?,?,?,?,B,C,C,B,C,A,C,A,B,A,B,A,C,'ABAIXO DA MÉDIA'
B,F,G,D,C,B,C,B,B,A,A,A,A,B,D,F,A,A,D,A,A,A,G,B,B,A,A,A,A,A,A,C,B,B,A,A,C,B,C,D,E,B,C,A,A,A,A,A,B,A,C,'ABAIXO DA MÉDIA'
A,C,I,G,D,C,D,B,B,A,B,A,A,B,C,D,A,A,C,A,A,A,C,B,B,C,A,A,A,A,B,C,B,C,A,C,C,C,C,C,A,B,C,A,C,C,B,A,C,A,C,'ABAIXO DA MÉDIA'
A,B,E,G,C,A,B,B,A,A,B,A,B,C,B,F,A,A,G,A,A,A,G,B,B,A,A,A,A,A,A,?,A,?,?,?,?,B,C,B,A,B,C,B,A,A,A,A,A,A,C,'ABAIXO DA MÉDIA'
B,E,A,E,C,C,B,C,A,A,B,A,A,B,C,E,A,A,G,A,A,A,G,B,B,A,A,A,A,A,B,C,B,A,B,C,B,C,C,D,C,B,A,C,B,A,B,A,B,A,B,'ABAIXO DA MÉDIA'
A,A,G,H,D,B,C,B,B,A,B,A,A,B,C,D,A,C,E,A,A,A,F,A,A,C,A,A,A,A,B,B,A,C,B,A,B,A,C,C,E,B,A,A,B,A,A,A,A,A,C,'ABAIXO DA MÉDIA'
B,B,A,G,C,B,B,B,B,A,B,A,A,B,C,D,A,A,C,A,B,A,G,B,B,B,A,A,A,A,A,C,B,C,B,B,C,B,B,B,A,B,B,C,C,A,B,A,B,A,?,'ABAIXO DA MÉDIA'
B,B,H,E,B,A,B,B,A,A,A,A,A,B,B,B,A,A,D,A,A,A,G,A,A,B,A,A,A,A,A,C,B,C,C,A,C,C,C,D,C,B,B,A,A,A,A,B,B,B,C,'ABAIXO DA MÉDIA'
A,F,L,G,B,B,B,C,C,A,A,A,B,B,C,C,A,A,G,B,B,B,G,B,B,A,A,A,A,A,B,C,B,B,A,A,C,C,C,D,A,B,C,C,C,B,A,A,A,A,D,'ABAIXO DA MÉDIA'
A,A,?,E,B,A,A,B,A,A,A,A,A,B,C,E,A,A,C,A,A,A,G,A,A,A,A,A,A,A,A,A,A,A,B,B,C,C,C,A,E,B,D,A,B,B,B,A,B,A,C,'ABAIXO DA MÉDIA'
A,C,G,F,D,C,D,B,B,A,B,A,A,B,D,F,A,A,G,A,B,A,G,A,B,C,A,A,B,A,B,C,B,C,C,C,B,C,C,A,A,B,B,B,C,A,B,A,B,A,C,'ABAIXO DA MÉDIA'
A,A,B,F,C,C,B,B,A,A,A,B,A,B,B,F,A,A,G,A,A,B,G,A,A,A,A,A,A,A,A,B,A,A,A,B,C,C,C,A,E,B,A,C,C,A,A,A,A,A,C,'ABAIXO DA MÉDIA'
A,A,K,D,C,A,B,B,B,A,B,A,B,B,D,C,B,A,B,A,A,A,B,A,A,A,A,A,A,A,A,B,B,B,B,A,B,A,B,D,B,B,C,A,B,A,B,A,B,A,B,'ABAIXO DA MÉDIA'
A,B,D,D,C,A,A,B,B,A,B,A,A,B,C,C,A,A,C,A,B,B,G,A,B,C,A,A,A,A,A,?,B,?,?,?,?,C,?,A,A,B,A,C,C,C,C,A,C,A,C,'ABAIXO DA MÉDIA'
A,B,I,D,D,C,D,B,B,B,B,A,A,B,D,F,A,C,G,A,B,C,B,A,B,A,A,A,A,A,B,C,A,B,A,B,C,C,B,D,D,B,B,B,A,A,B,A,B,A,C,'ABAIXO DA MÉDIA'
B,B,E,E,B,B,B,B,A,A,A,A,A,B,C,D,A,B,G,A,A,C,G,A,A,C,A,A,A,A,B,B,A,?,A,A,B,C,C,D,A,B,B,C,A,A,A,A,A,A,C,'ABAIXO DA MÉDIA'
A,B,K,E,C,B,B,B,B,A,B,A,A,B,C,F,A,A,D,A,A,B,G,A,A,C,A,A,A,A,A,B,B,B,B,B,B,B,B,A,A,B,C,A,A,A,B,A,B,A,C,'ABAIXO DA MÉDIA'
A,B,H,E,C,C,B,C,B,B,B,A,A,B,D,E,A,C,B,B,A,C,G,B,B,B,A,A,A,A,A,C,A,C,?,B,C,C,A,B,C,B,B,A,A,B,B,A,A,A,A,'ABAIXO DA MÉDIA'
B,D,B,C,B,B,B,B,B,A,C,A,B,B,B,F,A,A,C,A,B,B,G,A,B,B,A,B,A,A,B,C,B,C,A,C,C,B,A,B,E,B,B,B,A,B,B,A,C,A,D,'ABAIXO DA MÉDIA'
A,A,H,D,B,B,B,B,A,A,A,A,B,B,C,C,A,C,G,A,B,A,G,A,B,B,A,A,A,A,B,B,B,B,A,A,C,B,C,D,A,B,B,B,A,A,A,A,A,A,C,'ABAIXO DA MÉDIA'
A,F,?,D,A,A,B,B,B,A,B,A,A,B,B,C,A,A,G,B,B,C,G,A,A,A,A,A,A,A,A,?,?,?,?,?,?,?,?,C,A,B,A,C,A,A,B,B,B,B,B,'ABAIXO DA MÉDIA'
A,C,K,D,C,B,B,B,?,C,A,A,A,B,C,E,A,A,B,A,A,B,G,A,A,A,A,A,A,A,A,?,?,?,B,?,?,A,?,B,A,B,A,A,A,A,B,A,A,A,B,'ABAIXO DA MÉDIA'
B,?,?,G,B,B,?,B,B,?,?,?,?,?,?,B,C,A,?,A,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,'ABAIXO DA MÉDIA'
A,B,C,D,C,A,B,B,B,B,A,A,A,C,C,C,A,A,B,A,A,B,G,A,A,B,A,A,A,A,B,B,A,B,A,A,B,C,B,E,A,B,D,C,A,B,B,A,A,A,B,'ABAIXO DA MÉDIA'
A,F,E,E,D,B,C,B,C,A,A,A,A,B,C,F,B,B,F,B,B,B,E,A,B,A,A,A,A,A,A,A,A,A,A,A,B,A,C,E,C,B,A,B,B,B,A,A,A,A,C,'ABAIXO DA MÉDIA'
A,F,J,E,C,B,C,B,A,A,B,A,B,B,C,C,A,B,F,A,A,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,'ABAIXO DA MÉDIA'
A,?,K,D,C,B,C,B,A,A,B,A,A,C,D,D,D,A,F,A,A,B,A,B,A,B,A,A,A,A,A,A,A,B,C,A,A,B,C,A,B,A,A,C,A,A,A,A,A,A,A,'ABAIXO DA MÉDIA'
A,F,E,D,B,B,C,C,A,A,B,?,D,B,D,F,A,A,F,A,A,A,F,A,A,B,A,A,A,A,A,?,A,?,?,?,B,?,?,C,E,?,B,A,A,A,A,A,A,A,A,'ABAIXO DA MÉDIA'
B,B,L,D,B,B,B,B,B,A,B,A,B,B,C,D,A,A,G,A,A,B,G,A,A,A,A,A,A,A,A,?,?,?,?,A,?,B,?,A,B,B,B,B,A,A,A,A,A,A,C,'ABAIXO DA MÉDIA'
B,F,F,D,C,A,B,B,B,A,A,A,A,B,C,D,A,A,B,A,A,C,G,A,B,A,A,A,A,A,A,?,B,?,?,?,?,B,?,E,A,B,D,A,A,A,C,A,B,B,B,'ABAIXO DA MÉDIA'
B,?,H,D,?,C,B,C,B,B,A,A,A,B,C,D,A,B,E,A,A,B,G,A,A,A,A,A,A,A,A,C,A,A,B,B,B,C,C,A,D,B,B,C,A,A,B,A,B,A,B,'ABAIXO DA MÉDIA'
B,F,B,E,C,B,B,B,B,B,A,A,A,B,B,F,A,A,D,A,A,A,C,A,B,C,A,A,A,A,A,?,?,?,A,?,A,?,?,C,B,B,B,A,A,?,A,A,A,A,A,'ABAIXO DA MÉDIA'
B,B,E,D,B,A,B,B,A,A,B,A,A,B,C,C,A,A,G,B,B,B,F,B,B,B,A,A,A,B,A,?,A,?,?,?,B,?,?,C,C,A,B,B,A,B,A,B,A,A,B,'ABAIXO DA MÉDIA'
A,F,C,E,C,B,B,B,A,A,B,A,A,A,C,F,A,A,?,A,A,A,B,A,A,A,A,A,A,A,A,?,A,?,?,?,?,A,?,A,B,B,B,C,A,A,B,A,A,B,A,'ABAIXO DA MÉDIA'
A,B,B,E,C,B,B,B,B,A,B,A,B,B,D,D,A,A,G,A,A,A,G,A,A,A,A,A,A,A,A,C,B,A,A,B,C,A,B,B,A,B,A,C,A,A,A,A,A,A,A,'ABAIXO DA MÉDIA'
B,B,I,E,B,B,B,B,B,A,A,A,C,B,C,E,A,A,C,A,A,A,C,A,A,A,A,A,A,A,A,?,?,?,?,A,?,?,B,B,E,B,C,C,A,A,A,A,B,A,B,'ABAIXO DA MÉDIA'
A,F,H,F,C,B,B,?,A,B,A,A,B,B,A,B,A,A,G,A,A,A,G,A,A,?,A,A,A,A,B,?,A,?,?,?,?,?,?,A,?,A,C,?,A,A,?,?,A,?,A,'ABAIXO DA MÉDIA'
B,B,E,C,B,A,A,B,A,A,B,A,B,B,C,D,A,A,B,A,A,A,B,A,A,A,A,A,A,A,A,?,A,?,?,?,A,?,?,A,E,B,C,A,A,A,A,A,A,A,A,'ABAIXO DA MÉDIA'
B,E,J,D,E,C,C,B,D,A,A,A,A,D,A,E,A,A,B,A,A,A,F,A,A,B,A,A,A,A,A,?,?,?,A,?,?,A,?,A,A,B,B,A,A,A,A,A,A,A,A,'ABAIXO DA MÉDIA'
B,B,K,C,B,B,A,B,B,A,B,A,A,B,C,E,A,A,D,A,A,A,C,A,B,B,A,A,A,A,A,?,A,?,?,?,?,C,?,A,B,B,A,B,A,A,A,A,A,A,C,'ABAIXO DA MÉDIA'
B,A,E,D,B,A,B,C,C,A,B,B,A,B,D,D,A,A,G,A,A,A,G,A,A,B,A,A,A,A,A,?,B,?,?,?,?,B,?,B,A,B,C,A,A,A,A,A,A,A,B,'ABAIXO DA MÉDIA'
B,F,E,D,A,B,B,C,A,B,B,A,A,B,D,E,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,?,?,?,?,A,?,?,A,C,B,A,A,A,A,A,A,A,A,A,'ABAIXO DA MÉDIA'
B,F,D,C,D,B,B,B,A,A,?,A,A,B,C,D,A,A,E,A,A,A,A,B,B,B,A,A,A,A,B,C,A,B,C,C,C,B,C,E,A,B,A,C,A,A,A,A,B,B,C,'ABAIXO DA MÉDIA'
B,C,I,D,C,A,B,B,B,B,B,A,A,B,C,E,A,A,G,A,B,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,'ABAIXO DA MÉDIA'
A,B,E,C,C,C,B,B,A,A,A,A,A,B,C,C,A,A,C,A,A,A,G,A,A,B,A,A,A,A,A,B,A,B,B,C,C,C,C,C,A,B,B,C,A,A,A,A,B,B,C,'ABAIXO DA MÉDIA'
A,A,?,D,B,B,B,B,B,B,B,A,B,B,C,D,A,A,E,A,A,A,E,A,A,B,A,A,A,A,A,B,A,A,A,A,?,A,?,D,E,B,A,A,A,A,A,A,A,A,A,'ABAIXO DA MÉDIA'
B,F,J,F,C,C,B,C,B,A,C,B,A,B,D,E,A,B,A,A,A,B,A,B,B,A,A,A,A,A,A,B,A,C,A,C,C,C,C,D,A,B,A,A,B,A,A,A,A,A,B,'ABAIXO DA MÉDIA'
A,A,C,F,B,B,B,B,A,A,B,A,C,C,D,D,A,A,G,A,A,C,G,A,A,C,A,A,A,A,B,B,B,B,B,B,C,B,B,D,B,B,B,A,C,A,A,A,A,A,D,'ABAIXO DA MÉDIA'
B,A,I,E,D,B,C,B,B,A,B,A,A,?,B,D,A,A,E,A,A,A,C,A,B,C,A,A,A,A,B,B,B,B,A,A,C,C,C,D,A,B,B,C,B,A,A,A,B,A,C,'ABAIXO DA MÉDIA'
B,A,F,E,B,A,D,C,A,A,A,A,A,B,D,F,A,A,G,A,A,A,G,A,A,A,A,A,B,A,B,?,A,?,?,?,C,?,?,B,A,B,B,A,A,A,A,A,A,A,A,'ABAIXO DA MÉDIA'
A,B,C,D,C,C,C,B,?,A,A,A,A,C,D,C,A,A,D,A,A,B,G,B,B,B,A,A,A,A,A,?,?,?,B,?,?,B,?,D,E,B,A,C,A,A,B,A,B,A,C,'ABAIXO DA MÉDIA'
A,A,D,D,C,B,C,B,B,A,A,A,A,B,C,F,A,A,A,B,B,A,B,A,A,B,A,A,A,A,A,B,A,B,B,A,B,B,B,D,E,B,D,A,B,B,A,A,A,A,B,'ABAIXO DA MÉDIA'
B,A,E,F,C,A,C,B,B,A,B,A,A,B,C,E,A,A,A,B,B,A,G,A,A,B,B,B,A,A,A,C,B,C,B,C,C,C,C,E,E,B,A,A,C,A,A,B,A,B,C,'ABAIXO DA MÉDIA'
A,B,I,F,B,B,B,B,B,B,B,A,A,B,?,E,A,A,D,A,B,?,G,A,A,B,A,A,A,A,A,B,B,B,A,A,C,B,C,A,D,B,A,A,B,A,A,A,A,A,A,'ABAIXO DA MÉDIA'
B,A,C,D,C,A,B,B,A,A,B,A,A,B,C,E,A,A,G,A,A,A,G,A,A,A,A,A,A,A,A,B,A,B,A,A,B,A,A,B,C,B,B,A,A,A,A,A,A,A,A,'ABAIXO DA MÉDIA'
B,A,I,F,C,C,B,D,B,B,B,A,A,B,C,D,A,A,B,B,B,A,B,B,B,B,A,A,A,A,B,C,A,B,A,C,A,C,B,B,B,B,B,A,C,A,A,A,A,A,B,'ABAIXO DA MÉDIA'
A,B,L,D,C,B,B,B,B,A,B,A,A,B,C,C,C,A,G,A,A,A,G,A,A,A,A,A,A,A,A,B,?,B,B,B,B,A,A,B,A,B,A,C,B,A,B,A,B,A,B,'ABAIXO DA MÉDIA'
A,B,C,D,B,A,?,B,A,A,A,B,A,B,C,C,A,A,D,A,A,A,G,A,A,A,A,A,A,A,A,C,B,A,A,C,C,C,B,A,B,B,C,B,B,A,B,A,A,A,A,'ABAIXO DA MÉDIA'
A,A,D,F,B,B,B,B,A,A,B,A,B,B,D,F,A,A,B,A,A,A,A,B,B,B,A,B,A,A,A,?,A,?,?,?,?,A,?,A,B,B,A,A,A,A,A,A,A,A,A,'ABAIXO DA MÉDIA'
A,A,L,E,B,B,B,B,B,A,A,A,A,B,C,C,A,A,B,A,A,B,D,A,B,B,A,A,A,A,A,B,A,B,A,B,C,B,C,C,A,B,C,B,A,B,A,A,A,A,B,'ABAIXO DA MÉDIA'
A,C,F,E,B,B,B,B,B,A,B,A,B,B,B,B,A,A,D,A,A,A,D,A,A,B,?,A,A,A,A,B,A,A,A,B,B,C,C,B,A,B,A,A,A,A,A,A,A,A,B,'ABAIXO DA MÉDIA'
B,F,D,C,B,B,A,B,A,A,B,A,A,B,C,D,A,C,G,B,B,A,D,A,A,B,A,A,A,A,A,B,A,B,A,B,B,C,C,A,C,B,B,A,A,A,A,A,A,A,B,'ABAIXO DA MÉDIA'
B,F,G,E,B,B,B,B,?,A,A,A,A,B,A,D,A,B,G,B,B,C,G,A,A,B,A,A,A,A,A,C,C,C,B,C,C,C,C,C,C,B,B,A,B,A,C,C,A,A,A,'ABAIXO DA MÉDIA'
B,A,B,E,E,D,E,E,E,E,E,E,E,E,E,D,B,A,G,A,A,A,G,A,A,A,A,A,A,A,A,A,A,A,A,A,A,?,?,D,E,B,A,B,A,A,A,A,A,A,D,'ABAIXO DA MÉDIA'
A,A,F,E,C,A,B,B,A,?,A,B,A,B,D,F,A,A,B,A,A,A,F,A,A,A,A,A,A,A,A,C,A,A,A,C,C,C,C,D,E,A,B,B,B,A,A,A,A,A,D,'ABAIXO DA MÉDIA'
B,C,A,D,B,B,C,B,A,A,A,A,B,B,D,F,B,A,G,A,A,A,G,A,A,B,A,A,A,A,A,B,B,C,B,B,C,B,C,B,B,B,B,C,B,A,B,A,?,A,D,'ABAIXO DA MÉDIA'
B,F,I,D,D,D,C,B,A,B,B,B,B,B,D,E,A,A,B,A,A,B,G,A,A,A,A,A,A,A,A,B,C,A,B,C,C,A,C,A,B,B,B,C,A,A,A,A,B,B,A,'ABAIXO DA MÉDIA'
B,B,I,E,B,C,B,B,B,A,B,A,B,B,D,E,A,A,D,A,A,A,C,A,A,B,A,A,A,A,A,A,B,A,A,C,A,C,C,C,A,B,?,A,A,B,A,B,A,B,B,'ABAIXO DA MÉDIA'
B,B,E,D,C,B,B,B,B,A,A,A,A,B,C,D,A,A,B,A,A,A,C,A,A,A,A,A,A,A,A,?,A,?,?,?,C,?,?,C,A,B,A,A,B,?,B,A,B,A,?,'ABAIXO DA MÉDIA'
A,A,?,?,?,B,?,B,B,B,B,?,?,B,?,?,?,A,?,A,?,?,?,A,A,A,A,A,A,A,A,A,A,?,?,?,A,A,A,B,?,A,?,?,C,C,?,?,?,?,?,'ABAIXO DA MÉDIA'
B,B,F,D,C,B,B,B,B,A,A,A,B,B,B,F,A,B,G,A,A,A,G,B,B,A,A,A,A,A,A,C,A,B,B,A,B,B,B,B,A,B,B,C,A,A,A,A,A,A,B,'ABAIXO DA MÉDIA'
A,B,B,C,D,A,C,C,C,C,B,B,B,B,?,C,A,A,F,A,A,A,F,A,A,A,A,A,A,A,A,C,B,C,A,A,B,A,B,D,A,B,A,B,A,A,A,B,A,B,B,'ABAIXO DA MÉDIA'
A,B,K,C,C,A,B,B,B,B,B,B,B,C,D,C,A,C,A,A,A,A,B,A,A,C,A,A,A,A,A,C,B,B,B,B,B,B,B,D,B,A,C,A,A,A,A,B,A,B,B,'ABAIXO DA MÉDIA'
A,F,H,F,D,A,B,B,A,A,A,A,A,B,C,D,A,B,B,A,A,A,G,A,A,A,A,A,A,B,B,?,B,C,A,B,A,B,C,A,E,B,A,A,C,B,A,A,A,A,A,'ABAIXO DA MÉDIA'
A,C,G,F,C,B,C,B,B,A,A,A,A,B,C,B,A,A,B,A,A,?,G,?,A,A,A,A,A,A,A,?,A,A,A,C,A,C,A,A,A,B,B,A,C,A,B,B,B,B,B,'ABAIXO DA MÉDIA'
B,B,I,F,D,A,C,B,B,A,A,A,B,B,D,B,A,A,B,A,A,A,?,?,?,?,?,?,?,?,?,C,B,C,C,C,C,C,B,C,A,B,A,A,A,A,B,B,B,B,B,'ABAIXO DA MÉDIA'
B,B,I,D,C,A,B,B,A,A,A,A,A,B,C,F,A,A,G,B,B,A,G,A,B,A,A,A,A,A,B,C,B,B,A,A,B,C,B,A,D,A,A,A,B,A,?,B,B,B,B,'ABAIXO DA MÉDIA'
A,B,D,E,E,C,C,C,C,A,B,A,A,B,C,E,A,A,G,A,A,A,G,A,B,A,A,A,A,A,A,B,A,A,A,C,A,C,B,C,B,B,D,C,B,A,A,A,A,A,A,'ABAIXO DA MÉDIA'
A,A,I,D,E,?,A,D,B,A,A,D,A,B,C,C,A,C,B,A,A,B,G,A,A,A,A,A,A,A,A,C,B,A,A,A,A,B,C,D,E,B,A,A,A,A,A,B,A,A,B,'ABAIXO DA MÉDIA'
B,B,B,C,E,A,C,E,A,E,C,?,B,D,E,F,A,A,G,B,B,B,G,A,B,B,A,A,A,A,B,C,A,C,A,A,A,C,C,C,D,A,C,B,A,A,A,A,A,A,A,'ABAIXO DA MÉDIA'
B,B,F,D,B,B,B,B,B,A,B,B,B,B,C,D,A,A,?,A,A,A,E,A,A,A,A,A,A,A,A,?,B,B,A,A,B,B,B,B,A,B,A,B,C,A,A,A,A,A,B,'ABAIXO DA MÉDIA'
A,B,C,E,C,B,C,B,B,A,B,B,A,B,C,E,A,A,C,A,A,B,B,A,A,B,A,A,A,A,B,C,A,B,A,A,A,C,A,B,A,B,C,A,A,A,B,B,B,B,B,'ABAIXO DA MÉDIA'
A,B,C,D,C,A,B,B,B,A,B,B,B,B,C,D,A,A,G,A,A,A,D,A,A,A,A,A,A,A,A,C,A,C,B,A,B,A,C,B,A,B,A,?,A,A,A,A,A,A,A,'ABAIXO DA MÉDIA'
B,F,J,D,C,A,B,B,B,A,B,A,B,B,C,D,A,A,G,A,A,A,G,B,A,A,A,A,A,A,A,C,B,C,A,C,B,B,B,C,A,B,A,A,A,A,A,B,A,B,A,'ABAIXO DA MÉDIA'
A,C,L,C,?,B,B,B,B,A,B,A,B,B,C,F,A,A,D,A,A,A,D,A,A,C,A,A,A,A,A,?,A,A,A,C,B,C,?,D,A,?,C,A,A,A,A,B,?,A,A,'ABAIXO DA MÉDIA'
B,B,A,C,E,C,E,B,B,B,B,A,B,B,D,D,A,A,D,A,A,A,E,A,A,A,A,A,A,A,A,C,A,B,A,B,B,B,C,D,A,B,A,C,A,A,A,A,A,A,A,'ABAIXO DA MÉDIA'
B,B,J,D,C,B,B,C,C,C,B,A,A,C,C,F,B,A,D,A,A,A,D,A,B,A,A,A,A,A,A,C,B,C,A,A,A,A,A,D,D,B,C,A,A,A,B,B,A,A,A,'ABAIXO DA MÉDIA'
B,B,C,C,C,B,B,C,B,A,B,A,A,B,C,E,A,A,E,A,A,B,G,A,A,?,A,A,A,A,B,C,B,C,A,A,A,B,B,D,A,B,B,A,A,A,B,B,B,B,B,'ABAIXO DA MÉDIA'
B,B,A,C,B,B,B,B,B,A,B,A,A,B,B,C,A,A,E,A,A,A,G,A,A,A,A,A,A,A,B,C,B,C,A,B,A,A,B,E,A,B,B,A,A,A,A,B,A,B,B,'ABAIXO DA MÉDIA'
B,B,A,C,B,A,A,B,B,A,B,B,B,B,C,C,A,A,D,A,A,A,E,A,A,A,A,A,A,A,A,C,B,C,A,A,B,B,B,B,A,B,A,C,A,A,A,B,A,B,A,'ABAIXO DA MÉDIA'
A,A,J,D,B,B,B,B,B,A,B,A,B,B,C,?,A,A,G,A,A,A,G,A,A,A,A,A,A,A,B,C,B,C,A,C,C,B,C,E,A,A,C,A,A,A,B,A,A,A,B,'ABAIXO DA MÉDIA'
A,F,I,C,B,B,B,B,B,A,B,B,B,B,C,C,A,A,G,A,A,A,G,A,A,A,A,?,?,A,A,C,B,C,B,A,B,B,B,D,A,B,B,B,A,A,?,A,A,B,A,'ABAIXO DA MÉDIA'
A,B,I,D,D,B,B,B,B,A,B,A,B,B,D,C,A,B,G,A,B,B,B,A,A,A,A,A,A,A,B,C,B,C,B,A,B,C,B,D,A,B,B,B,A,A,A,B,A,B,A,'ABAIXO DA MÉDIA'
A,B,E,C,B,B,B,B,A,B,B,A,B,B,B,B,A,A,G,A,B,A,G,A,A,A,A,A,A,A,A,?,A,C,A,B,A,B,B,E,B,B,A,C,A,A,A,A,A,A,A,'ABAIXO DA MÉDIA'
A,B,A,D,B,B,B,B,B,A,A,A,A,B,D,D,A,A,G,A,A,A,G,?,?,A,A,A,A,A,A,A,A,A,A,C,A,B,B,A,E,B,?,C,A,A,A,A,A,A,A,'ABAIXO DA MÉDIA'
B,B,H,D,C,A,B,B,B,A,A,A,A,B,C,E,A,A,D,A,A,B,G,A,A,A,A,A,A,A,B,C,A,B,B,B,A,B,C,D,A,B,B,A,A,A,A,A,A,A,A,'ABAIXO DA MÉDIA'
A,B,B,D,C,B,C,B,A,A,B,A,A,B,D,F,A,A,D,A,A,A,E,A,A,B,A,A,A,A,A,C,A,C,A,A,B,B,B,B,B,B,A,A,B,A,A,A,A,A,A,'ABAIXO DA MÉDIA'
B,E,G,H,B,A,B,B,B,B,B,A,B,B,C,F,A,A,G,A,B,B,G,A,B,A,?,A,A,A,B,C,B,B,B,C,B,C,C,A,A,B,?,B,B,B,A,A,A,A,C,'ABAIXO DA MÉDIA'
A,C,E,D,D,B,D,D,B,B,B,B,B,D,C,E,A,A,G,A,A,A,G,A,A,B,A,A,B,A,A,C,B,C,B,A,B,B,C,A,E,B,D,A,A,A,A,A,A,A,B,'ABAIXO DA MÉDIA'
B,C,J,D,C,C,B,B,B,A,B,A,B,B,C,C,A,C,F,A,A,C,F,A,A,A,A,A,A,A,A,B,A,A,C,A,A,A,C,B,A,B,B,C,A,A,A,A,A,A,A,'ABAIXO DA MÉDIA'
A,B,A,D,B,B,B,B,?,B,B,B,D,B,C,C,A,A,E,A,A,B,E,A,A,B,A,A,A,A,A,C,B,C,B,A,B,B,B,B,B,B,A,A,B,A,A,A,A,A,B,'ABAIXO DA MÉDIA'
