ID_PROVA_BRASIL,ID_REGIAO,ID_UF,ID_MUNICIPIO,ID_AREA,ID_ESCOLA,ID_DEPENDENCIA_ADM,ID_LOCALIZACAO,ID_TURMA,ID_TURNO,ID_SERIE,ID_ALUNO,IN_SITUACAO_CENSO,IN_PREENCHIMENTO_PROVA,ID_CADERNO,ID_BLOCO_1,ID_BLOCO_2,TX_RESP_BLOCO_1_LP,TX_RESP_BLOCO_2_LP,TX_RESP_BLOCO_1_MT,TX_RESP_BLOCO_2_MT,IN_PROFICIENCIA,IN_PROVA_BRASIL,ESTRATO_ANEB,PESO_ALUNO_LP,PESO_ALUNO_MT,PROFICIENCIA_LP,DESVIO_PADRAO_LP,PROFICIENCIA_LP_SAEB,DESVIO_PADRAO_LP_SAEB,IN_PREENCHIMENTO_QUESTIONARIO,TX_RESP_Q001,TX_RESP_Q002,TX_RESP_Q003,TX_RESP_Q004,TX_RESP_Q005,TX_RESP_Q006,TX_RESP_Q007,TX_RESP_Q008,TX_RESP_Q009,TX_RESP_Q010,TX_RESP_Q011,TX_RESP_Q012,TX_RESP_Q013,TX_RESP_Q014,TX_RESP_Q015,TX_RESP_Q016,TX_RESP_Q017,TX_RESP_Q018,TX_RESP_Q019,TX_RESP_Q020,TX_RESP_Q021,TX_RESP_Q022,TX_RESP_Q023,TX_RESP_Q024,TX_RESP_Q025,TX_RESP_Q026,TX_RESP_Q027,TX_RESP_Q028,TX_RESP_Q029,TX_RESP_Q030,TX_RESP_Q031,TX_RESP_Q032,TX_RESP_Q033,TX_RESP_Q034,TX_RESP_Q035,TX_RESP_Q036,TX_RESP_Q037,TX_RESP_Q038,TX_RESP_Q039,TX_RESP_Q040,TX_RESP_Q041,TX_RESP_Q042,TX_RESP_Q043,TX_RESP_Q044,TX_RESP_Q045,TX_RESP_Q046,TX_RESP_Q047,TX_RESP_Q048,TX_RESP_Q049,TX_RESP_Q050,TX_RESP_Q051,'CLASSIFICADOR IDEB'
2015,2,27,2704302,1,27036049,3,1,603815,1,5,17829338,1,1,2,2,3,DCBDCBAACAA,BCDBABADADA,CAABAADBABD,ACCBCBAACCD,1,1,270430231,1.127.950.863,1.127.950.863,-0.867865,0.294387,202.171.389,1.621.877,1,A,F,I,E,C,B,B,B,A,A,A,B,C,C,D,F,A,A,B,A,A,A,B,A,A,A,A,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,'ACIMA DA M?DIA '
2015,2,27,2704302,1,27036049,3,1,603815,1,5,17829339,1,1,17,3,6,DBBDABADBDB,CCBCCBABBBB,CCADBBDDCCD,DCCCCBCCADC,1,1,270430231,1.127.950.863,1.127.950.863,-0.569345,0.312874,218.617.859,17.237.281,1,A,A,L,C,D,B,C,D,C,A,C,B,A,D,E,F,A,B,E,A,A,A,F,A,A,B,A,A,A,A,A,B,A,B,A,B,A,B,A,A,B,B,A,A,A,A,A,A,A,A,B,'ACIMA DA M?DIA '
2015,2,27,2704302,1,27036049,3,1,603815,1,5,17829340,1,1,7,7,1,CAAAABDCCAB,ABAACAAADCB,CCCCABDBDBD,BBDABDBABDD,1,1,270430231,1.127.950.863,1.127.950.863,-1.305.671,0.336475,178.051.184,18.537.539,1,B,B,K,D,D,C,C,B,B,A,A,A,B,B,D,F,A,A,E,A,A,B,F,A,A,B,A,A,A,A,A,?,?,?,B,?,?,A,?,A,A,B,A,C,A,A,A,A,A,A,A,'ACIMA DA M?DIA '
2015,2,27,2704302,1,27036049,3,1,603815,1,5,17829341,1,1,1,1,2,DBDACBAADCB,ACCDCBDAACA,CBCAAAAAADD,AAAADADDDAA,1,1,270430231,1.127.950.863,1.127.950.863,-0.381982,0.340331,228.940.317,18.749.979,1,B,D,J,D,?,E,B,B,B,A,A,B,B,B,C,C,A,A,G,A,A,A,B,A,B,C,A,A,A,A,A,B,A,C,A,B,B,C,C,A,D,B,B,C,C,A,B,A,B,A,D,'ACIMA DA M?DIA '
2015,2,27,2704302,1,27036049,3,1,603815,1,5,17829343,1,1,5,5,6,BABDBDABABB,DCBCBBDBBCC,BBADBDCDBCA,DDCCCABBADB,1,1,270430231,1.127.950.863,1.127.950.863,-0.794546,0.320347,206.210.779,17.648.993,1,B,B,D,D,D,B,B,B,B,A,A,A,A,C,C,E,A,A,D,A,A,B,B,A,A,A,A,A,A,A,A,C,A,B,A,B,B,B,A,A,B,B,B,A,A,A,?,A,A,A,B,'ACIMA DA M?DIA '
2015,2,27,2704302,1,27036049,3,1,603815,1,5,17829344,1,1,14,7,2,CBDAADAACDB,DCCDCBADACA,BDAADBDBCAC,BAAAAADBBBB,1,1,270430231,1.127.950.863,1.127.950.863,0.224139,0.364667,262.333.561,20.090.731,1,A,A,H,D,B,A,B,B,B,A,B,A,B,B,C,D,A,A,B,A,A,A,D,A,A,A,A,A,A,A,A,C,?,B,?,A,B,B,B,A,E,B,A,C,A,A,A,A,A,A,B,'ACIMA DA M?DIA '
2015,2,27,2704302,1,27036049,3,1,603815,1,5,17829345,1,1,3,3,4,DDABAABCADC,ACDDCBAABBD,DCBCCACBDBC,AACDCDBBCAC,1,1,270430231,1.127.950.863,1.127.950.863,-152.865,0.36169,165.766.521,19.926.718,1,B,?,F,D,C,B,B,B,B,B,B,A,B,B,C,E,A,A,C,A,A,A,B,A,A,B,A,A,A,A,A,?,A,?,?,?,?,A,?,A,A,B,B,A,A,B,A,B,B,B,B,'ACIMA DA M?DIA '
2015,2,27,2704302,1,27036049,3,1,603815,1,5,17829346,1,1,16,2,5,BACDCBAACAA,BCBDADCBDBA,CAAAAACCACA,AAACCDDDACA,1,1,270430231,1.127.950.863,1.127.950.863,-0.650386,0.33115,214.153.038,18.244.167,1,B,B,H,D,B,B,B,B,B,A,B,B,A,B,B,D,A,A,G,A,A,A,G,A,A,A,A,A,A,A,A,B,?,C,A,A,B,A,B,B,A,B,A,C,A,A,A,A,A,A,B,'ACIMA DA M?DIA '
2015,2,27,2704302,1,27036049,3,1,603815,1,5,17829347,1,1,20,6,2,DCCBBABAABD,CADCDDDAABB,DDABDBCCCDB,BBADDACCBAB,1,1,270430231,1.127.950.863,1.127.950.863,-2.084.723,0.430195,135.130.589,23.700.889,1,A,F,L,C,E,D,B,B,B,B,C,B,C,C,D,E,A,A,F,A,A,A,E,A,A,A,A,A,A,A,A,?,A,?,?,?,A,?,?,D,C,B,C,A,A,A,A,A,A,A,A,'ACIMA DA M?DIA '
2015,2,27,2704302,1,27036049,3,1,603815,1,5,17829348,1,1,8,1,3,CDCDCCCADAA,DCABABADBAB,DCDB.CCADAD,CBAABAAADCD,1,1,270430231,1.127.950.863,1.127.950.863,-1.790.985,0.401618,151.313.604,22.126.486,1,B,A,D,E,A,E,C,C,A,B,C,B,A,B,C,B,A,A,C,A,A,A,F,A,A,A,B,B,A,A,A,?,B,?,?,?,A,?,?,A,A,A,C,A,A,A,A,B,A,A,D,'ACIMA DA M?DIA '
2015,2,27,2704302,1,27036049,3,1,603815,1,5,17829349,1,1,6,6,7,BBBABCABBBB,DCBCBDBAABB,DCCCBACADBB,ABCAAD*CCCB,1,1,270430231,1.127.950.863,1.127.950.863,-1.642.617,0.389175,159.487.696,21.440.959,1,B,B,B,C,A,A,B,B,B,B,B,A,A,C,D,E,A,A,G,A,A,A,G,A,A,C,A,A,A,A,A,?,?,?,?,?,?,?,?,A,A,B,D,B,A,A,A,A,A,A,D,'ACIMA DA M?DIA '
2015,2,27,2704302,1,27036049,3,1,603816,2,5,17829352,1,1,18,4,7,ADACCCBABDA,CCDAADDACDC,AADCCDDDBCB,BCABDBDBBBC,1,1,270430231,1.127.950.863,1.127.950.863,-1.256.446,0.416408,180.763.155,22.941.317,1,A,B,C,F,B,B,A,B,B,A,B,A,C,B,C,D,A,A,C,A,A,B,E,A,A,A,A,A,A,A,A,?,?,?,?,B,C,?,?,B,E,?,C,C,A,?,A,A,A,A,D,'ACIMA DA M?DIA '
2015,2,27,2704302,1,27036049,3,1,603816,2,5,17829353,1,1,5,5,6,BCABDDADDBC,DBCCBCDBBDC,DAACACDCCCA,DDBBBCDBBDD,1,1,270430231,1.127.950.863,1.127.950.863,-0.715943,0.32002,210.541.283,17.630.978,1,B,B,D,D,D,B,B,B,A,A,A,A,A,B,C,E,A,A,D,B,B,B,F,A,A,A,A,A,A,A,A,?,A,?,?,?,A,?,?,A,E,B,A,C,A,A,A,A,A,A,A,'ACIMA DA M?DIA '
