@relation 'ALUNO ORD TOTAL. IDEB-EXCLUIDOS ALUNOS S RESP APSOCIOestevam'

@attribute TX_RESP_Q001 {A,B}
B,B,C,C,D,B,C,B,B,A,A,A,B,B,C,D,A,A,G,A,A,A,G,A,A,A,A,A,A,A,A,C,B,C,B,A,C,C,C,D,A,B,B,A,A,A,B,?,B,A,A,'ABAIXO DA M�DIA'
B,B,L,C,D,B,B,B,A,A,C,B,A,C,D,C,A,B,B,B,A,B,G,B,B,A,A,A,A,A,A,C,B,B,B,B,B,B,B,A,D,B,A,C,A,A,B,A,B,A,B,'ABAIXO DA M�DIA'
B,F,H,D,C,B,B,B,A,A,A,A,A,B,B,E,A,A,G,A,A,C,D,A,A,A,A,A,A,A,A,B,A,B,A,A,B,A,C,D,B,B,A,B,A,A,B,A,A,A,B,'ABAIXO DA M�DIA'
A,B,I,D,C,B,B,?,B,B,A,A,A,B,C,E,A,A,C,A,A,A,D,A,A,A,A,A,A,A,A,B,A,C,A,B,B,C,C,A,D,B,B,B,A,A,A,A,A,A,A,'ABAIXO DA M�DIA'
A,B,C,C,C,B,B,B,B,B,A,A,A,B,C,F,A,A,C,A,A,A,D,A,A,A,A,A,A,A,A,A,A,B,A,A,B,?,A,B,C,A,C,A,A,B,A,A,A,A,A,'ABAIXO DA M�DIA'
B,B,L,C,B,B,B,B,B,B,A,A,A,B,C,D,A,A,G,A,A,A,G,A,A,A,A,A,A,A,A,C,A,C,A,C,A,B,C,D,E,B,A,B,A,A,A,A,A,A,B,'ABAIXO DA M�DIA'
B,B,K,D,B,C,B,B,A,B,B,A,C,B,B,F,A,A,B,A,A,A,E,A,A,B,A,A,A,A,A,C,B,A,A,A,C,C,A,A,C,A,B,B,A,A,B,A,A,A,B,'ABAIXO DA M�DIA'
B,B,L,C,C,B,B,B,B,A,A,A,B,B,C,F,A,A,G,A,A,B,G,A,A,A,A,A,A,A,B,C,A,B,B,A,B,B,B,C,C,B,A,B,A,A,?,B,A,B,B,'ABAIXO DA M�DIA'
A,B,B,C,C,A,B,B,B,A,A,A,A,B,B,B,A,A,G,A,A,B,G,A,A,A,A,A,A,A,B,C,A,C,B,C,C,C,A,A,C,B,B,C,A,A,A,A,A,A,A,'ABAIXO DA M�DIA'
B,B,H,D,B,C,B,C,C,B,C,A,B,C,E,E,A,A,G,A,A,A,G,A,A,B,A,A,A,A,A,B,A,B,B,A,C,A,A,D,B,B,A,B,A,A,B,A,B,A,D,'ABAIXO DA M�DIA'
B,E,H,D,E,C,C,B,B,B,C,B,D,C,D,E,A,A,F,A,A,A,F,A,A,A,A,A,A,A,A,B,A,A,A,A,A,B,A,A,B,B,A,B,A,A,A,A,A,A,A,'ABAIXO DA M�DIA'
B,B,H,D,B,B,A,B,B,A,B,A,A,B,B,D,A,A,C,B,B,A,E,A,A,B,A,A,A,A,B,C,B,B,A,A,C,C,C,A,B,B,B,B,A,B,B,A,B,A,D,'ABAIXO DA M�DIA'
A,B,J,D,B,B,B,B,B,A,A,A,A,B,D,D,A,A,G,A,A,A,D,A,A,C,A,A,A,A,A,C,?,A,?,C,C,C,C,A,E,B,B,A,A,A,A,A,A,A,A,'ABAIXO DA M�DIA'
B,B,H,D,C,B,B,B,B,B,B,A,B,B,C,D,A,A,D,A,A,A,D,A,A,B,A,A,A,A,A,C,A,A,B,A,B,B,A,D,A,B,A,A,A,A,A,A,A,A,B,'ABAIXO DA M�DIA'
B,B,I,E,D,A,D,C,C,?,B,B,C,C,C,F,A,A,E,A,A,C,E,A,A,B,A,A,A,A,A,C,C,C,C,C,A,A,A,D,A,B,A,B,A,A,A,A,A,A,A,'ABAIXO DA M�DIA'
B,B,K,E,C,B,C,C,B,A,B,A,C,B,A,D,A,A,G,A,A,C,G,A,A,B,A,A,A,A,B,C,C,C,C,B,C,?,?,D,A,B,?,C,B,B,B,A,B,A,C,'ABAIXO DA M�DIA'
A,B,H,D,?,B,B,B,B,A,A,A,C,B,B,D,A,A,D,A,A,A,D,A,A,B,A,A,A,A,A,C,A,B,B,B,C,B,A,B,E,B,B,B,A,A,A,A,A,A,C,'ABAIXO DA M�DIA'
A,A,F,D,C,B,B,B,B,A,B,A,B,B,D,F,A,A,G,A,A,A,G,A,A,A,A,A,A,A,A,C,C,C,A,A,A,A,A,D,C,B,A,A,A,A,A,A,A,A,A,'ABAIXO DA M�DIA'
B,A,E,D,B,B,B,B,B,B,A,A,A,B,C,E,A,A,E,A,A,A,E,A,A,B,A,A,A,A,A,A,C,C,A,A,B,B,C,C,A,B,B,C,B,A,A,A,A,A,A,'ABAIXO DA M�DIA'
B,B,K,D,B,B,B,B,B,A,A,A,B,B,B,C,A,A,E,A,A,B,G,A,B,A,A,A,A,A,A,C,B,C,B,A,C,B,B,D,B,A,B,C,A,A,A,A,A,A,B,'ABAIXO DA M�DIA'
B,A,I,E,D,C,C,C,C,B,B,A,B,B,C,C,A,C,G,A,A,B,G,A,A,B,A,A,A,A,A,C,A,A,A,A,A,B,B,D,C,B,A,C,A,A,A,A,A,A,B,'ABAIXO DA M�DIA'
A,C,E,D,C,A,C,B,B,A,B,A,B,B,B,E,A,A,C,A,A,A,D,A,A,A,A,A,A,A,A,A,B,?,?,?,A,A,A,D,E,B,C,B,A,A,A,A,A,A,A,'ABAIXO DA M�DIA'
A,F,D,D,B,A,A,B,B,A,A,A,A,B,C,D,A,B,G,A,A,C,G,A,B,B,A,A,B,A,B,C,A,C,A,A,C,C,A,D,A,B,B,A,A,A,A,A,A,A,B,'ABAIXO DA M�DIA'
B,B,D,D,D,B,B,B,B,?,B,B,A,B,C,C,A,C,B,A,A,B,G,A,A,A,A,A,A,A,A,B,A,B,A,A,C,B,B,A,B,B,B,C,A,A,A,A,A,A,B,'ABAIXO DA M�DIA'
A,A,G,D,?,A,A,B,A,A,B,A,B,B,B,D,A,A,G,A,A,B,G,A,B,A,A,A,A,A,A,?,?,?,B,?,C,C,C,A,A,B,C,A,A,A,A,A,A,A,A,'ABAIXO DA M�DIA'
B,F,I,F,C,B,B,B,B,A,B,A,A,B,C,F,A,A,G,A,A,A,B,A,A,B,A,A,A,A,A,C,B,C,B,B,B,B,C,A,B,B,C,A,B,A,A,?,B,A,D,'ABAIXO DA M�DIA'
A,A,C,D,D,B,B,B,B,B,B,?,B,B,D,D,A,B,G,A,A,A,B,A,A,B,A,A,A,A,B,C,B,C,B,A,C,A,A,C,E,B,A,C,A,A,A,B,B,B,B,'ABAIXO DA M�DIA'
A,C,J,E,B,B,A,B,B,A,A,A,C,B,D,E,A,A,D,A,A,A,G,A,A,A,A,A,A,A,A,C,A,C,A,C,B,C,C,C,A,B,B,A,B,A,A,A,A,A,C,'ABAIXO DA M�DIA'
B,F,B,D,A,B,C,B,B,A,A,A,A,B,C,F,A,A,G,A,A,A,G,A,A,A,?,A,A,A,A,C,B,B,B,C,C,B,C,D,A,B,C,A,A,A,A,A,A,B,C,'ABAIXO DA M�DIA'
A,A,B,D,C,A,E,B,B,A,A,A,A,B,C,E,A,A,G,A,A,A,G,B,B,A,A,A,A,A,A,C,A,B,A,C,C,C,C,E,A,B,D,A,A,A,A,A,A,A,B,'ABAIXO DA M�DIA'
B,A,L,D,B,B,B,B,B,A,B,A,C,B,C,F,A,A,D,A,A,A,D,A,A,A,A,A,A,A,A,C,B,C,A,C,C,A,C,D,A,B,A,B,A,A,A,B,A,A,A,'ABAIXO DA M�DIA'
B,E,H,D,C,B,B,C,B,A,B,A,A,B,C,D,A,A,B,A,A,A,B,A,A,B,A,A,A,A,A,C,A,B,B,A,B,B,C,D,B,B,B,C,A,A,B,A,A,A,A,'ABAIXO DA M�DIA'
A,A,C,D,B,B,B,B,B,B,B,A,A,B,C,B,A,A,B,A,B,B,D,A,A,A,A,A,A,A,A,?,A,?,A,A,B,C,C,E,B,A,C,A,A,A,A,A,A,A,A,'ABAIXO DA M�DIA'
A,C,B,C,B,B,B,A,A,A,A,A,A,B,C,C,A,A,B,B,A,B,F,A,A,C,A,A,A,A,A,C,B,C,B,C,?,?,?,E,E,B,A,B,A,A,C,A,B,A,C,'ABAIXO DA M�DIA'
A,E,C,C,C,A,B,B,B,A,A,A,A,B,B,C,A,A,C,B,B,B,C,A,A,B,A,A,A,A,A,C,B,B,B,B,B,C,C,D,E,B,A,A,A,A,A,A,A,A,A,'ABAIXO DA M�DIA'
B,B,J,E,C,B,A,C,A,C,C,A,B,B,C,D,A,B,D,A,A,A,G,A,A,B,A,A,A,A,A,C,A,B,A,A,C,C,C,A,A,B,A,A,A,B,B,B,B,B,B,'ABAIXO DA M�DIA'
A,B,A,D,C,B,B,B,B,A,B,A,A,B,D,F,A,C,G,A,A,B,G,A,B,C,A,A,A,A,A,B,A,B,B,B,C,C,B,A,E,A,C,C,A,A,A,A,A,A,B,'ABAIXO DA M�DIA'
A,A,H,E,C,B,C,B,B,A,B,A,A,B,D,D,A,A,G,A,A,A,G,A,A,A,A,A,A,A,A,B,A,A,B,B,B,B,A,D,B,B,A,C,A,A,A,A,A,A,B,'ABAIXO DA M�DIA'
A,B,E,D,C,B,C,C,B,B,A,A,C,C,C,F,A,A,C,A,A,A,A,A,A,A,A,A,A,A,A,?,B,B,B,B,C,A,B,B,A,B,A,A,A,B,A,A,A,A,C,'ABAIXO DA M�DIA'
A,F,F,F,C,B,C,B,B,B,A,A,B,B,C,C,A,A,C,B,A,B,B,A,A,B,A,A,A,A,B,?,A,?,B,?,?,B,?,D,A,B,A,C,B,A,B,A,A,A,A,'ABAIXO DA M�DIA'
A,F,C,F,B,B,?,?,?,A,B,A,B,B,?,F,A,B,G,A,A,A,G,?,B,B,A,A,A,A,A,C,B,B,B,B,C,C,C,C,B,B,B,A,C,B,A,?,A,A,D,'ABAIXO DA M�DIA'
B,B,H,G,B,?,B,B,B,A,A,A,B,B,B,F,A,C,G,A,B,B,G,A,B,C,A,A,A,A,A,C,B,C,B,B,C,B,C,D,B,B,D,A,C,B,A,A,A,A,D,'ABAIXO DA M�DIA'
B,C,C,F,B,B,B,B,A,B,B,D,D,B,D,D,D,A,G,A,A,A,G,A,A,?,A,A,A,A,A,C,B,C,A,A,A,A,A,A,D,B,B,?,B,B,A,B,A,A,A,'ABAIXO DA M�DIA'
A,F,K,F,B,B,B,B,A,A,B,D,D,C,C,F,A,A,G,A,A,B,G,A,A,A,A,A,A,A,A,C,A,B,A,A,B,B,C,A,A,A,A,B,B,B,A,A,A,A,B,'ABAIXO DA M�DIA'
A,B,A,E,C,A,A,B,A,A,A,A,A,B,B,D,A,A,G,A,A,A,B,A,A,A,A,A,A,A,A,A,?,B,?,?,A,?,?,D,D,A,B,C,A,B,B,A,A,A,?,'ABAIXO DA M�DIA'
B,B,G,E,D,B,C,B,D,A,D,D,B,C,D,F,B,B,B,A,A,B,G,A,A,A,A,A,A,B,A,?,?,?,?,?,?,?,?,C,A,B,?,A,C,A,A,?,A,A,A,'ABAIXO DA M�DIA'
A,C,J,E,B,A,B,B,A,A,B,A,A,B,B,C,A,A,D,A,A,A,D,A,A,B,A,A,A,B,?,A,A,A,A,A,C,C,C,A,E,B,C,B,A,A,B,C,B,C,B,'ABAIXO DA M�DIA'
B,E,B,E,D,?,D,B,C,A,B,A,A,B,E,F,A,A,G,A,A,B,G,B,B,A,A,A,A,A,A,C,A,B,A,?,A,C,A,A,A,B,B,C,B,B,A,A,A,A,A,'ABAIXO DA M�DIA'
A,?,D,F,A,C,B,B,B,B,C,D,A,C,B,F,A,A,G,A,A,B,G,A,A,B,A,A,A,A,B,C,B,B,B,C,A,A,A,A,A,B,A,C,C,B,B,A,A,A,A,'ABAIXO DA M�DIA'
A,E,I,E,E,A,D,C,B,A,A,D,A,B,C,A,A,B,A,B,B,A,A,B,B,A,B,A,A,A,B,B,B,B,B,B,C,A,C,B,E,A,D,A,A,A,C,A,A,A,C,'ABAIXO DA M�DIA'
A,F,I,E,B,A,B,B,A,B,A,A,A,B,C,E,A,A,A,B,B,A,D,A,B,B,A,A,A,B,B,?,B,?,?,?,C,?,?,E,E,B,C,B,A,?,B,B,B,B,B,'ABAIXO DA M�DIA'
A,F,I,H,C,C,B,B,A,A,A,A,A,B,C,D,B,A,D,A,A,B,G,B,B,C,A,B,B,A,A,B,A,B,B,A,C,B,A,C,E,B,B,C,B,A,A,A,A,A,D,'ABAIXO DA M�DIA'
B,B,I,F,C,B,B,C,C,A,C,A,A,B,A,E,B,A,C,A,A,A,D,A,A,B,A,A,A,A,A,B,B,B,A,A,C,B,B,B,A,A,C,C,B,B,A,A,A,A,A,'ABAIXO DA M�DIA'
A,?,H,G,C,C,?,A,A,A,C,B,?,A,A,?,?,A,?,A,A,B,C,A,A,?,B,B,A,A,?,A,B,?,B,?,A,B,C,?,?,A,?,?,?,A,?,?,?,A,?,'ABAIXO DA M�DIA'
A,B,C,F,C,C,B,B,A,A,B,A,A,B,C,D,A,A,C,A,A,A,B,B,B,C,A,A,A,A,B,B,A,?,A,C,C,B,C,D,B,B,A,A,B,A,A,A,B,A,C,'ABAIXO DA M�DIA'
B,C,E,F,B,A,B,B,A,A,B,A,A,B,C,D,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,C,A,A,A,?,A,C,C,D,C,B,B,A,B,A,A,A,A,A,B,'ABAIXO DA M�DIA'
B,B,G,G,C,A,C,B,B,A,B,A,A,B,C,F,C,C,E,A,A,C,C,A,A,A,A,A,A,A,A,A,A,B,A,A,A,B,A,A,C,B,A,A,B,A,A,A,A,A,D,'ABAIXO DA M�DIA'
A,B,I,F,D,B,C,C,B,A,C,C,B,C,D,F,A,B,G,A,A,A,G,A,A,A,A,A,A,A,A,C,A,B,A,A,B,A,B,A,A,B,A,B,A,B,A,A,B,A,D,'ABAIXO DA M�DIA'
A,B,E,E,C,A,B,B,B,A,A,A,B,B,C,E,A,A,C,A,A,B,D,A,A,A,A,A,A,A,A,B,A,B,A,C,?,B,?,B,B,B,A,C,A,A,B,A,B,B,B,'ABAIXO DA M�DIA'
B,F,I,F,C,D,C,C,B,A,B,A,B,B,C,B,A,A,B,A,A,B,G,A,A,B,A,A,A,A,B,B,A,B,A,B,B,B,B,D,A,B,D,C,B,B,B,A,B,A,D,'ABAIXO DA M�DIA'
A,E,B,F,C,B,B,B,B,A,B,A,A,B,D,E,A,A,B,A,A,B,D,A,A,A,A,A,A,A,A,C,A,C,B,A,C,B,C,A,B,B,A,A,C,A,A,A,A,A,D,'ABAIXO DA M�DIA'
B,E,I,E,C,A,A,B,B,A,A,A,A,B,B,F,A,B,B,A,A,B,B,A,A,A,A,A,A,A,A,B,A,B,B,A,C,B,B,D,B,B,A,A,A,A,A,A,B,A,C,'ABAIXO DA M�DIA'
A,C,J,F,C,D,C,C,C,B,B,C,C,B,?,C,E,A,D,A,A,A,D,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,C,C,B,B,?,B,A,A,A,A,A,C,'ABAIXO DA M�DIA'
A,B,K,E,D,B,C,B,A,A,B,A,A,B,C,D,A,B,B,A,A,B,G,A,B,B,A,A,A,A,A,C,B,C,B,A,C,C,B,D,E,A,A,A,A,A,A,A,A,A,D,'ABAIXO DA M�DIA'
A,B,C,E,C,B,C,B,B,A,B,A,A,B,C,C,A,A,G,A,A,C,G,A,A,B,A,A,A,A,A,C,B,C,A,B,C,C,B,D,A,B,C,C,A,A,A,B,A,A,C,'ABAIXO DA M�DIA'
A,A,E,E,B,A,C,C,B,A,A,A,A,B,C,D,A,A,G,A,A,B,G,A,A,B,B,A,B,A,A,?,?,?,A,?,C,?,?,D,E,A,D,B,B,A,A,A,A,A,B,'ABAIXO DA M�DIA'
A,A,F,F,B,A,B,C,B,A,A,A,A,C,C,C,A,C,D,A,A,B,G,A,A,A,?,A,A,A,A,A,A,B,A,B,A,C,B,C,D,B,C,C,A,A,A,B,B,A,A,'ABAIXO DA M�DIA'
B,B,G,F,B,B,B,B,B,B,B,A,A,B,C,C,A,A,B,A,A,B,B,A,A,A,A,A,A,A,B,C,A,A,B,B,B,A,A,C,A,B,A,A,B,A,A,A,B,A,A,'ABAIXO DA M�DIA'
B,B,H,E,B,A,B,B,A,B,B,B,A,B,B,F,A,A,G,A,A,A,G,A,A,B,A,A,A,A,A,B,A,C,A,C,A,B,C,A,E,B,D,C,A,A,A,A,A,A,D,'ABAIXO DA M�DIA'
A,B,C,D,B,A,B,B,B,A,B,A,C,B,B,C,A,A,E,A,A,B,G,A,A,A,A,A,A,A,A,C,B,C,B,B,C,B,B,B,A,B,B,C,A,A,A,A,A,A,D,'ABAIXO DA M�DIA'
B,E,A,F,B,A,A,B,B,A,B,A,A,B,B,F,A,A,B,A,A,B,G,A,B,A,A,A,A,A,A,B,B,B,B,A,B,A,B,B,E,B,B,B,B,A,A,A,A,A,D,'ABAIXO DA M�DIA'
A,B,F,E,D,C,A,B,B,A,A,A,A,B,C,F,?,B,B,B,B,B,B,A,A,A,A,A,A,A,A,A,A,B,A,B,A,C,B,D,D,B,A,A,A,A,A,B,A,B,B,'ABAIXO DA M�DIA'
B,E,B,C,C,C,B,B,B,A,B,A,C,B,C,D,A,B,G,A,A,A,G,A,A,B,A,A,A,A,A,C,A,C,A,C,C,C,C,B,A,B,A,A,A,A,A,B,A,B,B,'ABAIXO DA M�DIA'
B,B,B,C,B,C,C,B,B,A,B,A,C,B,C,D,A,B,G,A,A,A,G,A,A,B,A,A,A,A,A,C,A,C,B,C,B,C,B,D,C,B,A,A,A,A,A,D,A,B,B,'ABAIXO DA M�DIA'
B,B,B,C,B,B,A,B,A,A,A,A,B,B,B,D,A,A,G,A,A,A,G,A,A,B,A,A,A,A,B,C,B,C,C,A,C,C,C,D,E,B,A,A,A,A,A,B,B,B,B,'ABAIXO DA M�DIA'
B,B,J,E,C,B,B,C,B,A,B,B,B,B,D,D,A,B,G,A,A,A,G,A,A,B,A,A,A,A,A,C,B,?,B,B,B,B,B,D,C,B,A,A,B,A,B,B,B,B,A,'ABAIXO DA M�DIA'
A,B,I,F,D,B,C,B,B,A,B,B,B,B,D,E,A,A,E,A,A,A,E,A,A,A,A,A,A,A,A,C,B,C,A,C,B,A,B,D,D,B,D,C,A,C,B,B,B,B,A,'ABAIXO DA M�DIA'
A,B,F,D,C,B,B,A,B,B,B,B,A,C,D,E,A,A,E,A,A,A,D,A,A,A,A,A,A,A,A,C,B,C,B,A,B,B,B,C,A,B,A,C,A,A,B,B,A,A,B,'ABAIXO DA M�DIA'
A,B,E,D,?,?,B,A,B,A,B,A,A,B,C,D,A,A,G,A,A,C,E,A,A,A,A,A,A,A,A,C,B,C,B,A,B,B,B,D,B,B,B,C,A,B,A,A,A,A,B,'ABAIXO DA M�DIA'
A,B,G,D,B,B,B,B,B,A,B,A,A,C,C,F,A,C,G,A,A,C,G,A,A,A,A,A,A,A,A,B,A,A,A,A,B,B,B,D,A,B,A,C,A,A,A,A,A,A,B,'ABAIXO DA M�DIA'
A,B,F,D,D,A,C,B,B,A,B,A,A,B,C,E,A,A,G,A,A,A,G,A,A,A,A,A,A,A,A,?,?,?,?,?,?,?,?,A,B,B,A,A,B,A,A,B,A,B,A,'ABAIXO DA M�DIA'
B,B,I,E,B,B,B,B,A,A,A,A,B,B,D,F,A,A,G,A,A,B,G,A,B,A,A,A,A,A,A,C,A,B,B,A,B,B,B,D,B,B,A,A,A,A,B,B,A,B,A,'ABAIXO DA M�DIA'
A,B,I,D,B,B,B,?,B,A,B,A,B,B,D,F,A,C,G,A,A,C,G,A,A,C,A,A,A,A,A,C,B,C,B,C,B,C,C,B,A,B,D,C,A,A,B,B,B,B,B,'ABAIXO DA M�DIA'
B,A,L,C,D,B,A,B,A,A,A,A,C,B,E,F,A,A,D,A,A,C,G,A,A,B,A,A,A,A,B,C,A,C,A,B,A,A,B,D,B,B,D,C,A,A,B,B,B,B,B,'ABAIXO DA M�DIA'
B,B,K,C,C,A,A,B,A,A,B,A,A,B,C,D,A,A,G,A,A,A,G,A,A,A,A,A,A,A,A,B,A,B,A,B,B,B,C,D,B,B,A,C,A,A,A,A,A,A,B,'ABAIXO DA M�DIA'
A,A,C,E,C,A,B,B,B,A,A,A,A,B,C,D,A,A,G,B,B,A,G,A,A,A,A,A,A,A,B,C,A,B,C,C,C,B,C,D,A,B,A,A,?,C,A,A,A,A,C,'ABAIXO DA M�DIA'
A,B,C,F,C,A,B,B,A,B,A,A,A,B,C,E,A,A,E,A,A,B,G,A,A,?,A,B,A,A,A,?,A,?,?,?,A,?,?,A,A,B,A,A,C,A,A,A,A,A,A,'ABAIXO DA M�DIA'
A,B,H,F,B,A,B,B,B,A,A,A,A,B,B,E,A,A,C,A,A,B,G,A,A,B,A,A,A,A,A,C,A,B,A,C,A,B,C,A,A,B,A,A,B,A,A,A,B,A,A,'ABAIXO DA M�DIA'
B,B,L,F,B,B,B,B,B,A,C,A,A,B,D,?,?,A,G,A,A,B,G,A,B,B,A,A,A,A,B,C,A,C,A,A,B,C,A,A,B,?,?,A,C,A,A,A,A,A,A,'ABAIXO DA M�DIA'
A,B,B,H,B,B,B,B,B,A,B,A,D,B,C,E,A,B,G,A,A,A,G,A,A,A,A,A,A,A,A,B,B,B,A,B,A,C,B,C,A,A,B,A,A,A,B,A,A,A,A,'ABAIXO DA M�DIA'
B,B,J,F,A,B,A,B,B,A,A,A,A,B,C,F,A,C,D,A,A,B,C,A,A,A,A,A,A,A,A,?,A,?,?,?,?,B,?,B,A,A,A,A,A,A,A,A,B,A,B,'ABAIXO DA M�DIA'
A,B,B,G,B,B,B,B,B,A,A,A,A,B,B,F,A,A,A,B,A,B,C,A,A,A,A,B,A,A,A,?,A,?,?,?,A,?,?,E,A,B,B,A,B,A,A,A,A,A,A,'ABAIXO DA M�DIA'
B,B,A,G,A,B,A,B,B,B,B,A,A,B,C,E,A,A,C,A,A,B,C,A,A,A,A,B,A,A,A,?,A,?,?,?,A,?,?,A,B,B,B,A,B,A,A,A,A,A,A,'ABAIXO DA M�DIA'
A,C,I,G,A,C,A,B,B,A,A,A,A,B,C,F,A,A,B,?,?,B,A,A,A,C,A,A,A,A,A,C,?,A,A,B,B,C,B,A,B,?,A,A,C,A,A,A,A,A,A,'ABAIXO DA M�DIA'
A,F,G,F,B,C,B,B,B,A,B,A,B,B,D,E,A,A,E,A,A,A,D,B,A,A,A,?,A,A,A,C,B,B,A,A,B,B,B,A,E,B,B,A,B,A,B,A,A,A,B,'ABAIXO DA M�DIA'
A,B,C,C,B,A,B,B,B,B,B,A,A,B,C,C,A,A,G,A,A,B,G,A,B,C,A,B,A,A,B,A,A,C,B,A,A,A,A,D,A,B,A,B,B,A,B,B,B,D,B,'ABAIXO DA M�DIA'
A,?,D,E,C,B,B,B,B,A,B,B,B,B,B,C,A,A,F,A,A,B,F,A,A,A,A,B,A,A,A,?,A,?,?,?,A,?,?,D,D,A,A,C,B,B,A,A,A,A,B,'ABAIXO DA M�DIA'
A,B,?,G,B,A,A,B,A,A,A,A,A,B,C,C,A,A,G,A,A,A,G,A,A,C,A,A,A,A,B,?,?,?,?,?,?,?,?,C,B,B,D,A,C,A,A,A,A,A,B,'ABAIXO DA M�DIA'
B,C,L,E,B,B,A,A,A,A,B,A,A,B,D,F,B,A,B,A,A,A,D,A,A,A,A,A,A,A,A,?,?,?,?,?,?,?,?,C,A,B,B,C,A,A,A,B,A,A,A,'ABAIXO DA M�DIA'
A,?,A,G,B,C,C,B,A,A,B,B,B,C,C,E,A,A,B,A,A,B,C,A,A,A,A,A,A,A,A,?,A,?,?,?,?,A,?,B,A,A,A,A,C,?,A,A,A,A,A,'ABAIXO DA M�DIA'
A,A,E,F,B,A,B,B,B,B,B,A,A,B,C,F,A,A,C,A,A,A,C,A,A,B,?,A,A,A,A,?,B,?,?,?,?,B,?,A,A,B,A,A,C,A,A,B,A,A,B,'ABAIXO DA M�DIA'
B,B,A,C,E,C,E,B,B,B,C,B,B,E,E,B,B,A,C,A,A,B,C,A,B,A,A,A,A,A,A,?,?,?,A,?,?,A,?,D,C,B,B,B,A,A,A,A,A,A,B,'ABAIXO DA M�DIA'
A,B,D,C,E,A,B,B,B,A,B,B,B,D,D,E,A,A,G,A,A,A,G,A,A,A,A,A,A,A,A,C,B,C,C,C,C,C,B,B,A,B,C,C,A,A,B,B,B,B,C,'ABAIXO DA M�DIA'
B,B,G,F,D,B,A,B,A,B,B,B,A,C,D,D,B,A,B,A,A,B,G,A,A,C,A,A,A,A,B,B,A,C,C,C,C,A,A,?,?,A,?,B,B,A,A,A,?,A,C,'ABAIXO DA M�DIA'
A,B,B,C,D,C,D,B,B,A,B,B,B,B,D,D,B,A,A,B,B,A,A,B,B,A,A,A,A,A,A,A,B,C,A,C,B,B,A,B,A,B,B,B,A,A,B,A,B,A,A,'ABAIXO DA M�DIA'
B,A,K,C,C,?,B,B,A,B,B,A,B,B,C,E,A,A,E,A,B,A,E,A,B,B,A,A,A,A,B,C,C,B,A,B,C,C,C,D,B,B,B,A,A,A,A,B,A,B,C,'ABAIXO DA M�DIA'
B,A,B,C,B,C,B,B,A,A,B,A,B,B,C,B,A,A,G,A,?,A,B,A,A,A,A,A,A,A,A,B,A,B,B,B,C,C,C,D,A,B,A,A,A,A,A,A,A,A,C,'ABAIXO DA M�DIA'
A,F,F,C,E,E,E,E,D,D,B,B,B,D,D,E,A,A,B,A,A,A,D,A,A,B,A,A,A,A,A,B,A,B,B,B,B,B,B,A,B,A,A,A,A,A,A,D,A,D,A,'ABAIXO DA M�DIA'
B,A,J,D,B,B,A,B,A,A,B,A,B,C,E,E,A,A,E,A,A,A,E,A,A,A,A,A,A,A,A,B,B,B,B,A,C,B,C,A,B,B,A,A,A,A,A,A,A,A,C,'ABAIXO DA M�DIA'
B,C,L,D,B,B,B,B,A,B,A,A,B,A,C,E,A,A,B,A,A,B,?,?,A,A,A,B,A,B,A,C,B,A,A,A,?,B,B,D,D,A,B,B,B,A,A,A,A,A,?,'ABAIXO DA M�DIA'
B,F,J,D,B,B,B,B,B,B,B,B,B,C,D,E,A,A,G,A,A,A,G,A,A,A,A,A,A,A,A,C,B,C,B,B,A,B,B,B,B,B,B,A,A,A,A,A,A,A,C,'ABAIXO DA M�DIA'
A,A,C,C,C,C,A,C,B,B,B,B,B,C,B,B,A,B,C,A,A,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,'ABAIXO DA M�DIA'
A,B,L,D,A,B,D,B,B,A,A,A,B,B,D,C,A,A,C,A,A,A,?,A,A,B,A,A,A,A,A,?,A,?,?,?,?,?,?,D,?,B,A,B,A,A,A,B,A,B,C,'ABAIXO DA M�DIA'
B,F,C,C,B,B,A,B,A,B,B,A,B,B,D,D,A,A,G,A,B,A,G,A,A,B,A,A,A,A,A,?,?,?,?,?,?,?,?,B,B,B,A,A,A,A,D,A,A,A,B,'ABAIXO DA M�DIA'
B,B,J,D,D,B,C,B,B,A,B,B,A,C,D,F,A,A,C,A,A,A,D,A,A,B,A,A,A,A,A,B,A,A,A,A,A,B,A,B,?,B,A,A,A,A,A,A,A,A,B,'ABAIXO DA M�DIA'
B,A,E,D,C,B,B,B,A,B,B,C,B,B,C,C,A,A,C,A,A,A,C,A,A,A,A,A,A,A,A,B,A,C,A,A,C,B,B,B,A,B,C,C,A,A,A,A,A,A,D,'ABAIXO DA M�DIA'
B,F,C,C,E,B,C,B,B,A,B,A,B,B,D,D,A,A,F,A,A,A,G,A,A,A,A,A,A,A,A,B,A,A,A,B,B,B,B,A,A,B,A,C,A,A,D,D,D,D,A,'ABAIXO DA M�DIA'
B,B,G,D,D,B,C,B,?,B,B,A,C,C,D,C,A,A,E,A,A,C,E,A,A,A,A,A,A,A,A,C,B,B,C,A,B,C,B,B,C,B,B,C,A,A,D,D,D,D,C,'ABAIXO DA M�DIA'
