@relation 'ALUNO ORD TOTAL. IDEB-EXCLUIDOS ALUNOS S RESP APSOCIOestevam'

@attribute TX_RESP_Q001 {A,B}
B,A,I,E,C,B,C,B,B,A,A,B,B,C,C,C,B,B,B,A,A,A,F,A,A,B,A,A,A,A,A,C,A,B,?,B,B,A,A,A,B,B,A,C,C,A,A,A,A,A,A,'ABAIXO DA M�DIA'
A,B,E,D,D,B,B,B,B,A,B,B,B,C,D,F,A,A,E,A,A,B,G,A,A,B,A,A,A,A,B,B,B,B,C,A,B,B,B,D,E,B,C,A,A,A,A,A,A,A,B,'ABAIXO DA M�DIA'
B,A,L,C,B,B,C,B,B,A,A,A,B,B,C,D,A,A,G,A,A,A,G,A,A,A,A,A,A,A,A,B,A,B,A,A,B,B,A,B,A,B,B,A,A,A,A,A,A,A,B,'ABAIXO DA M�DIA'
A,B,G,D,B,A,B,C,A,A,A,A,A,B,B,B,A,A,G,A,A,B,G,A,B,C,A,A,A,A,A,?,B,?,?,?,?,C,?,D,E,B,B,C,A,A,A,A,A,A,B,'ABAIXO DA M�DIA'
B,B,C,C,C,B,B,B,B,A,B,A,B,B,C,E,A,C,E,A,A,A,D,A,A,A,A,A,A,A,A,C,B,A,C,C,C,C,C,E,A,B,B,C,A,A,B,A,A,A,B,'ABAIXO DA M�DIA'
B,A,I,D,C,B,C,C,C,B,B,B,C,B,C,F,A,A,G,A,A,C,D,A,A,A,A,A,A,A,A,C,A,B,B,B,C,A,B,D,D,B,A,C,A,A,A,A,A,A,C,'ABAIXO DA M�DIA'
B,B,J,D,E,B,B,B,A,A,B,A,A,B,D,F,A,A,G,A,A,B,G,A,A,B,A,A,A,A,A,C,A,B,A,C,B,A,A,A,A,B,A,A,A,A,A,A,A,A,B,'ABAIXO DA M�DIA'
A,A,K,C,B,A,B,B,A,A,A,B,B,C,E,F,A,A,G,A,B,A,G,A,B,B,A,A,A,A,A,C,A,B,C,A,C,A,B,A,E,B,C,A,A,A,A,A,A,A,B,'ABAIXO DA M�DIA'
A,B,F,D,D,C,A,B,C,B,B,B,A,C,D,E,B,C,G,A,A,A,G,A,B,B,A,A,A,A,A,C,B,C,B,C,C,B,C,C,A,A,B,C,A,A,A,A,A,A,B,'ABAIXO DA M�DIA'
A,B,I,D,B,A,A,B,B,A,B,A,A,C,C,F,A,A,G,A,A,B,G,A,A,?,A,A,A,A,A,A,A,A,A,A,C,C,C,B,D,A,C,C,A,A,A,A,A,A,C,'ABAIXO DA M�DIA'
