ID_AREA,ID_ESCOLA,ID_DEPENDENCIA_ADM,ID_LOCALIZACAO,ID_TURMA,ID_TURNO,ID_ALUNO,TX_RESP_BLOCO_1_LP,TX_RESP_BLOCO_2_LP,TX_RESP_BLOCO_1_MT,TX_RESP_BLOCO_2_MT,ESTRATO_ANEB,PESO_ALUNO_LP,PROFICIENCIA_LP,PROFICIENCIA_LP_SAEB,DESVIO_PADRAO_LP_SAEB,TX_RESP_Q002,TX_RESP_Q003,TX_RESP_Q004,TX_RESP_Q017,TX_RESP_Q029,TX_RESP_Q057,'RESULTADO IDEB',CONDICAO
2,27044270,3,2,604385,2,17847694,CBDCABDDABABA,BBAADDCADDDDA,CCBADBCDBADBC,BCDBBDADACDBD,270915232,1.031.250.000.000.000,1.949.901.000.000.000,357.411.593.000.000.000,31.484.094.000.000.000,B,K,C,A,B,A,5.8,'ACIMA DA MEDIA'
2,27044270,3,2,604385,2,17847695,BADDAADDBBDDB,ABDBAADDDBABA,ABCCDDACCCADC,CCBADBCDBDDCC,270915232,1.031.250.000.000.000,0.546153000000000,280.074.395.000.000.000,18.786.506.000.000.000,C,H,C,A,A,C,5.8,'ACIMA DA MEDIA'
2,27044270,3,2,604385,2,17847696,BDAADBAADACDA,BDACAAC.D.BBB,CCCAADAABB.CC,ABBCDDACCDDAB,270915232,1.031.250.000.000.000,-0.486155000000000,223.201.076.000.000.000,23.465.365.000.000.000,A,F,D,A,A,C,5.8,'ACIMA DA MEDIA'
2,27044270,3,2,604385,2,17847697,DADDBCDDBBABA,CADACDCACCDCA,CDADBCCCDACAA,ADBDAAACCDAAA,270915232,1.031.250.000.000.000,1.093.457.000.000.000,310.227.213.000.000.000,18.207.255.000.000.000,B,H,C,A,A,C,5.8,'ACIMA DA MEDIA'
2,27044270,3,2,604385,2,17847698,BDDDAADDBBDDB,CAAABDCACBCDD,AAACADACCACCD,CBBDBACCCDBDA,270915232,1.031.250.000.000.000,0.794154000000000,293.737.604.000.000.000,20.974.870.000.000.000,B,E,E,A,B,C,5.8,'ACIMA DA MEDIA'
2,27044270,3,2,604385,2,17847699,BDCADDCADCDDA,BADDAADDBADDC,CCDDBCAAACCDA,ABCCDDACCCADA,270915232,1.031.250.000.000.000,0.548555000000000,280.206.730.000.000.000,21.781.381.000.000.000,F,F,B,A,?,A,5.8,'ACIMA DA MEDIA'
2,27044270,3,2,604385,2,17847700,DCDDACDDBBACA,CACBDCBBBCDDA,ABBADAADCCDDA,AADDBBCCADCDC,270915232,1.031.250.000.000.000,0.668844000000000,286.833.855.000.000.000,18.080.375.000.000.000,F,H,D,A,A,A,5.8,'ACIMA DA MEDIA'
2,27044270,3,2,604385,2,17847701,DADDBCDDDBACD,CDBDBADDCDBAB,CDADACACCCAAA,AADABDBACADAC,270915232,1.031.250.000.000.000,-0.209469000000000,238.444.638.000.000.000,26.915.091.000.000.000,B,F,C,A,A,?,5.8,'ACIMA DA MEDIA'
2,27044270,3,2,604385,2,17847702,DBDDAADDACDDD,BCDAABDDBACDB,BBDDDCDDBDDCD,DDCDBDAADBCCA,270915232,1.031.250.000.000.000,-0.879543000000000,201.528.008.000.000.000,24.943.630.000.000.000,F,H,C,A,A,C,5.8,'ACIMA DA MEDIA'
2,27044270,3,2,604385,2,17847703,BCBACDDCCCCDC,BACDBCDDBDCAB,DCCBADCDBCDAC,ABCCDBACCBADC,270915232,1.031.250.000.000.000,0.160835000000000,258.845.931.000.000.000,19.561.284.000.000.000,B,K,C,A,A,A,5.8,'ACIMA DA MEDIA'
