ID_PROVA_BRASIL,ID_REGIAO,ID_UF,ID_MUNICIPIO,ID_AREA,ID_ESCOLA,ID_DEPENDENCIA_ADM,ID_LOCALIZACAO,ID_TURMA,ID_TURNO,ID_SERIE,ID_ALUNO,IN_SITUACAO_CENSO,IN_PREENCHIMENTO_PROVA,ID_CADERNO,ID_BLOCO_1,ID_BLOCO_2,TX_RESP_BLOCO_1_LP,TX_RESP_BLOCO_2_LP,TX_RESP_BLOCO_1_MT,TX_RESP_BLOCO_2_MT,IN_PROFICIENCIA,IN_PROVA_BRASIL,ESTRATO_ANEB,PESO_ALUNO_MT,PROFICIENCIA_MT,DESVIO_PADRAO_MT,PROFICIENCIA_MT_SAEB,DESVIO_PADRAO_MT_SAEB,IN_PREENCHIMENTO_QUESTIONARIO,TX_RESP_Q001,TX_RESP_Q002,TX_RESP_Q003,TX_RESP_Q004,TX_RESP_Q005,TX_RESP_Q006,TX_RESP_Q007,TX_RESP_Q008,TX_RESP_Q009,TX_RESP_Q010,TX_RESP_Q011,TX_RESP_Q012,TX_RESP_Q013,TX_RESP_Q014,TX_RESP_Q015,TX_RESP_Q016,TX_RESP_Q017,TX_RESP_Q018,TX_RESP_Q019,TX_RESP_Q020,TX_RESP_Q021,TX_RESP_Q022,TX_RESP_Q023,TX_RESP_Q024,TX_RESP_Q025,TX_RESP_Q026,TX_RESP_Q027,TX_RESP_Q028,TX_RESP_Q029,TX_RESP_Q030,TX_RESP_Q031,TX_RESP_Q032,TX_RESP_Q033,TX_RESP_Q034,TX_RESP_Q035,TX_RESP_Q036,TX_RESP_Q037,TX_RESP_Q038,TX_RESP_Q039,TX_RESP_Q040,TX_RESP_Q041,TX_RESP_Q042,TX_RESP_Q043,TX_RESP_Q044,TX_RESP_Q045,TX_RESP_Q046,TX_RESP_Q047,TX_RESP_Q048,TX_RESP_Q049,TX_RESP_Q050,TX_RESP_Q051,'CLASSIFICADOR IDEB'
2015,2,27,2704302,1,27226603,3,1,605187,1,5,17873390,1,1,3,3,4,BCCDABACADC,BDACDCACADA,CCACABDDCCB,BAABCDADACC,1,1,270430231,1.300.886.122,0.325042,0.32395,268.131.735,1.810.632,1,A,B,D,D,C,A,C,B,B,A,B,A,A,B,D,F,A,A,C,A,A,B,D,A,A,C,A,A,A,A,A,C,C,C,B,B,C,B,C,C,A,B,A,C,A,B,B,A,A,A,B,'ACIMA DA M?DIA '
2015,2,27,2704302,1,27226603,3,1,605187,1,5,17873391,1,1,18,4,7,BDDCDDACCAB,CBCDADAABAB,BAABCDDDACB,DCAABBADBAC,1,1,270430231,1.300.886.122,0.147944,0.319097,258.233.316,17.835.074,1,B,E,F,D,C,B,B,B,B,A,A,A,A,B,C,B,A,A,C,A,A,B,D,A,A,A,A,A,A,A,A,B,A,A,B,A,B,B,B,B,B,B,B,B,A,A,A,A,A,A,B,'ACIMA DA M?DIA '
2015,2,27,2704302,1,27226603,3,1,605187,1,5,17873392,1,1,21,7,3,BBDACDAADDA,ACBDCCBDCCA,DCCAABDBCDC,BACCBDDBCBC,1,1,270430231,1.300.886.122,-1.088.603,0.397217,189.119.825,22.201.383,1,B,B,J,C,E,A,C,B,B,B,B,?,B,C,D,D,A,A,E,A,B,A,G,A,B,A,A,A,A,A,A,B,B,C,B,C,B,B,C,D,E,B,A,C,A,A,A,A,A,A,B,'ACIMA DA M?DIA '
2015,2,27,2704302,1,27226603,3,1,605187,1,5,17873393,1,1,14,7,2,CADDDBBCDBB,DDBDAACDCCC,BCCACBDCCDC,DDBBAACABBC,1,1,270430231,1.300.886.122,-0.685063,0.352567,211.674.615,1.970.579,1,B,A,F,D,C,A,B,B,B,A,B,B,B,C,D,F,A,A,F,A,A,A,F,A,A,A,A,A,A,A,B,A,A,A,A,B,B,B,B,B,C,B,B,A,A,A,A,B,A,B,B,'ACIMA DA M?DIA '
2015,2,27,2704302,1,27226603,3,1,605187,1,5,17873394,1,1,11,4,6,BCDADAACAAA,CCDCBCDBBAC,AADABDBCACC,DCACCCCBBDD,1,1,270430231,1.300.886.122,-1.042.537,0.453782,191.694.561,25.362.932,1,B,B,E,D,C,B,B,B,B,A,B,A,B,B,D,F,A,A,G,A,A,A,F,A,A,A,A,A,A,A,A,B,A,B,C,A,A,B,C,C,B,B,B,C,A,A,A,A,A,A,B,'ACIMA DA M?DIA '
2015,2,27,2704302,1,27226603,3,1,605187,1,5,17873397,1,1,4,4,5,ADDADDACCAB,BBCCBBDDDDD,DADDCDACACB,ADDDBCCBDCD,1,1,270430231,1.300.886.122,-1.533.706,0.538662,164.241.982,30.107.073,1,B,B,C,D,D,C,B,B,B,B,B,A,B,B,D,D,A,A,F,A,A,C,G,A,A,A,A,?,?,A,A,B,A,C,A,A,A,B,B,A,E,?,A,C,A,A,A,A,A,A,A,'ACIMA DA M?DIA '
2015,2,27,2704302,1,27226603,3,1,605187,1,5,17873398,1,1,6,6,7,BBCBABABBDB,BBBDBCBACCD,DAACCCDBACB,BCBAABBDCBD,1,1,270430231,1.300.886.122,-0.73162,0.413456,209.072.436,23.109.018,1,A,C,G,D,?,C,C,B,B,B,B,A,B,A,C,C,A,A,F,A,A,B,B,B,B,C,B,B,B,B,B,A,B,B,C,A,A,B,B,?,E,A,A,B,A,A,B,B,A,B,B,'ACIMA DA M?DIA '
2015,2,27,2704302,1,27226603,3,1,605188,2,5,17873403,1,1,3,3,4,DCCDACACBDC,BDDCDCACDCB,DCABABDACBD,BADCCCCCACB,1,1,270430231,0.940314425,-0.175719,0.346743,240.143.037,19.380.273,1,B,A,L,C,C,B,B,B,A,A,A,A,A,B,C,D,A,A,E,A,A,B,D,A,A,A,A,A,A,A,A,C,B,C,B,C,B,C,C,A,A,B,C,A,A,A,A,A,A,A,B,'ACIMA DA M?DIA '
2015,2,27,2704302,1,27226603,3,1,605188,2,5,17873404,1,1,15,1,4,DABCCDBAADB,ADDBDBABAAC,DDBCAABADBB,CCDDCCCCDAC,1,1,270430231,0.940314425,-1.911.278,0.568623,143.138.604,31.781.663,1,A,A,H,D,B,B,B,B,B,B,B,?,B,B,C,E,A,A,G,A,A,B,G,A,B,A,A,A,A,A,A,B,A,C,B,B,B,C,B,C,A,B,B,C,A,A,A,A,A,A,A,'ACIMA DA M?DIA '
2015,2,27,2704302,1,27226603,3,1,605188,2,5,17873405,1,1,19,5,1,DCCCDDDBDBA,CBDDCDBADDB,CDCCCDACABC,CBBCAAAACBD,1,1,270430231,0.940314425,-1.030.927,0.379611,192.343.471,21.217.342,1,B,B,H,D,C,B,B,B,A,A,A,A,A,B,D,E,A,A,C,A,A,A,A,B,B,A,A,A,A,A,A,B,B,C,B,C,C,B,C,D,A,B,A,A,A,A,A,A,A,A,A,'ACIMA DA M?DIA '
