ID_AREA,ID_DEPENDENCIA_ADM,PROFICIENCIA_LP,TX_RESP_Q027,TX_RESP_Q051,'CLASSIFICADOR IDEB'
1,3,-1.244.769,A,A,'ACIMA DA M?DIA '
1,3,-0.162823,A,B,'ACIMA DA M?DIA '
1,3,1.034.497,A,C,'ACIMA DA M?DIA '
1,3,-1.650.366,A,A,'ACIMA DA M?DIA '
1,3,-0.204916,A,B,'ACIMA DA M?DIA '
1,3,-1.694.206,A,B,'ACIMA DA M?DIA '
1,3,-2.265.997,?,?,'ACIMA DA M?DIA '
1,3,-186.058,A,B,'ACIMA DA M?DIA '
1,3,-1.816.657,A,B,'ACIMA DA M?DIA '
1,3,-1.256.313,A,A,'ACIMA DA M?DIA '
1,3,-0.539848,A,B,'ACIMA DA M?DIA '
1,3,-0.71438,A,B,'ACIMA DA M?DIA '
1,3,-0.453356,A,A,'ACIMA DA M?DIA '
1,3,-0.690575,A,C,'ACIMA DA M?DIA '
1,3,-0.606268,A,C,'ACIMA DA M?DIA '
1,3,-0.984755,A,B,'ACIMA DA M?DIA '
1,3,-1.821.962,B,A,'ACIMA DA M?DIA '
1,3,-1.250.356,A,A,'ACIMA DA M?DIA '
1,3,-1.798.192,?,B,'ACIMA DA M?DIA '
1,3,-0.488113,A,B,'ACIMA DA M?DIA '
1,3,-0.691936,A,A,'ACIMA DA M?DIA '
1,3,-1.558.428,A,C,'ACIMA DA M?DIA '
1,3,-0.894726,A,B,'ACIMA DA M?DIA '
1,3,-179.453,B,D,'ACIMA DA M?DIA '
1,3,-1.640.666,A,A,'ACIMA DA M?DIA '
1,3,0.646025,A,C,'ACIMA DA M?DIA '
1,3,-0.059819,A,C,'ACIMA DA M?DIA '
1,3,-1.861.785,A,A,'ACIMA DA M?DIA '
1,3,-1.146.423,A,B,'ACIMA DA M?DIA '
1,3,-0.383467,A,A,'ACIMA DA M?DIA '
1,3,-1.010.684,A,A,'ACIMA DA M?DIA '
1,3,0.098219,A,C,'ACIMA DA M?DIA '
1,3,-1.591.688,A,C,'ACIMA DA M?DIA '
1,3,-177.482,?,A,'ACIMA DA M?DIA '
1,3,-0.392926,A,B,'ACIMA DA M?DIA '
1,3,-0.964522,A,A,'ACIMA DA M?DIA '
1,3,-0.765608,A,B,'ACIMA DA M?DIA '
1,3,0.705298,A,C,'ACIMA DA M?DIA '
