ID_PROVA_BRASIL,ID_UF,ID_MUNICIPIO,ID_ESCOLA,ID_DEPENDENCIA_ADM,ID_LOCALIZACAO,ID_TURMA,ID_SERIE,IN_PREENCHIMENTO_QUESTIONARIO,TX_RESP_Q001,TX_RESP_Q002,TX_RESP_Q003,TX_RESP_Q004,TX_RESP_Q005,TX_RESP_Q006,TX_RESP_Q007,TX_RESP_Q008,TX_RESP_Q009,TX_RESP_Q010,TX_RESP_Q011,TX_RESP_Q012,TX_RESP_Q013,TX_RESP_Q014,TX_RESP_Q015,TX_RESP_Q016,TX_RESP_Q017,TX_RESP_Q018,TX_RESP_Q019,TX_RESP_Q020,TX_RESP_Q021,TX_RESP_Q022,TX_RESP_Q023,TX_RESP_Q024,TX_RESP_Q025,TX_RESP_Q026,TX_RESP_Q027,TX_RESP_Q028,TX_RESP_Q029,TX_RESP_Q030,TX_RESP_Q031,TX_RESP_Q032,TX_RESP_Q033,TX_RESP_Q034,TX_RESP_Q035,TX_RESP_Q036,TX_RESP_Q037,TX_RESP_Q038,TX_RESP_Q039,TX_RESP_Q040,TX_RESP_Q041,TX_RESP_Q042,TX_RESP_Q043,TX_RESP_Q044,TX_RESP_Q045,TX_RESP_Q046,TX_RESP_Q047,TX_RESP_Q048,TX_RESP_Q049,TX_RESP_Q050,TX_RESP_Q051,TX_RESP_Q052,TX_RESP_Q053,TX_RESP_Q054,TX_RESP_Q055,TX_RESP_Q056,TX_RESP_Q057,TX_RESP_Q058,TX_RESP_Q059,TX_RESP_Q060,TX_RESP_Q061,TX_RESP_Q062,TX_RESP_Q063,TX_RESP_Q064,TX_RESP_Q065,TX_RESP_Q066,TX_RESP_Q067,TX_RESP_Q068,TX_RESP_Q069,TX_RESP_Q070,TX_RESP_Q071,TX_RESP_Q072,TX_RESP_Q073,TX_RESP_Q074,TX_RESP_Q075,TX_RESP_Q076,TX_RESP_Q077,TX_RESP_Q078,TX_RESP_Q079,TX_RESP_Q080,TX_RESP_Q081,TX_RESP_Q082,TX_RESP_Q083,TX_RESP_Q084,TX_RESP_Q085,TX_RESP_Q086,TX_RESP_Q087,TX_RESP_Q088,TX_RESP_Q089,TX_RESP_Q090,TX_RESP_Q091,TX_RESP_Q092,TX_RESP_Q093,TX_RESP_Q094,TX_RESP_Q095,TX_RESP_Q096,TX_RESP_Q097,TX_RESP_Q098,TX_RESP_Q099,TX_RESP_Q100,TX_RESP_Q101,TX_RESP_Q102,TX_RESP_Q103,TX_RESP_Q104,TX_RESP_Q105,TX_RESP_Q106,TX_RESP_Q107,TX_RESP_Q108,TX_RESP_Q109,TX_RESP_Q110,TX_RESP_Q111,TX_RESP_Q112,TX_RESP_Q113,TX_RESP_Q114,TX_RESP_Q115,TX_RESP_Q116,TX_RESP_Q117,TX_RESP_Q118,TX_RESP_Q119,TX_RESP_Q120,TX_RESP_Q121,TX_RESP_Q122,TX_RESP_Q123,TX_RESP_Q124,TX_RESP_Q125
2015,27,2704302,27216977,3,1,604694,5,1,B,E,B,D,E,C,B,C,E,J,C,J,G,E,G,A,C,A,C,D,D,D,D,D,B,C,C,C,B,D,D,D,B,C,C,C,C,C,C,C,C,B,B,C,D,C,C,D,A,D,F,D,B,E,E,D,B,B,B,D,B,C,C,C,C,C,C,D,A,B,B,B,A,A,A,A,A,A,A,A,B,A,B,A,B,B,B,B,B,B,B,B,D,D,C,C,A,A,E,A,D,A,B,D,C,C,F,F,E,D,F,F,F,D,E,F,E,E,E,F,E,E,D,E,E
2015,27,2704302,27216977,3,1,604696,9,1,B,D,A,G,D,C,B,A,A,D,C,D,E,D,D,A,C,C,A,C,E,E,A,A,C,C,C,C,C,C,D,C,B,B,C,C,B,B,C,B,A,B,B,C,C,B,C,C,B,C,F,B,B,C,A,C,B,B,C,C,C,C,D,D,C,D,D,C,C,A,B,B,A,B,A,B,A,A,B,A,A,B,B,A,B,B,B,B,B,A,B,B,,D,D,C,A,A,E,A,D,B,A,E,A,D,C,C,D,D,A,D,D,C,D,E,E,D,D,,,,,,
2015,27,2704302,27216977,3,1,604695,5,1,B,B,C,A,D,C,A,E,F,A,C,B,B,B,C,A,C,A,D,B,D,D,A,A,A,C,C,C,B,D,D,D,B,C,B,B,B,B,C,B,B,B,B,C,D,C,C,D,B,C,F,D,B,E,E,D,B,B,,D,B,C,C,D,C,C,D,C,B,A,B,B,B,A,A,A,A,A,A,A,B,A,B,A,B,B,B,B,B,B,B,B,D,D,D,D,A,A,E,A,D,A,B,D,C,C,F,F,E,D,E,F,F,E,E,F,E,E,E,F,E,F,D,E,E
2015,27,2704302,27216977,3,1,604695,5,1,B,,D,D,B,B,C,A,A,E,C,E,F,D,C,A,C,A,C,D,D,D,A,A,A,C,C,C,B,D,D,D,B,C,B,B,B,B,C,B,B,B,B,C,D,C,C,D,B,C,F,D,B,E,E,D,B,B,C,D,B,C,A,D,B,C,A,D,A,A,B,B,B,A,B,A,A,B,A,B,B,A,A,A,A,A,B,B,B,A,B,A,A,B,A,B,A,B,A,B,A,A,B,A,A,E,D,B,C,F,A,B,C,A,D,E,A,A,B,C,E,D,C,A,D
2015,27,2704302,27230171,3,1,605250,5,1,B,D,B,D,B,B,C,C,E,H,C,H,D,D,D,A,A,A,A,B,E,D,D,A,A,C,C,C,C,C,D,D,A,A,A,A,A,B,B,C,A,B,A,C,D,C,C,D,B,A,F,C,B,C,A,B,C,B,C,C,B,C,C,B,B,D,D,D,C,B,B,B,A,A,A,B,B,A,B,A,A,A,B,A,B,B,B,B,B,B,B,B,D,D,D,D,A,A,E,A,D,A,A,F,C,D,F,F,F,C,E,F,F,A,A,E,E,E,E,E,E,E,A,E,E
2015,27,2704302,27230171,3,1,605251,5,1,B,D,B,D,B,B,C,C,E,G,C,I,E,D,D,A,A,A,A,B,E,A,E,A,A,C,C,C,B,B,C,D,A,A,A,A,A,B,A,C,A,B,B,C,C,C,C,D,B,A,H,B,B,D,A,A,A,B,C,C,B,C,C,C,C,D,D,D,C,B,B,B,A,B,B,B,B,A,B,A,B,A,B,A,B,B,B,B,B,B,B,B,D,D,D,D,A,A,E,A,D,A,A,E,C,D,F,F,F,C,E,F,C,B,B,E,E,F,C,E,E,E,A,E,C
2015,27,2704302,27230082,3,1,605233,5,1,B,C,B,D,B,C,B,A,A,E,C,E,E,D,C,A,C,A,C,C,E,E,A,A,A,B,C,C,B,B,C,D,B,B,C,B,C,B,C,B,B,C,B,D,D,C,C,D,B,C,D,E,B,E,E,C,B,B,D,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,27,2704302,27230082,3,1,605234,5,1,B,C,C,H,B,C,B,C,E,E,C,E,E,C,C,A,C,A,C,D,D,D,B,D,B,C,C,C,C,C,C,D,B,C,C,C,B,C,C,C,B,B,B,D,D,C,C,D,A,A,H,D,C,D,D,C,D,C,D,D,D,D,D,D,D,D,D,D,D,A,B,B,B,A,B,A,A,A,B,B,A,B,B,A,B,B,B,B,B,B,B,B,D,D,D,D,A,A,E,A,E,A,B,F,C,D,E,E,E,C,E,F,F,F,E,E,E,E,E,E,E,E,F,E,E
2015,27,2704302,27230082,3,1,605233,5,1,B,C,B,D,B,C,B,A,A,E,C,E,E,D,C,A,C,A,C,C,E,E,A,A,A,B,C,C,B,B,C,D,B,B,C,B,C,B,C,B,B,C,B,D,D,C,C,D,B,C,D,E,B,E,E,C,B,B,D,C,C,C,D,D,D,D,C,C,C,A,B,B,B,A,B,A,A,A,A,B,B,A,B,A,B,B,B,B,B,B,B,B,D,D,D,D,A,A,E,A,E,C,B,E,C,C,E,E,F,C,E,F,F,E,E,E,E,E,E,F,F,F,E,F,E
2015,27,2704302,27036049,3,1,603815,5,1,B,E,B,D,D,D,B,C,B,E,A,G,G,C,B,A,C,B,B,C,B,B,B,B,C,D,C,C,C,C,C,D,B,C,B,B,C,C,C,C,C,C,C,D,D,D,D,D,D,D,H,C,E,E,E,E,E,D,D,D,D,D,D,D,D,D,D,D,D,A,B,B,B,B,B,B,A,A,B,A,A,B,A,A,B,B,B,B,B,B,B,B,C,C,C,B,A,C,E,A,D,B,B,B,C,C,E,F,F,F,F,F,F,F,F,F,E,E,F,F,F,F,F,F,F
