ID_PROVA_BRASIL,ID_REGIAO,ID_UF,ID_MUNICIPIO,ID_AREA,ID_ESCOLA,ID_DEPENDENCIA_ADM,ID_LOCALIZACAO,ID_TURMA,ID_TURNO,ID_SERIE,ID_ALUNO,IN_SITUACAO_CENSO,IN_PREENCHIMENTO_PROVA,ID_CADERNO,ID_BLOCO_1,ID_BLOCO_2,TX_RESP_BLOCO_1_LP,TX_RESP_BLOCO_2_LP,TX_RESP_BLOCO_1_MT,TX_RESP_BLOCO_2_MT,IN_PROFICIENCIA,IN_PROVA_BRASIL,ESTRATO_ANEB,PESO_ALUNO_LP,PROFICIENCIA_LP,DESVIO_PADRAO_LP,PROFICIENCIA_LP_SAEB,DESVIO_PADRAO_LP_SAEB,IN_PREENCHIMENTO_QUESTIONARIO,TX_RESP_Q001,TX_RESP_Q002,TX_RESP_Q003,TX_RESP_Q004,TX_RESP_Q005,TX_RESP_Q006,TX_RESP_Q007,TX_RESP_Q008,TX_RESP_Q009,TX_RESP_Q010,TX_RESP_Q011,TX_RESP_Q012,TX_RESP_Q013,TX_RESP_Q014,TX_RESP_Q015,TX_RESP_Q016,TX_RESP_Q017,TX_RESP_Q018,TX_RESP_Q019,TX_RESP_Q020,TX_RESP_Q021,TX_RESP_Q022,TX_RESP_Q023,TX_RESP_Q024,TX_RESP_Q025,TX_RESP_Q026,TX_RESP_Q027,TX_RESP_Q028,TX_RESP_Q029,TX_RESP_Q030,TX_RESP_Q031,TX_RESP_Q032,TX_RESP_Q033,TX_RESP_Q034,TX_RESP_Q035,TX_RESP_Q036,TX_RESP_Q037,TX_RESP_Q038,TX_RESP_Q039,TX_RESP_Q040,TX_RESP_Q041,TX_RESP_Q042,TX_RESP_Q043,TX_RESP_Q044,TX_RESP_Q045,TX_RESP_Q046,TX_RESP_Q047,TX_RESP_Q048,TX_RESP_Q049,TX_RESP_Q050,TX_RESP_Q051,TX_RESP_Q052,TX_RESP_Q053,TX_RESP_Q054,TX_RESP_Q055,TX_RESP_Q056,TX_RESP_Q057,'RESULTADO IDEB',CONDICAO
2015,2,27,2709152,2,27044270,3,2,604385,2,9,17847693,1,1,4,4,5,BADDAACDBBDDB,CBAACDCACCADD,ABCCDDACCAADA,CDADACBDCBBDA,1,1,270915232,1.031.250.000.000.000,1.426.005.000.000.000,0.411459,328.548.401.000.000.000,22.668.660.000.000.000,1,A,B,K,D,C,C,B,C,B,A,B,A,A,C,D,D,B,A,G,A,A,A,G,A,A,B,A,A,A,A,A,B,B,A,B,A,A,A,B,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,5.8,'ACIMA DA MEDIA'
2015,2,27,2709152,2,27044270,3,2,604385,2,9,17847694,1,1,14,7,2,CBDCABDDABABA,BBAADDCADDDDA,CCBADBCDBADBC,BCDBBDADACDBD,1,1,270915232,1.031.250.000.000.000,1.949.901.000.000.000,0.571468,357.411.593.000.000.000,31.484.094.000.000.000,1,B,B,K,C,B,B,B,B,A,A,A,B,B,B,D,D,A,A,C,A,A,A,B,B,B,A,A,A,B,A,A,C,B,B,B,C,B,A,B,B,C,A,B,A,B,C,A,A,A,A,A,A,A,A,A,B,A,5.8,'ACIMA DA MEDIA'
2015,2,27,2709152,2,27044270,3,2,604385,2,9,17847695,1,1,18,4,7,BADDAADDBBDDB,ABDBAADDDBABA,ABCCDDACCCADC,CCBADBCDBDDCC,1,1,270915232,1.031.250.000.000.000,0.546153000000000,0.340994,280.074.395.000.000.000,18.786.506.000.000.000,1,B,C,H,C,C,B,C,B,A,A,B,A,B,B,D,D,A,A,F,A,A,A,F,A,A,A,A,A,A,A,A,C,B,B,B,B,B,?,C,B,C,B,B,?,B,B,A,A,A,A,A,A,A,A,A,B,C,5.8,'ACIMA DA MEDIA'
2015,2,27,2709152,2,27044270,3,2,604385,2,9,17847696,1,1,9,2,4,BDAADBAADACDA,BDACAAC.D.BBB,CCCAADAABB.CC,ABBCDDACCDDAB,1,1,270915232,1.031.250.000.000.000,-0.486155000000000,0.42592,223.201.076.000.000.000,23.465.365.000.000.000,1,A,A,F,D,B,B,B,B,A,A,A,A,A,B,D,C,A,A,G,A,A,A,G,A,A,B,A,A,A,A,B,B,B,B,?,A,A,B,B,C,C,B,A,E,B,A,A,B,A,B,A,A,A,A,A,C,C,5.8,'ACIMA DA MEDIA'
2015,2,27,2709152,2,27044270,3,2,604385,2,9,17847697,1,1,10,3,5,DADDBCDDBBABA,CADACDCACCDCA,CDADBCCCDACAA,ADBDAAACCDAAA,1,1,270915232,1.031.250.000.000.000,1.093.457.000.000.000,0.33048,310.227.213.000.000.000,18.207.255.000.000.000,1,B,B,H,C,B,C,B,B,B,B,A,B,A,B,C,E,A,A,G,A,A,A,G,A,A,A,A,A,A,A,A,C,A,A,B,A,B,A,C,C,C,C,C,D,B,B,A,A,A,A,A,A,A,A,A,C,C,5.8,'ACIMA DA MEDIA'
2015,2,27,2709152,2,27044270,3,2,604385,2,9,17847698,1,1,4,4,5,BDDDAADDBBDDB,CAAABDCACBCDD,AAACADACCACCD,CBBDBACCCDBDA,1,1,270915232,1.031.250.000.000.000,0.794154000000000,0.380715,293.737.604.000.000.000,20.974.870.000.000.000,1,B,B,E,E,B,B,B,B,A,A,A,A,A,B,C,D,A,A,B,A,A,B,G,A,B,C,A,B,B,B,B,C,A,A,A,A,B,C,A,C,C,C,A,B,B,A,A,A,A,A,B,A,B,C,A,A,C,5.8,'ACIMA DA MEDIA'
2015,2,27,2709152,2,27044270,3,2,604385,2,9,17847699,1,1,9,2,4,BDCADDCADCDDA,BADDAADDBADDC,CCDDBCAAACCDA,ABCCDDACCCADA,1,1,270915232,1.031.250.000.000.000,0.548555000000000,0.395354,280.206.730.000.000.000,21.781.381.000.000.000,1,A,F,F,B,A,B,B,B,A,A,A,B,A,B,C,F,A,A,A,B,B,A,G,?,?,A,?,?,?,?,?,C,C,C,C,B,A,A,B,C,B,B,D,A,B,A,A,A,A,A,B,A,A,A,A,B,A,5.8,'ACIMA DA MEDIA'
2015,2,27,2709152,2,27044270,3,2,604385,2,9,17847700,1,1,17,3,6,DCDDACDDBBACA,CACBDCBBBCDDA,ABBADAADCCDDA,AADDBBCCADCDC,1,1,270915232,1.031.250.000.000.000,0.668844000000000,0.328177,286.833.855.000.000.000,18.080.375.000.000.000,1,B,F,H,D,A,B,B,B,B,A,B,A,A,B,D,F,A,A,C,A,A,A,G,A,A,A,A,A,A,A,A,C,B,C,A,B,C,B,B,C,B,B,A,A,B,B,A,B,A,A,B,A,A,A,A,B,A,5.8,'ACIMA DA MEDIA'
2015,2,27,2709152,2,27044270,3,2,604385,2,9,17847701,1,1,3,3,4,DADDBCDDDBACD,CDBDBADDCDBAB,CDADACACCCAAA,AADABDBACADAC,1,1,270915232,1.031.250.000.000.000,-0.209469000000000,0.488536,238.444.638.000.000.000,26.915.091.000.000.000,1,B,B,F,C,C,A,A,C,C,A,B,B,A,B,C,E,A,A,E,A,A,A,B,A,A,B,A,A,A,A,A,B,A,A,B,C,B,A,C,B,C,C,A,B,?,?,?,?,?,?,?,?,?,?,?,?,?,5.8,'ACIMA DA MEDIA'
2015,2,27,2709152,2,27044270,3,2,604385,2,9,17847702,1,1,14,7,2,DBDDAADDACDDD,BCDAABDDBACDB,BBDDDCDDBDDCD,DDCDBDAADBCCA,1,1,270915232,1.031.250.000.000.000,-0.879543000000000,0.452752,201.528.008.000.000.000,24.943.630.000.000.000,1,A,F,H,C,B,B,B,B,B,A,C,B,?,?,D,B,A,A,A,A,B,A,G,A,A,A,A,A,A,A,A,B,C,A,C,A,A,C,B,B,B,A,B,A,?,A,A,A,A,A,A,A,A,A,A,A,C,5.8,'ACIMA DA MEDIA'
2015,2,27,2709152,2,27044270,3,2,604385,2,9,17847703,1,1,15,1,4,BCBACDDCCCCDC,BACDBCDDBDCAB,DCCBADCDBCDAC,ABCCDBACCBADC,1,1,270915232,1.031.250.000.000.000,0.160835000000000,0.355057,258.845.931.000.000.000,19.561.284.000.000.000,1,A,B,K,C,B,C,B,C,A,A,A,B,A,B,C,C,A,A,B,B,B,A,A,B,A,A,A,A,A,A,A,B,A,?,B,A,B,A,A,B,A,B,A,E,B,B,A,A,A,A,A,A,A,A,A,A,A,5.8,'ACIMA DA MEDIA'
2015,2,27,2709152,2,27044270,3,2,604385,2,9,17847704,1,1,6,6,7,DCCDACBBBBCDA,CBDDBDDBDBCBA,BCBCAABACCBDA,CCBDBCCDADCDD,1,1,270915232,1.031.250.000.000.000,-0.067929000000000,0.33671,246.242.553.000.000.000,18.550.486.000.000.000,1,B,B,C,B,B,A,B,B,A,A,A,A,A,B,C,F,B,A,D,A,A,C,D,A,A,B,A,A,A,A,A,C,B,B,A,A,C,A,B,C,C,B,B,C,B,A,A,A,A,A,B,A,A,A,A,B,C,5.8,'ACIMA DA MEDIA'
2015,2,27,2709152,2,27044270,3,2,604385,2,9,17847705,1,1,2,2,3,BACABDCADADDA,CCDDBDDDBBABD,ADCCBDAAACCBB,CBABCCACDCCDC,1,1,270915232,1.031.250.000.000.000,0.236943000000000,0.342658,263.038.977.000.000.000,18.878.182.000.000.000,1,A,B,G,B,C,A,B,B,B,A,A,A,A,B,C,C,A,A,B,A,A,B,C,A,A,B,A,A,A,A,A,C,B,B,C,B,A,C,B,C,C,B,B,A,B,C,A,A,A,A,B,A,A,A,A,B,D,5.8,'ACIMA DA MEDIA'
2015,2,27,2709152,2,27044270,3,2,604385,2,9,17847706,1,1,8,1,3,BACDCCACDCDDC,ACBABCBCCACCD,DCABCDCDBCCCC,CABDCCBCDDDDC,1,1,270915232,1.031.250.000.000.000,-1.142.622.000.000.000,0.470533,187.034.102.000.000.000,25.923.245.000.000.000,1,A,B,F,B,C,B,A,B,A,A,A,A,A,B,C,F,A,A,B,B,B,A,B,A,A,A,A,A,A,A,B,B,B,B,B,C,A,C,?,B,C,B,B,B,B,B,A,A,A,B,B,B,A,A,A,B,A,5.8,'ACIMA DA MEDIA'
2015,2,27,2709152,2,27044270,3,2,604385,2,9,17847707,1,0,19,5,1,.............,.............,.............,.............,0,1,270915232,?,?,?,?,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,5.8,'ACIMA DA MEDIA'
2015,2,27,2709152,2,27044270,3,2,604385,2,9,17847708,1,1,20,6,2,BDABBCBBBAACA,BDCBDCCADDABA,AADCBAAACBCAC,ABBDBCAACDDAD,1,1,270915232,1.031.250.000.000.000,-0.143192000000000,0.355172,242.096.061.000.000.000,19.567.620.000.000.000,1,B,B,C,C,B,B,B,B,A,A,A,A,A,B,C,D,A,A,C,A,A,B,G,A,A,B,A,A,A,A,B,C,C,B,B,A,A,A,B,B,B,B,B,C,B,A,A,A,A,A,B,A,A,B,A,A,C,5.8,'ACIMA DA MEDIA'
2015,2,27,2709152,2,27044289,3,1,604386,1,9,17847709,1,1,2,2,3,BAAADCCADDADC,DBBDBBDDDBCCA,CDCBBDAABCDBD,CBADCAAADCCCA,1,1,270915231,1.088.235.294.100.000,0.471760000000000,0.326894,275.975.835.000.000.000,18.009.690.000.000.000,1,A,B,B,B,C,C,B,B,A,A,A,C,B,B,C,E,A,A,F,A,A,A,F,A,A,A,A,A,A,A,A,?,?,A,?,?,A,?,B,B,B,B,B,A,B,B,B,A,A,A,A,A,B,B,B,B,A,4.8,'ABAIXO DA MEDIA'
2015,2,27,2709152,2,27044289,3,1,604386,1,9,17847710,1,1,8,1,3,BCADCDDDACCAC,CCBCDDDDDBCCC,CCCBBBDDBCCBC,CCBDBCBCDCACB,1,1,270915231,1.088.235.294.100.000,-0.485465000000000,0.345904,223.239.091.000.000.000,19.057.015.000.000.000,1,B,B,C,B,C,B,C,C,A,A,A,A,B,B,E,F,A,A,C,A,A,C,G,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,C,C,A,A,B,B,B,A,A,A,A,?,?,?,D,A,A,A,4.8,'ABAIXO DA MEDIA'
2015,2,27,2709152,2,27044289,3,1,604386,1,9,17847711,1,1,14,7,2,ABBBBBDDABABA,BDDADDCADADCB,ABCDBCBADDCAB,CDCDACAABBDDA,1,1,270915231,1.088.235.294.100.000,0.059957000000000,0.346526,253.288.223.000.000.000,19.091.283.000.000.000,1,B,B,F,D,B,B,B,B,B,A,B,B,B,B,B,C,A,A,G,A,A,A,G,A,A,B,A,A,A,A,A,?,?,?,?,?,?,A,C,B,C,A,C,A,B,B,C,A,A,A,B,A,B,C,A,B,A,4.8,'ABAIXO DA MEDIA'
